Auvergnat	Franco-Provençal	probability
ˈɪ̃	ˈɛ̃	1.0
ˈɪ_j	ˈɛː	1.0
ˈɛ	ˈe	1.0
ˈɔ̃	ˈɔ̃	1.0
ˈỹ	-	1.0
ˈũ_ŋ	ˈɔ̃	1.0
ˈũ	ˈɔ̃	1.0
ˈu_b	ˈy	1.0
ˈĩ	ˈĩ	1.0
ˈẽ	ˈɛ̃	1.0
ˈe_ʀ	ˈe_ʁ	1.0
ˈã_ŋ	ˈɑ̃	1.0
ˈã	ˈɑ̃	1.0
ˈa_w	ˈoː	1.0
ʧ_ə	ð_o	1.0
ʒ	z	1.0
ɪ	e	1.0
ɡ	ɡ	1.0
y	-	1.0
w_ˈɔ	ˈoː	1.0
vʲ	v	1.0
v	v	1.0
ũ	ɔ̃	1.0
t	t	1.0
pʲ	ʃ_ə	1.0
p	p	1.0
n_ˈe	n_ˈɛː	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lː	l	1.0
l_w	l	1.0
k_w	k	1.0
j_ʀ	ð	1.0
ĩ	ĩ	1.0
i	i	1.0
fʲ	f	1.0
f	f	1.0
dʲ	d	1.0
b_w	b	1.0
ã_ŋ	ɑ̃	1.0
ã	-	1.0
a	a	1.0
s	s	0.951
ʎ	ʎ	0.855
l	l	0.833
j	ˈe	0.806
ˈœ	w	0.799
k	k	0.74
ɲ	ɲ	0.724
ŋ	-	0.705
ɔ	a	0.676
ʀ	ʁ	0.662
b	b	0.654
ʧ	ʃ	0.651
d	d	0.621
ˈe_j	ˈɛː	0.616
u	o	0.552
ˈy	ˈu	0.541
ʤ	ʒ	0.534
ə	ə	0.528
w	-	0.528
z	-	0.514
ˈi	ˈe	0.503
z	z	0.486
ˈy	-	0.459
ˈi	ˈi	0.418
ˈɪ	ˈɛː	0.408
ˈa	ˈa	0.397
ˈɔ	-	0.388
ˈe_j	ˈe	0.384
d	-	0.379
w	w	0.375
ɒ	a	0.374
ʧ	t	0.315
u	ɔ	0.307
ŋ	ˈĩ	0.295
ˈɪ	ˈɛ	0.286
ʀ	ð	0.285
ɲ	-	0.276
ɔ	ə	0.262
ɒ	ə	0.248
b	ˈe_v	0.247
ˈɔ	ˈo	0.241
ə	o	0.238
ʤ	ð	0.233
ʤ	-	0.233
ˈe	j	0.229
ˈɔ	ˈu	0.206
ˈɪ	ˈi	0.202
ˈœ	-	0.201
ˈu	ˈoː	0.197
ˈe	ˈaː	0.197
j	-	0.194
ˈe	ˈe	0.181
ˈu	ˈø	0.173
ɒ	-	0.173
ˈu	ˈo	0.172
l	-	0.167
ˈɔ	ˈø	0.166
ɒ	ɛ	0.158
ˈe	ˈɛ	0.152
ʎ	-	0.145
u	y	0.14
ˈa	j	0.133
ˈu	w	0.129
ˈu	ˈu	0.127
ˈa	ˈɛː	0.121
ˈu	ʁ	0.12
ˈa	ˈaː	0.114
k	k_w	0.113
ˈɪ	-	0.105
ˈe	ˈɛː	0.102
ˈe	j_ˈø	0.1
b	v	0.098
w	ˈɔ	0.097
ˈa	-	0.096
ˈa	ˈe	0.085
k	ˈa	0.085
ə	-	0.083
ˈu	w_ˈɛː	0.081
ˈi	-	0.079
k	-	0.063
ə	e	0.054
ˈa	ˈɑː	0.053
