Gascon	Ladin	probability
d	d	1.0
h	f	1.0
i	i	1.0
l	l	1.0
m	m	1.0
u	o	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
j	-	0.61
t	l	0.191
t	t	0.751
ɾ	-	0.121
ˈa	ˈɛ	0.091
ˈe	ˈe_j	0.11
ˈu	ˈo	0.501
ˈɔ	ˈo	0.11
b	v	0.622
e	e_r	0.262
r	r_n	0.072
w	w	0.332
ɾ	r	0.82
ʎ	d_l	0.692
ʦ	ʃ	0.82
ˈa	ˈa	0.692
ˈi	ˈe	0.082
ˈɔ	w_ˈɛ	0.082
b	b	0.303
k	k	0.423
s	ʧ	0.143
z	ʒ	0.453
ɔ	-	0.103
ʒ	-	0.193
ˈa	ˈe	0.183
s	ʃ	0.124
s	s	0.584
w	l	0.244
ð	d_ˈe	0.204
ŋ	n	0.74
ˈu	ˈo_w	0.124
ˈy	ˈo	0.274
ˈy	ˈu	0.564
e	a	0.125
k	r_#>	0.125
r	-	0.065
w	f	0.055
ɔ	a	0.895
ˈe	-	0.135
ˈe	ˈe	0.325
ˈɛ	ˈɛ	0.835
β	w	0.205
b	-	0.056
n	n_t	0.196
r	r	0.816
ð	d	0.796
ŋ	ŋ	0.26
ˈe	e	0.086
ˈe	ˈɛ	0.306
ˈi	ˈi	0.896
ˈy	ˈu_r	0.116
e	e	0.457
k	ʨ	0.337
s	ʨ	0.07
t	-	0.057
w	-	0.37
z	-	0.547
ʎ	l	0.07
ˈɛ	j_ˈɛ	0.097
β	v	0.717
a	e	0.128
a	a	0.828
n	n	0.768
ʒ	ʒ	0.688
ʦ	w_ʃ	0.18
ˈu	ˈɔ	0.338
ˈɔ	ˈɔ	0.808
ˈɛ	ˈe	0.068
e	j	0.119
j	j	0.39
p	p	0.99
s	-	0.079
ɾ	l	0.059
ʎ	j	0.239
ʒ	ʥ	0.119
