Northern Low Saxon	Swedish	probability
b	b	0.722
b	p	0.167
b	v	0.049
b	pː	0.048
b	-	0.029
d	d	0.459
d	t	0.177
d	-	0.17
d	tʰ	0.096
d	tː	0.051
d_ɐ	r	1.0
f	f	0.71
f	v	0.207
f	-	0.079
h	h	1.0
i	-	0.473
j	j	1.0
k	kː	0.359
k	k	0.17
kʰ	kʰ	0.846
kʰ	ɕ	0.122
l	l	0.746
l	lː	0.096
l	-	0.047
l	ɛ_l	0.044
l	e	0.029
m	m	0.632
m	-	0.246
m	mː	0.105
n	n	0.459
n	-	0.209
n	a	0.203
n	nː	0.124
p	p	0.473
r	r	0.94
r	-	0.06
s	s	0.842
s	sː	0.087
s	-	0.066
t	t	0.536
t	-	0.38
t	n	0.061
tʰ	tʰ	0.855
tʰ	ɕ	0.118
v	v	0.691
v	-	0.257
v	ɡ	0.05
v_ˈʊ	ˈɵ	1.0
x	ɡ	0.377
x	tː	0.329
x	-	0.148
x	j	0.103
z	s	0.781
z	ɧ	0.215
ç	ɡ	0.294
ç	tː	0.179
ç	ŋ	0.179
ç	rː	0.118
ç	ɡː	0.118
ŋ	ŋː	0.581
ŋ	-	0.176
ŋ	ŋ	0.153
ŋ	jː	0.072
ɐ	r	0.384
ɐ	ɛ	0.339
ɐ	ɳ	0.086
ɐ	a	0.075
ɐ	r_a	0.059
ɐ_d	ɖ	0.74
ɐ_d	r	0.126
ə	ɛ	0.473
ɡ	ɡ	0.387
ɡ	k	0.322
ɡ	j	0.109
ɡ	ɡː	0.092
ɡ	kː	0.053
ɪ	ɪ	0.461
ɪ	ɵ	0.349
ɪ	-	0.103
ʃ	s	0.425
ʃ	s_k	0.341
ʃ	ɧ	0.213
ʃ	f	0.03
ʒ	-	1.0
ˈa	ˈa	0.564
ˈa	ˈɑː	0.159
ˈa	ˈeː	0.066
ˈa	ˈɛ	0.055
ˈa	ˈɔ	0.05
ˈaɪ̯	ˈeː	0.318
ˈaɪ̯	ˈyː	0.225
ˈaɪ̯	j_ˈʉː	0.123
ˈaɪ̯	ˈʉː	0.075
ˈaɪ̯	ʊ	0.062
ˈaʊ̯	ˈuː	0.39
ˈaʊ̯	ˈøː	0.295
ˈaʊ̯	ˈoː	0.099
ˈaʊ̯	ˈa	0.048
ˈaʊ̯	ˈʊ	0.048
ˈaː	ˈa_r	0.472
ˈaː	ˈa	0.196
ˈaː	ˈɛ	0.122
ˈaː	ˈʏ	0.122
ˈeɪ̯	ˈɛ	0.461
ˈeɪ̯	j	0.136
ˈeɪ̯	ˈøː	0.136
ˈeː	ˈeː	0.156
ˈeː	ʊ	0.152
ˈeː	ˈæː	0.152
ˈeː	ˈɛː	0.152
ˈeː	ˈʉː	0.103
ˈiː	ˈiː	0.734
ˈiː	ˈɛ	0.146
ˈiː	ˈyː	0.062
ˈiː	ˈæː	0.053
ˈoː	ˈoː	0.456
ˈoː	ˈɑː	0.304
ˈoː	ˈa	0.117
ˈoː	ˈøː	0.102
ˈuː	ˈʉː	0.738
ˈuː	ˈɵ	0.181
ˈuː	ˈuː	0.061
ˈyː	ˈyː	0.265
ˈyː	ˈœ	0.201
ˈyː	ˈʏ	0.201
ˈø	ˈɛ	0.359
ˈø	ˈɪ	0.17
ˈøː	ˈoː	0.265
ˈøː	ˈʉː	0.165
ˈøː	ˈuː	0.156
ˈøː	ˈøː	0.103
ˈøː	ˈɛː	0.097
ˈœ	ˈɔ	1.0
ˈœː	ˈɛ	0.312
ˈœː	ˈɵ	0.312
ˈɔ	ˈɔ	0.354
ˈɔ	ˈœ	0.221
ˈɔ	ˈʉː	0.133
ˈɔ	ˈa	0.127
ˈɔʏ̯	ˈøː	0.249
ˈɔʏ̯	ˈɔ	0.175
ˈɔʏ̯	ˈœ	0.157
ˈɔʏ̯	ˈœː	0.119
ˈɔʏ̯	ˈɵ	0.07
ˈɔː	ˈʊ	1.0
ˈɛ	ˈɛ	0.369
ˈɛ	ˈɛː	0.321
ˈɛ	ˈɑː	0.157
ˈɛ	ˈœ	0.106
ˈɛɪ̯	ˈɛ	0.312
ˈɛɪ̯	ˈæː	0.148
ˈɪ	ˈɪ	0.412
ˈɪ	ˈeː	0.183
ˈɪ	ˈɛ	0.147
ˈɪ	ˈiː	0.072
ˈɪ	ˈɵ	0.058
ˈʊ	ˈɵ	0.506
ˈʊ	ˈʊ	0.299
ˈʊ	ˈɔ	0.178
ˈʏ	ˈʏ	0.447
ˈʏ	ˈoː	0.162
ˈʏ	ˈœ	0.162
ˈʏ	ˈɛ	0.109
ˈʏ	ˈɵ	0.074
