Northern Low Saxon	Swedish	probability
aɪ̯	ɔ	1.0
b	b	0.66
b	p	0.197
b	tʰ	0.051
d	d	0.44
d	t	0.211
d	tʰ	0.114
d	-	0.109
f	f	0.613
f	v	0.261
f	-	0.075
f	m	0.051
h	h	0.872
h	j	0.128
i	ʊ	1.0
j	j	1.0
k	k	0.942
k	kː	0.058
kʰ	kʰ	0.659
kʰ	ɕ	0.341
l	l	0.792
l	lː	0.075
l	j	0.06
m	m	0.461
m	mː	0.297
m	v_a	0.098
m	a	0.076
n	n	0.562
n	a	0.241
n	nː	0.155
p	p	1.0
r	r	0.973
s	s	0.86
s	sː	0.069
t	tː	0.449
t	t	0.272
t	-	0.204
t	n	0.075
tʰ	tʰ	0.956
v	v	0.818
v	-	0.182
x	ɡ	0.384
x	tː	0.328
x	j	0.175
x	-	0.112
z	s	0.634
z	ɧ	0.366
ç	ɡ	0.5
ç	ɡː	0.218
ç	tː	0.109
ç	ŋ	0.08
ç	s	0.08
ŋ	ŋː	0.474
ŋ	-	0.2
ŋ	ŋ	0.182
ŋ	ɡː	0.084
ŋ	jː	0.06
ɐ	r	0.424
ɐ	ɛ	0.271
ɐ	ɳ	0.171
ɐ	-	0.086
ə	ˈʏ	0.685
ə	ɛ	0.315
ɡ	ɡ	0.331
ɡ	k	0.303
ɡ	kː	0.198
ɡ	j	0.1
ɡ	ɡː	0.068
ɪ	ɪ	0.557
ɪ	ŋ	0.279
ɪ	ɵ	0.164
ʃ	s	0.637
ʃ	ɧ	0.338
ʒ	-	0.62
ʒ	n	0.38
ˈa	ˈa	0.677
ˈa	ˈɑː	0.078
ˈa	ˈoː	0.071
ˈa	ˈɛ	0.063
ˈaɪ̯	ˈʉː	0.296
ˈaɪ̯	ˈeː	0.261
ˈaɪ̯	ˈyː	0.137
ˈaɪ̯	ʊ	0.091
ˈaɪ̯	ˈɛ	0.067
ˈaʊ̯	ˈuː	0.353
ˈaʊ̯	ˈøː	0.262
ˈaʊ̯	ˈoː	0.111
ˈaʊ̯	ˈɛː	0.084
ˈaʊ̯	ˈœ	0.064
ˈaʊ̯	ˈʊ	0.056
ˈaː	ˈa	0.663
ˈaː	ˈɛ	0.246
ˈaː	ˈʏ	0.091
ˈeɪ̯	ˈɛ	0.481
ˈeɪ̯	j	0.28
ˈeɪ̯	ˈøː	0.239
ˈeː	ʊ	0.259
ˈeː	ˈøː	0.259
ˈeː	ˈeː	0.256
ˈeː	ˈa	0.058
ˈeː	ˈæː	0.051
ˈiː	ˈiː	0.798
ˈiː	ˈɛ	0.074
ˈiː	ˈyː	0.069
ˈiː	ˈæː	0.058
ˈoː	ˈoː	0.544
ˈoː	ˈɑː	0.196
ˈoː	ˈa	0.12
ˈoː	ˈɔ	0.066
ˈuː	ˈʉː	0.526
ˈuː	ˈɵ	0.262
ˈuː	nː	0.077
ˈuː	-	0.068
ˈuː	ˈuː	0.068
ˈyː	ˈʏ	0.446
ˈyː	ˈyː	0.311
ˈyː	ˈœ	0.096
ˈyː	ˈʉː	0.096
ˈyː	ˈɛ	0.051
ˈø	ˈɪ	0.738
ˈø	ˈɛ	0.262
ˈøː	ˈoː	0.255
ˈøː	ˈøː	0.236
ˈøː	ˈɛː	0.137
ˈøː	ˈʉː	0.13
ˈøː	ˈœː	0.121
ˈøː	ˈuː	0.121
ˈœ	ˈɛ	0.564
ˈœ	ˈɔ	0.324
ˈœ	ˈœ	0.113
ˈœː	ˈɵ	0.514
ˈœː	ˈɛ	0.486
ˈɔ	ˈœ	0.384
ˈɔ	ˈɔ	0.314
ˈɔ	ˈʉː	0.105
ˈɔ	ˈa	0.105
ˈɔ	ˈɵ	0.092
ˈɔʏ̯	ˈøː	0.511
ˈɔʏ̯	ˈɵ	0.217
ˈɔʏ̯	ˈœ	0.19
ˈɔː	ˈʊ	1.0
ˈɛ	ˈɛ	0.57
ˈɛ	ˈɛː	0.277
ˈɛ	ˈɑː	0.102
ˈɛ	ˈœ	0.052
ˈɛɪ̯	ˈɛ	0.519
ˈɛɪ̯	ˈæː	0.481
ˈɛː	ˈiː	1.0
ˈɪ	ˈɪ	0.592
ˈɪ	ˈeː	0.088
ˈɪ	ˈiː	0.081
ˈɪ	ˈɛ	0.067
ˈɪ	ˈɵ	0.064
ˈɪ	-	0.05
ˈʊ	ˈɵ	0.428
ˈʊ	ˈʊ	0.337
ˈʊ	ˈɔ	0.235
ˈʏ	ˈʏ	0.319
ˈʏ	ˈɵ	0.182
ˈʏ	ˈɛ	0.154
ˈʏ	ˈoː	0.13
ˈʏ	ˈœ	0.13
ˈʏ	ˈiː	0.086
