Neapolitan	Aragonese	probability
a	a	1.0
b	b	1.0
d	d	1.0
e	e	1.0
f	f	1.0
kː	k	1.0
l	l	1.0
lː	ʎ	1.0
m	m	1.0
nː	ɲ	1.0
o	o	1.0
rː	r	1.0
s	s	1.0
sː	-	1.0
ŋ	ŋ	1.0
ʃː	ʃ	1.0
ʎː	ʎ	1.0
ʤ	ʧ	1.0
ˈe	ˈe	1.0
i	i	0.31
t	ð	0.511
ɲː	ɲ	0.911
ˈi	ˈe	0.41
ˈo	ˈu	0.121
j	j	0.482
r	r	0.182
v	-	0.12
ə	o	0.412
ɾ	l	0.062
ˈi	ˈi	0.582
ˈu	ˈu	0.632
ˈɛ	j_ˈe	0.182
j	-	0.13
r	ɾ	0.703
tː	t	0.963
ˈɛ	ˈe	0.813
i	e	0.434
k	ɣ	0.144
mː	m	0.14
u	-	0.394
v	β	0.24
v	b	0.64
ə	e	0.094
ə	a	0.334
ɡ	ɣ	0.254
p	β	0.105
p	p	0.895
w	-	0.105
w	w	0.895
ɾ	-	0.175
ˈa	ˈa	0.805
ˈɔ	ˈe	0.685
i	ˈi	0.256
j	l	0.346
k	p	0.086
k	k	0.726
mː	m_b	0.86
u	o	0.606
ɡ	ɡ	0.746
ˈa	ˈa_ɾ	0.136
ˈɔ	w_ˈe	0.126
n	n	0.967
r	-	0.07
ə	-	0.107
ɾ	ɾ	0.727
ʃ	e_s	0.237
ˈu	ˈo	0.287
ˈɔ	ˈo	0.188
t	t	0.489
ɲː	-	0.089
ʃ	θ	0.729
ˈo	ˈo	0.879
