Upper Sorbian	Proto-Slavic	probability
β_ɪ	v_ŭ	1.0
β	v	1.0
ˈɔ_ʀ	ĭ̌_r	1.0
ˈɔ_w	ĭˀ_l	1.0
ˈɔ_m	m_ĭ	1.0
ʧ	ʧ	1.0
ʃ_ˈi	r	1.0
ʀʲ	r	1.0
ɦ	ɡ	1.0
ɥ	v	1.0
ɔ	o	1.0
z	z	1.0
xʲ_i_#>	x_ŭ_#>	1.0
xʲ	x_ŭ	1.0
x_#>	ɡ_ŭ_#>	1.0
x	x	1.0
w_ˈo	ôː_l	1.0
s_#>	s_ŭ_#>	1.0
s	s	1.0
r	d	1.0
pʲ	p	1.0
n_ɪ	n_ŭ	1.0
n	n	1.0
mʲ	m	1.0
l_ˈɛ	l	1.0
l	l	1.0
k_#>	k_ŭ_#>	1.0
k	k	1.0
i_#>	j_ĭ_#>	1.0
e	ê	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
<#_ʧ	<#_t	1.0
<#_ʤ	<#_d	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʀ	<#_r	1.0
<#_ɦ	<#_ɡ	1.0
<#_ɥ	<#_v	1.0
<#_z	<#_z	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_pʲ	<#_p	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_mʲ	<#_m	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
w	l	0.87
ʀ	r	0.75
t	t	0.739
ɪ_#>	ŭ_#>	0.714
ʧ_#>	t_ĭ_#>	0.692
ʦ	ʦ	0.667
ɲ	n	0.667
a_#>	ǎ_#>	0.625
ˈu	ûː	0.6
ɔ_#>	o_#>	0.6
ˈo	ôː	0.571
p	b	0.571
#>	ĭ_#>	0.526
ˈɪ	ɨ̌	0.5
ˈɪ	ɛ̂ː	0.5
ˈɛ	ẽ	0.5
ˈɛ	e	0.5
ˈi	ǐ_t	0.5
ˈi	i	0.5
ˈa	aˀ	0.5
ʃ	ʒ	0.5
ʃ	ĭ	0.5
ɛ	e	0.5
kʲ_i	k_ŭ_j	0.5
kʲ_i	k_ŭ	0.5
<#_β	<#_v	0.5
<#_β	<#	0.5
ˈo	ô	0.429
p	p	0.429
#>	ŭ_#>	0.421
ˈu	e	0.4
ɔ_#>	#>	0.4
a_#>	a_#>	0.375
ʦ	t	0.333
ɲ	ɲ	0.333
ˈɔ	ǒ	0.308
ʧ_#>	i_#>	0.308
ˈa	-	0.3
ˈe	ɛ̂ː	0.294
ɪ_#>	j_ĭ_#>	0.286
ɛ	ɛː	0.25
ɛ	ě	0.25
ˈɔ	ô	0.231
ˈɔ	o	0.231
ˈa	ẽ	0.2
ˈe	ɛː	0.176
ˈe	ɛˀ	0.176
t	d_ŭ	0.174
w	l_ŭ	0.13
ʀ	r_ŭ	0.125
ʀ	oˀ_r	0.125
ˈe	ɛ̌ː	0.118
ˈe	ɛ̌	0.118
ˈe	ĭ̂	0.118
t	ŭ	0.087
ˈɔ	ĭ̌ː	0.077
ˈɔ	ĭ̂	0.077
ˈɔ	e	0.077
#>	i_#>	0.053
