Corsican	Québécois French	probability
b	b	1.0
f	f	1.0
r	ʁ	1.0
rː	-	1.0
sː	-	1.0
w	-	1.0
ʎ	-	1.0
ʤ	-	1.0
ʦː	-	1.0
ʧː	s	1.0
a	a	0.251
c	k	0.091
kː	ʁ_#>	0.121
u	oʊ̯	0.071
ˈo	aœ̯	0.081
ˈo	œ	0.091
ˈu	y	0.561
ˈɔ	aœ̯	0.071
ˈɔ	ɔ	0.091
ˈɛ	-	0.321
d	-	0.522
e	ɛ_ʁ	0.112
l	-	0.22
m	-	0.232
s	s	0.922
t	t	0.282
tː	t	0.22
u	i	0.052
u	-	0.22
ɡ	-	0.182
ˈi	ɪ	0.362
a	œ	0.073
e	ẽɪ̯̃	0.053
e	i_ʁ	0.063
e	e	0.103
e	æɛ̯	0.13
e	ã	0.173
e	ɛ	0.193
i	-	0.713
k	ʃ	0.403
tː	ɥ	0.063
u	øʏ̯	0.073
ɟ	ɡ	0.143
ɲ	-	0.213
ˈi	i	0.203
ˈo	ɔ	0.203
ˈɛ	ɛ	0.143
a	j	0.054
d	d	0.154
d	ʣ	0.324
j	l	0.694
kː	-	0.634
lː	l	0.944
n	-	0.624
u	u	0.144
ʧ	s	0.814
ˈe	ɛɪ̯	0.054
ˈe	j	0.304
ˈɔ	ɑɔ̯	0.384
k	k	0.25
kː	ʃ_#>	0.245
v	v	0.925
ŋ	ẽɪ̯̃	0.195
ŋ	-	0.805
ɟ	ʒ	0.825
ˈe	i	0.215
ˈi	-	0.165
ˈo	-	0.625
ˈu	w	0.165
ˈɔ	ʊ	0.055
j	-	0.306
k	-	0.346
lː	-	0.056
n	n	0.376
u	e	0.06
ʧ	-	0.096
ˈa	e	0.226
ˈe	ɪ	0.086
ˈu	ʏ	0.166
ˈɔ	u	0.186
ˈɛ	æɛ̯	0.216
i	j	0.157
tː	-	0.717
u	j	0.107
ɲ	ɲ	0.787
ˈa	a	0.107
ˈa	-	0.127
ˈe	æɛ̯	0.057
ˈe	ɛ	0.087
ˈe	-	0.197
ˈi	ẽɪ̯̃	0.27
a	-	0.568
e	-	0.168
l	l	0.78
m	m	0.768
p	v	0.138
p	p	0.798
s	-	0.078
t	-	0.718
ɡ	ɡ	0.818
ˈa	ã	0.208
ˈa	æɛ̯	0.258
ˈu	-	0.108
ˈɔ	-	0.108
c	-	0.909
i	i	0.129
u	ɒ̃ʊ̯̃	0.259
ʧ	z	0.09
ˈɔ	o	0.059
ˈɛ	w_ɛ	0.259
