Saterland Frisian	Faroese	probability
ˈʊ_ŋ	ɲ	1.0
ˈɛɪ̯_d	ˈøː	1.0
ˈɔːɪ̯	ˈɛ_ɡ̊ː	1.0
ˈɔː_x	ˈɔ	1.0
ˈœː	ˈɔ_ŋ	1.0
ˈøː	ˈʏ	1.0
ˈuː_s	sː	1.0
ˈu	-	1.0
ˈoː_ɣ	ɡ̊_v̥	1.0
ˈiːu̯	ˈiː	1.0
ˈi	ˈʊ̯iː	1.0
ˈeːu̯	ʤ̊_ˈeː	1.0
ˈeː_l	l	1.0
ˈaːi̯	ˈa	1.0
ɪ	-	1.0
ə_r	ɹ	1.0
ŋ_k	ʰk	1.0
x_t	ʰt	1.0
w	v	1.0
s_k	ʃ	1.0
j_ˈoː	ˈʊ_ʤ̊ː	1.0
j_ə	a	1.0
i	a	1.0
d_ə	t͡n̥	1.0
d_r	d̥_ɹ	1.0
b_r	b̥_ɹ	1.0
f	f	0.94
m	m	0.938
h	h	0.889
v	v	0.884
b	b̥	0.879
s	s	0.858
r	ɹ	0.847
n	n	0.688
l	l	0.67
ˈɔ	-	0.667
ˈʊ	ˈʊ	0.657
ˈaː	-	0.655
k	k	0.637
ŋ	ŋ_ɡ̊	0.615
ˈa	-	0.557
t	t	0.556
z	s	0.519
ə	a	0.516
p	ʰp	0.486
z	-	0.481
ˈɪ	ˈɪ	0.445
ˈa	ˈɛ	0.443
ɣ	-	0.418
ˈɛ	-	0.415
ˈɛː	ˈɪ	0.402
p	p	0.402
ˈɪ	-	0.394
ˈɛɪ̯	ˈøː	0.39
ŋ	ŋ	0.385
d	d̥	0.369
ˈɛː	-	0.362
t	ʰt	0.357
x	-	0.356
ˈaː	ˈa	0.345
ˈʊ	-	0.343
ˈoː	ˈɛːi̯	0.335
ˈɔ	ˈa	0.333
x	ɡ̊_ʊ	0.322
x	v_ʊ	0.322
ɣ	ʤ̊	0.321
ˈiː	ˈɪ	0.319
ˈeː	ˈai̯	0.28
ˈeː	ˈaːi̯	0.273
ˈɔː	ˈɛːa̯	0.272
ˈuː	-	0.266
ɣ	j	0.26
ˈɛ	ˈɛːa̯	0.251
ˈiː	ˈɔ̯aː	0.239
ˈɛː	ˈɛːa̯	0.236
ˈuː	ˈʊ	0.234
l	t͡l̥	0.227
ˈuː	ˈʉːu̯	0.223
ˈiː	ˈʊ̯iː	0.221
ˈoːu̯	ˈɔːu̯	0.208
ˈeː	ˈɔːi̯	0.204
j	ˈɛːa̯	0.201
j	ˈʊ̯iː	0.198
ˈɛɪ̯	-	0.196
ˈoːu̯	ˈa	0.196
ˈuː	ɹ_ʊ	0.181
j	ˈʏ	0.173
j	-	0.173
ˈɛ	ˈɛ	0.167
ˈɛ	ˈɔ	0.167
ˈɔː	ˈa	0.166
ˈoːu̯	ˈɔ̯aː	0.166
ˈɛɪ̯	ˈa	0.164
ˈɔː	ˈɔ	0.162
ˈɪ	ˈiː	0.16
d	ɹ	0.156
r	-	0.153
ə	ɪ	0.15
ˈɔː	-	0.149
ˈoː	ˈɔːu̯	0.145
d	-	0.145
d	j	0.144
ə	-	0.143
j	ˈuː	0.143
ˈoː	ˈa	0.139
ˈoːu̯	ˈɔ	0.136
ˈiː	-	0.134
ˈoː	-	0.133
k	ʧ	0.128
n	-	0.127
ˈɛɪ̯	v	0.126
ˈɔː	ˈiː	0.126
ˈɔː	j	0.126
ˈɛɪ̯	ɹ	0.125
ˈoː	ˈɔ̯aː	0.122
ˈeː	ˈɛ	0.122
k	ʰk	0.122
ˈeː	ˈeː	0.121
b	-	0.121
d	tʰ	0.115
k	ʧʰ	0.113
j	ˈɪ	0.113
p	pʰ	0.112
h	j	0.111
ə	ʊ	0.108
l	l̥	0.103
ˈuː	ˈɔːu̯_w	0.096
ˈoːu̯	ˈɪ	0.096
s	ʃ	0.094
ˈiː	ˈiː	0.087
v	-	0.08
n	nː	0.073
ˈoː	ˈɔːi̯	0.071
ˈoːu̯	ˈœ	0.066
ˈoːu̯	ˈoː	0.066
ˈoːu̯	-	0.066
n	ˈʊ_nː	0.066
m	mː	0.062
f	v_ʊ	0.06
ˈoː	ˈɔ	0.054
