Eastern Lombard	Venetian	probability
a	a	1.0
b	b	1.0
o	o	1.0
w	w	1.0
z	z	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ʋ	v	1.0
ʤ	z	1.0
ˈy	ˈu	1.0
ˈɔ	ˈɔ	1.0
e	-	0.181
i	i	0.321
j	j	0.911
m	m_e	0.091
s	z_e	0.091
ˈi	ˈi_ŋ	0.101
e	e	0.542
f	v_e	0.172
l	o	0.142
l	ɰ	0.402
ʧ	ʧ	0.522
ˈa	ˈa_r	0.212
ˈe	ˈe	0.372
ˈi	e	0.072
ˈɛ	ˈe	0.42
d	d	0.623
j	-	0.063
l	l	0.233
t	-	0.073
ɲ	ɲ	0.523
ˈe	j_ˈɛ	0.063
e	o	0.074
k	k	0.844
l	-	0.134
r	r_o	0.154
s	-	0.064
t	t_e	0.124
ʧ	t	0.104
ʧ	ʧ_o	0.374
t	d	0.055
t	t_o	0.175
ˈe	j_ˈe	0.05
ˈe	ˈi	0.325
ˈo	ˈɔ	0.455
ˈo	ˈo	0.545
ˈu	ˈo_ŋ	0.135
ˈu	ˈo	0.865
ˈø	ˈu	0.485
p	p	0.966
s	s_e	0.06
s	z_o	0.066
t	d_o	0.056
t	t	0.516
ˈø	ˈo	0.126
d	-	0.377
e	a	0.177
k	ɡ_o	0.107
n	ŋ	0.237
n	n	0.727
r	-	0.077
r	r	0.717
ɲ	ɲ_o	0.477
ˈi	ˈe	0.127
ˈi	ˈi	0.657
ˈɛ	ˈɛ	0.58
f	f	0.779
i	e	0.679
l	ɰ_o	0.09
m	m	0.909
s	s_o	0.099
s	s	0.599
ˈa	ˈa_ŋ	0.079
ˈa	ˈa	0.709
ˈe	ˈe_ŋ	0.19
ˈø	ˈɔ	0.389
