Westphalian	Saterland Frisian	probability
#>	#>	0.884
#>	ə_#>	0.074
<#	<#	1.0
b	b	0.963
d	d	0.806
d	t	0.124
d	-	0.059
d_ɐ	r	1.0
f	f	0.887
f	x	0.071
h	h	1.0
j	j	1.0
k	k	0.908
k	s	0.061
l	l	0.824
l	l_ə	0.082
l	ə_l	0.067
m	m	0.965
n	n	0.657
n	ə	0.206
n	j_ə	0.062
n	-	0.059
p	p	0.914
p	d	0.078
r	r	1.0
s	s	0.855
s	z	0.068
s	k_s	0.068
t	t	0.86
t	d	0.137
v	v	0.527
v	w	0.184
v	-	0.123
v	ɣ	0.123
w	v	0.931
w	w	0.069
x	ɣ	0.41
x	x	0.319
x	j	0.11
x	-	0.069
x	ɡ	0.069
z	z	0.922
z	s	0.053
ç	x	0.883
ç	-	0.108
ŋ	ŋ	0.874
ŋ	-	0.068
ŋ	ɣ	0.065
ɐ	r	0.527
ɐ	ə_r	0.386
ə	ə	1.0
ə_#>	#>	1.0
ɡ	ɣ	0.699
ɡ	-	0.216
ɣ	ɣ	0.629
ɣ	x	0.361
ɪ	ɪ	0.683
ɪ	ə	0.229
ʃ	s	0.727
ʃ	s_k	0.273
ˈa	ˈɔ	0.155
ˈa	ˈoːu̯	0.151
ˈa	ˈɔː	0.14
ˈa	ˈaː	0.132
ˈa	ˈɛː	0.115
ˈa	ˈa	0.09
ˈa	ˈaːi̯	0.052
ˈaɪ̯	j_ˈoː	0.379
ˈaɪ̯	ˈɛɪ̯	0.134
ˈaɪ̯	ˈɔːɪ̯	0.102
ˈaɪ̯	ˈeː	0.101
ˈaɪ̯	ˈi	0.08
ˈaɪ̯	a	0.076
ˈaɪ̯	j	0.076
ˈaʊ̯	ˈoː	0.847
ˈaʊ̯	ˈoːu̯	0.078
ˈaʊ̯	ˈu	0.076
ˈaː	ˈɔː	0.525
ˈaː	ˈoː	0.144
ˈaː	ˈaːi̯	0.13
ˈaː	ˈɛ	0.13
ˈeː	ˈeː	0.457
ˈeː	ˈaː	0.245
ˈeː	ˈɛɪ̯	0.141
ˈeː	ˈaːu̯	0.092
ˈeː	ˈoː	0.059
ˈiə̯	ˈiː	0.067
ˈiɛ̯	ˈeː	0.258
ˈiː	ˈi	0.509
ˈiː	ˈiː	0.348
ˈiː	ˈɛɪ̯	0.132
ˈoː	ˈoːu̯	0.673
ˈoː	ˈuː	0.277
ˈuə̯	ˈoːu̯	0.385
ˈuə̯	ˈuː	0.195
ˈuː	ˈuː	0.878
ˈuː	ˈɛɪ̯	0.095
ˈuːə̯	ˈʊ	0.367
ˈuːə̯	ˈuː	0.278
ˈuːə̯	ˈɔː	0.162
ˈuːə̯	ˈɔ	0.103
ˈyə̯	ˈɔ	0.258
ˈyː	ˈuː	0.66
ˈyː	ˈu	0.177
ˈyː	ˈyː	0.075
ˈyːœ̯	ˈuː	0.508
ˈø	ˈyː	1.0
ˈøː	ˈɛɪ̯	0.778
ˈøː	ˈeː	0.172
ˈœː	ə	0.361
ˈœː	ˈeː	0.361
ˈœː	ˈoː	0.211
ˈɒː	ˈɔː	0.508
ˈɔ	ˈoː	0.407
ˈɔ	ˈɔː	0.206
ˈɔ	ˈaːu̯	0.114
ˈɔ	ˈɔ	0.08
ˈɔː	ˈoː	0.25
ˈɔː	ˈiː	0.225
ˈɔː	ˈɛɪ̯	0.171
ˈɔː	ˈoːu̯	0.131
ˈɔː	ˈɔː	0.113
ˈɔː	ˈɛ	0.068
ˈɛ	ˈɛ	0.226
ˈɛ	ˈa	0.171
ˈɛ	ˈʊ	0.171
ˈɛ	ˈɔː	0.149
ˈɛ	ˈuː	0.087
ˈɛ	ˈaːi̯	0.085
ˈɛ	ˈɪ	0.085
ˈɛː	ˈɔː	0.315
ˈɛː	-	0.199
ˈɛː	ˈɛɪ̯	0.199
ˈɛː	ˈiː	0.126
ˈɪ	ˈɪ	0.587
ˈɪ	ˈiː	0.163
ˈɪ	ˈi	0.102
ˈɪ	j_ˈʊ	0.078
ˈɪ	ˈɛ	0.059
ˈɪə̯	ˈoː	0.488
ˈɪə̯	j	0.322
ˈɪə̯	ˈeːu̯	0.119
ˈɪɛ̯	ˈeː	0.511
ˈɪɛ̯	ˈi	0.138
ˈɪɛ̯	ˈaː	0.11
ˈɪɛ̯	ˈɔː	0.108
ˈɪɛ̯	ˈiː	0.06
ˈʊ	ˈʊ	0.587
ˈʊ	ˈuː	0.218
ˈʊ	ˈɔ	0.109
ˈʊ	ˈu	0.084
ˈʏ	ˈoːu̯	0.28
ˈʏ	ˈɛː	0.28
ˈʏ	ˈɔ	0.177
ˈʏ	ˈʊ	0.177
