Afrikaans	Bavarian	probability
χ_t	x_d̥	1.0
χ_r	ɡ̊_r	1.0
ˈɪø̯	ˈu	1.0
ˈɔ_r	ˈu_ɐ	1.0
ˈœu̯	ˈo_j	1.0
ˈæː	-	1.0
ˈyː	ˈai̯	1.0
ˈoː	ˈou̯_d̥	1.0
ɦ	h	1.0
ə_ŋ	n	1.0
ə_r	ɐ	1.0
w	ˈeː	1.0
v̥	f	1.0
v_ˈə	ʋ	1.0
v	ʋ	1.0
t_ə	sː	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
r_ˈi	r_ˈai̯	1.0
m	m	1.0
j	-	1.0
i	eː	1.0
d_ˈɔ	d̥_ˈo	1.0
d_r	d̥_r	1.0
d	d̥	1.0
b	b̥	1.0
ˈə	ˈi	0.911
n	n	0.834
d̥	d̥	0.833
ŋ	ŋ	0.779
ˈœɪ̯	ˈau̯	0.76
ˈu	ˈuɐ̯	0.748
ə	-	0.727
t	ʦ	0.719
ˈɔ	ˈu	0.716
ˈi	ˈiɐ̯	0.716
χ	ɡ̊	0.708
r	ɐ	0.699
ɫ	l	0.669
p	b̥͡v̥	0.659
ˈəɪ̯	ˈai̯	0.648
ˈæ	ˈi	0.607
ˈœ	ˈu	0.588
k	kʰ	0.558
s	s	0.53
ˈɛ	ˈe	0.418
ˈœ	-	0.412
ˈæ	ˈe	0.393
ˈɑː	ˈoː	0.377
ˈɪə̯	ˈe	0.363
ˈʊə̯	ˈo	0.345
p	fː	0.341
ɫ	j	0.331
ˈɛ	ˈi	0.327
s	ʃ	0.31
ˈɔ	ˈo	0.284
ˈi	-	0.284
r	r	0.26
ˈɛ	ˈeː	0.255
ˈu	-	0.252
ˈœɪ̯	ˈai̯	0.24
ˈəɪ̯	ˈoɐ̯	0.23
ŋ	ŋ_a	0.221
ˈa	ˈɑ	0.204
ˈa	ˈɒː	0.201
ˈa	ˈo	0.198
ˈɪə̯	ˈoɐ̯	0.19
t	s_n	0.186
ˈɑː	ˈe	0.183
ˈʊə̯	-	0.171
d̥	d̥_n	0.167
ˈʊə̯	ˈaː	0.163
ˈɪə̯	ˈe_d̥	0.154
k	ɡ̊	0.152
χ	ŋ	0.139
ə	i	0.138
ə	n	0.135
ˈʊə̯	ˈeː	0.131
k	ɡ̊_a	0.125
ˈəɪ̯	-	0.122
ˈɪə̯	ˈɛ	0.121
ˈɑː	ˈɒː	0.121
k	x	0.117
ˈʊə̯	ˈou̯	0.113
ˈa	ˈɒ	0.107
χ	x_d̥	0.097
t	d̥	0.095
ˈə	ˈiː	0.089
ˈɑː	ˈɒ	0.086
ˈɑː	ˈɑː	0.086
ˈɑː	-	0.086
ˈɪə̯	ˈai̯	0.085
ˈɪə̯	-	0.085
n	ŋ	0.083
ˈa	ˈe	0.082
ˈa	-	0.082
ˈʊə̯	ˈa	0.076
s	-	0.075
ˈa	ˈɑː	0.063
ˈa	ˈa	0.063
ˈɑː	ˈɑ	0.06
χ	x	0.056
n	ˈi_n	0.051
