Štokavian	Czech	probability
̌	-	1.0
̂	-	1.0
ʨ	ʦ	1.0
ʧ	ʧ	1.0
ʦ_j	ʦ	1.0
ʎ	l	1.0
ʋ	v	1.0
ɲ	ɲ	1.0
ɡ̊	k	1.0
ɡ_a	ɦ_ɛ	1.0
ɡ	ɦ	1.0
x	x	1.0
uː_̌	ou̯	1.0
t_i	t	1.0
s_a	s	1.0
s	s	1.0
r_j	r̝	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_j	l	1.0
l	l	1.0
j_eː	iː	1.0
iː_̂	ɪ	1.0
i_̂	iː	1.0
eː_̂	a	1.0
d̥	d̥	1.0
d_e	d_ɛ	1.0
a_̂	aː	1.0
a_r	r_iː	1.0
a_m	m̩	1.0
k	k	0.942
z	z	0.928
o	o	0.919
t	t	0.897
d	d	0.882
e	ɛ	0.872
b	b	0.858
eː	ɛ	0.829
j	j	0.826
i	ɪ	0.781
ʒ	ʒ	0.696
r	r	0.671
o_̂	uː	0.666
r̩	r̩	0.631
oː	o	0.617
a	a	0.586
r̩ː	r	0.585
j_e	iː	0.569
ʦ	-	0.553
aː	a	0.549
u	l̩	0.534
u	ou̯	0.466
ʦ	ʦ	0.447
j_e	ɛː	0.431
r̩ː	r̩	0.415
uː	u	0.404
oː	uː	0.383
r̩	r̝	0.369
o_̂	ɛ	0.334
ʒ	ʒ̊	0.304
uː	-	0.261
a	ɛ	0.251
aː	aː	0.23
aː	-	0.221
i	-	0.219
r	r̝	0.201
uː	l_u	0.193
j	-	0.174
uː	ou̯	0.142
b	b̥	0.142
r	r̝̊	0.128
e	-	0.128
d	ɟ	0.118
a	-	0.104
t	c	0.103
eː	-	0.099
o	l	0.081
z	-	0.072
k	-	0.058
a	o	0.058
