Aragonese	Occitan	probability
d	d	1.0
f	f	1.0
r	r	1.0
u	u	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
ʧ	ʤ	1.0
ˈi	ˈi	1.0
a	a	0.221
m	m	0.961
o	i	0.201
ð	z	0.091
ɾ	ɾ	0.641
ˈa	ˈa	0.911
ˈe	ˈu	0.081
β	w	0.121
a	-	0.052
e	e	0.912
i	i	0.442
o	e	0.352
p	-	0.072
ɡ	-	0.102
ɡ	ɡ	0.722
ˈo	ˈɔ	0.262
β	β	0.712
θ	s	0.672
j	-	0.253
w	w	0.283
ð	ð	0.83
ʎ	ʎ	0.813
θ	z	0.053
b	b	0.274
o	ˈɛ	0.064
o	-	0.104
o	w	0.14
w	-	0.064
w	ɥ	0.654
ʝ	-	0.654
ˈo	ˈe	0.054
ˈo	ˈa	0.134
β	-	0.064
t	t	0.885
ɾ	-	0.105
ˈo	ˈa_w	0.115
ˈo	ˈu	0.435
ˈu	ˈu	0.35
ˈu	ˈy	0.65
θ	-	0.125
θ	ʦ	0.15
a	ɔ	0.666
b	v	0.726
s	s	0.936
ð	-	0.066
ɡ	k	0.176
ɣ	-	0.186
ʝ	ʤ	0.346
k	k	0.947
ɣ	k	0.127
ɣ	ɣ	0.687
ʎ	l	0.187
ˈe	j_ˈɛ	0.057
e	-	0.088
i	e	0.558
l	l	0.98
p	p	0.928
ɾ	r	0.208
ˈe	ˈe	0.488
j	j	0.719
n	n	0.969
o	u	0.139
t	-	0.069
ˈa	-	0.089
ˈe	ˈɛ	0.169
β	v	0.059
