Old West Norse	Scots	probability
ˈɔː	ˈø	1.0
ˈɔ	-	1.0
ˈɑ_l	ˈɑː	1.0
ˈøː	ˈi	1.0
ˈøy̯	ˈiː	1.0
ˈyː_r̥	ˈuː	1.0
ˈyː	ˈiː	1.0
ˈuː_ɣ	ˈiː	1.0
ˈu_lː	ˈuː	1.0
ˈe_ɣ	ˈɛː	1.0
ˈe_k	ˈaː	1.0
ˈa	-	1.0
ʝː	ˈeː	1.0
ɾ	ə	1.0
ɡ_r̥	x	1.0
ɟː	ɡ	1.0
ɟ	-	1.0
ɑː	i	1.0
ɑ_ŋ	e	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ð_r̥	d	1.0
ç	h	1.0
x_w	ʍ	1.0
v_ˈe	w	1.0
tʰ	tʰ	1.0
t	t	1.0
sː	s	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
s	s	1.0
r̥ː	r	1.0
r_ˈe	r_ˈɪ	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
n̥	n	1.0
m	m	1.0
l̥	l	1.0
l_v	f	1.0
kː	ŋ_k	1.0
kʰ	kʰ	1.0
k_ˈoː	ˈøː	1.0
k	k	1.0
j_ˈɔ	ˈɪ	1.0
j_ˈuː	ˈi	1.0
j	-	1.0
i_ɡ	ɪ	1.0
h	h	1.0
f	f	1.0
cʰ	kʰ	1.0
c	k	1.0
b	b	1.0
a	-	1.0
n	n	0.942
d	d	0.921
θ	θ	0.894
l	l	0.873
r	r	0.848
ɣ	-	0.806
ˈi	ˈɪ	0.795
ˈɛi̯	ˈe	0.761
nː	n	0.731
ˈiː	ˈəi̯	0.692
ˈɛː	ˈɑː	0.632
ɡː	-	0.631
j_ˈoː	ˈiː	0.624
i	ə	0.623
tː	t	0.621
r̥	r	0.618
ŋ	ŋ	0.617
ˈeː	ˈiː	0.609
ˈy	ˈɪ	0.597
ˈɛ	-	0.548
lː	l	0.544
ˈuː	ˈu	0.542
u	-	0.522
ð	d	0.51
u	n	0.478
ˈe	-	0.476
lː	-	0.456
ˈɛ	ˈɛ	0.452
ˈo	-	0.425
ˈy	ˈo	0.403
ˈoː	-	0.393
ŋ	-	0.383
ˈɑu̯	ˈi	0.382
tː	ç	0.379
i	-	0.377
j_ˈoː	ˈi	0.376
ɡ	-	0.374
ɡː	ʤ	0.369
ˈɛː	ˈi	0.368
ˈu	ˈʌ	0.365
ˈɑu̯	ˈiː	0.364
ˈoː	ˈɪ	0.364
ɡ	ɡ	0.36
v	-	0.335
v	v	0.311
ˈiː	-	0.308
ð	ð	0.302
ˈɑ	ˈeː	0.294
ˈo	ˈo	0.289
ˈo	ˈɪ	0.286
ˈɑ	ˈa	0.277
ˈɑː	-	0.276
nː	-	0.269
ˈe	ˈɛ	0.266
ɡ	ə	0.266
ˈe	ˈa	0.257
ˈɑu̯	ˈe	0.254
v	w	0.244
ˈoː	ˈø	0.243
ˈɛi̯	-	0.239
ˈuː	ˈuː	0.238
ˈu	ˈu	0.231
ˈeː	ˈi	0.23
ˈɑː	ˈi	0.229
ˈuː	ˈəi̯	0.22
ˈɑː	ˈiː	0.217
ˈu	-	0.207
ˈu	ˈɪ	0.198
ɣ	i	0.194
ð	θ	0.188
ˈeː	ˈɪ	0.161
ˈɑː	ˈø	0.16
ˈɑ	ˈɑː	0.148
ˈɑ	ˈɛ	0.145
r̥	-	0.136
l	-	0.127
ˈi	-	0.125
ˈɑː	ˈɑː	0.118
v	f	0.11
θ	-	0.106
r̥	ç	0.086
r	-	0.085
ˈɑ	ˈe	0.081
ˈi	ˈaːɪ̯	0.08
r̥	ə_r	0.08
r̥	t	0.08
d	-	0.079
ˈɑ	-	0.055
r	ˈeː	0.053
