Northern Low Saxon	Icelandic	probability
aɪ̯	aːu̯	1.0
i	u	1.0
j	ɟ̊	1.0
p	p	1.0
pʰ	pʰ	1.0
tʰ	tʰ	1.0
ʃ	s	1.0
ˈø	ˈɛ	1.0
ˈɔː	ˈɔ	1.0
ˈɛː	ˈɛː	1.0
kʰ	kʰ	0.491
s	s	0.871
v	v	0.81
x	ɡ̊	0.11
ŋ	-	0.141
ɡ	x	0.051
ɪ	ɛː	0.301
ʒ	-	0.611
ˈaʊ̯	ˈɔ	0.11
ˈaː	ˈa	0.561
ˈoː	ˈɑːu̯	0.251
ˈuː	ˈʏ	0.121
ˈɔ	ˈɔu̯	0.221
ˈɔʏ̯	ˈai̯	0.151
ˈɛ	ˈɛ	0.271
ˈɛɪ̯	ˈa	0.481
ˈʊ	ˈu	0.401
h	ç	0.222
k	ʰk	0.252
k	k	0.252
m	a	0.072
m	v_a	0.112
m	m	0.72
n	t_n̥	0.052
t	ʰt	0.372
z	s	0.972
ç	x	0.092
ç	ɟ̊ː	0.092
ç	r̥	0.222
ç	ɣ	0.222
ŋ	ɲ	0.052
ɐ	ʏ_r̥	0.102
ə	ˈœː	0.312
ˈa	ˈaː	0.162
ˈaʊ̯	ˈoːu̯	0.302
ˈeː	ˈiː	0.122
ˈøː	ˈɔː	0.332
ˈɔ	ˈa	0.092
ˈɔʏ̯	ˈʏ	0.062
ˈɛ	ˈaː	0.22
n	nː	0.123
v	-	0.143
x	j	0.13
ɐ	ɪ	0.283
ɡ	ɟ̊	0.123
ˈa	ˈɛ	0.053
ˈaɪ̯	ˈɛi̯	0.083
ˈaɪ̯	j	0.533
ˈaː	ˈɛ	0.093
ˈeɪ̯	j	0.53
ˈiː	j_ˈɛː	0.083
ˈuː	ˈoːu̯	0.063
ˈyː	ˈi	0.3
ˈœː	ˈʏ	0.343
ˈɔʏ̯	ˈaːi̯	0.353
ˈɪ	ˈɪ	0.263
ˈʏ	ˈɛː	0.073
f	-	0.094
kʰ	n̥	0.054
x	ɣ	0.14
x	ʰt	0.414
ŋ	ɟ̊ː	0.074
ɡ	ɡ̊	0.24
ɪ	ɡ̊_ʏ	0.524
ˈaʊ̯	ˈœːy̯	0.234
ˈaː	ˈɪ	0.144
ˈaː	ˈau̯	0.144
ˈeɪ̯	ˈaː	0.064
ˈiː	ˈɪ	0.064
ˈœ	ˈɔ	0.174
ˈœ	ˈou̯	0.174
ˈɔ	ˈɔ	0.084
ˈɛ	ˈɛː	0.14
ˈʏ	ˈai̯	0.274
d	θ	0.185
d	d̥	0.195
f	v	0.225
k	c	0.495
l	l̥	0.315
l	l	0.655
n	-	0.135
r	-	0.075
t	n	0.075
ç	ʏ_r̥	0.185
ŋ	ɡ̊	0.05
ɐ	r	0.25
ɡ	c	0.085
ɡ	k	0.225
ɪ	ɑu̯	0.175
ˈa	ˈa	0.45
ˈaɪ̯	ˈɛːi̯	0.105
ˈeː	ˈɛː	0.155
ˈiː	ˈɛː	0.055
ˈoː	ˈaːu̯	0.195
ˈɪ	ˈi	0.225
ˈʊ	ˈʏː	0.155
x	r̥	0.206
ŋ	a	0.186
ŋ	ŋ	0.496
ɡ	ʰk	0.196
ˈaɪ̯	ˈiː	0.076
ˈaʊ̯	ˈa	0.06
ˈeː	ˈœ	0.196
ˈeː	ˈaːi̯	0.196
ˈoː	ˈa	0.146
ˈøː	ˈɪː	0.206
ˈœ	ˈɛ	0.326
ˈœ	ˈau̯	0.326
ˈɔ	ˈɪ	0.056
ˈɔʏ̯	ˈeːi̯	0.056
ˈɪ	ˈɛ	0.126
ˈʊ	ˈʏ	0.356
b	p	0.217
b	b̥	0.7
d	t	0.27
kʰ	cʰ	0.437
r	r	0.847
s	v	0.087
ç	ɡ̊	0.07
ɐ	r̥	0.257
ˈaʊ̯	ˈaːu̯	0.087
ˈeɪ̯	ˈɛ	0.407
ˈeː	ˈɪː	0.127
ˈoː	ˈau̯	0.067
ˈoː	ˈaː	0.097
ˈyː	ˈuː	0.147
ˈyː	ˈʏː	0.147
ˈøː	ˈœː	0.077
ˈœː	ˈɛ	0.657
ˈɪ	ˈa	0.067
ˈɪ	u	0.067
ˈʊ	ˈɔ	0.067
ˈʏ	ˈʏː	0.117
ˈʏ	ˈɪ	0.187
f	f	0.68
h	h	0.778
r	r̥	0.078
ə	a	0.688
ˈa	ˈœ	0.098
ˈa	ˈɑu̯	0.168
ˈaː	ˈɑu̯	0.058
ˈeː	ˈɛ	0.108
ˈiː	ˈiː	0.798
ˈoː	ˈɔː	0.098
ˈøː	ˈi	0.108
ˈøː	ˈiː	0.108
ˈøː	ˈɛː	0.168
d	ð	0.259
n	a	0.199
n	n	0.39
t	t	0.49
ʒ	θ	0.389
ˈuː	ˈuː	0.789
ˈyː	ˈu	0.09
ˈyː	ˈiː	0.279
ˈɔ	r	0.129
ˈɔ	ˈʏː	0.129
ˈɔ	ˈœː	0.139
ˈɔ	ˈʏ	0.149
ˈɔʏ̯	ˈœːy̯	0.09
ˈɔʏ̯	ˈou̯	0.279
ˈɛ	j	0.369
ˈɛɪ̯	ˈɛi̯	0.519
ˈɪ	ˈɛː	0.089
ˈʏ	ˈau̯	0.069
ˈʏ	ˈʏ	0.279
