Gothic	Pennsylvania German	probability
aː	ə	1.0
e	ə	1.0
l	l	1.0
lː	l	1.0
nː	n	1.0
ɔː	-	1.0
ɡʷ	-	1.0
ɡːʷ	-	1.0
m	n	0.061
oː	ə	0.21
oː	ˈɔː	0.261
p	p	0.151
s	s	0.181
u	ə	0.361
ɣ	ç	0.441
ˈeː	ˈoː	0.751
ˈoː	ˈuː	0.701
ˈu	ˈɔː	0.051
ˈuː	ˈʊ	0.151
ˈɔː	ˈɔ	0.151
ˈɛː	ˈaɪ̯	0.061
β	-	0.091
β	p	0.091
a	ə	0.782
f	b̥	0.172
h	h	0.552
j	ˈiː	0.062
k	-	0.252
z	-	0.502
ɣ	-	0.252
ɣ	ɡ	0.252
ˈiu̯	ˈiː	0.622
θ	-	0.162
d	d̥	0.303
iː	ˈeː	0.133
j	-	0.193
k	kʰ	0.213
ð	t	0.093
ˈɔ	ˈaː	0.833
ˈɔː	ˈoː	0.323
ˈɛ	ˈeː	0.073
ˈɛ	ˈɛ	0.263
θ	d	0.373
b	b	0.864
m	m	0.894
n	n	0.864
r	ɑ	0.364
t	t	0.124
t	s	0.384
x	ç	0.244
ɣ	ɡ̊	0.054
ˈa	ˈɛ	0.154
ˈa	ˈa	0.54
ˈi	ˈɛ	0.134
ˈu	ˈɔ	0.134
ˈuː	ˈuː	0.094
ˈɔ	ˈoː	0.114
ˈɛ	ˈɛː	0.664
ˈɛː	ˈa	0.084
i	ˈaɪ̯	0.135
k	ç	0.315
kʷ	f	0.5
kʷ	kʰ	0.5
oː	ɑ	0.5
s	-	0.665
t	d	0.085
ɡ	ɡ	0.405
ʍ	ʋ	0.485
ˈiu̯	ˈaɪ̯	0.335
ˈoː	ˈʊ	0.15
ˈoː	ˈaɪ̯	0.15
ˈu	ˈɛ	0.065
θ	d̥	0.465
a	-	0.216
h	ŋ	0.066
k	x	0.096
n	-	0.136
r	-	0.176
r	ɾ	0.46
s	ʃ	0.146
t	d̥	0.056
x	ɡ̊	0.756
ɡ	ɣ	0.076
ˈiː	ɑ	0.096
ˈiː	ˈɪ	0.096
ˈɛː	ˈɛ	0.116
i	-	0.627
iː	-	0.867
w	-	0.087
w	ʋ	0.777
ð	d	0.87
ŋ	-	0.177
ɡ	-	0.37
ʍ	v	0.237
ˈi	ˈʊ	0.057
ˈi	ɾ	0.057
ˈuː	ˈaʊ̯	0.597
ˈɔː	ˈeː	0.247
i	ɑ	0.238
j	ɾ	0.298
u	-	0.608
w	ˈɛ	0.068
w	v	0.068
z	ʃ	0.498
ɡ	j	0.058
ˈu	ˈoː	0.088
ˈɛː	ˈeː	0.738
b	b̥	0.109
d	-	0.209
d	d	0.489
f	f	0.779
h	-	0.119
h	x	0.139
j	j	0.409
k	k	0.09
p	f	0.849
t	ʦ	0.299
ŋ	ŋ	0.779
ɡ	ɡ̊	0.09
ʍ	n	0.279
ˈa	ˈɔː	0.079
ˈa	ˈaː	0.119
ˈeː	ˈɔː	0.249
ˈi	ˈɪ	0.599
ˈiː	ˈaɪ̯	0.809
ˈu	ˈʊ	0.579
ˈuː	ɑ	0.159
ˈɔː	ˈɛ	0.119
ˈɔː	ˈɔː	0.159
β	v	0.819
