Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈʊ_ɐ	ˈuːə̯	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈoː_#>	ˈa_n_#>	1.0
ˈiː_ɐ	ˈiː	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ʃ_#>	ʃ_k_#>	1.0
ʃ	ʃ	1.0
ɾ_ɐ	ɐ	1.0
ɾ	d	1.0
ə	-	1.0
z̥	t	1.0
x_d̥	x_t	1.0
x	k	1.0
v̥	-	1.0
v_ˈɔ	v	1.0
t	t_ˈɛː	1.0
r_ˈaɪ̯	r	1.0
n_d̥	n	1.0
n_#>	#>	1.0
n	n	1.0
m_#>	v_n_#>	1.0
j	j	1.0
h	h	1.0
f_#>	p_#>	1.0
eː	aɪ̯	1.0
d̥_ˈɔ	d	1.0
b̥͡v̥	p	1.0
b̥_#>	v_#>	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
l	l	0.957
m	m	0.929
r	r	0.923
f	f	0.917
b̥	b	0.85
ɐ	ɐ	0.821
ŋ	ŋ	0.786
ˈaʊ̯	ˈuː	0.75
v	v	0.727
ˈʊ	ˈʊ	0.692
ˈɒ	ˈa	0.679
ˈɪ	ˈɪ	0.654
ˈɔ	-	0.625
ʃ_d̥	ʃ_t	0.6
n_a	n_n	0.6
ˈaɪ̯	ˈiː	0.571
ˈoː	ˈɔː	0.524
ˈeː	-	0.5
s	s	0.486
d̥	d̥	0.475
ɡ̊	k	0.471
a	ə	0.467
ç	ç	0.455
ˈɛ	ˈɛ	0.421
d̥	d	0.41
ˈiː	ˈaɪ̯	0.4
ʃ_d̥	t	0.4
n_a	n	0.4
ˈuː	ˈoː	0.389
ˈuː	ˈaʊ̯	0.389
ˈɔ	ˈʊ	0.375
ç	k	0.364
ɡ̊	x	0.353
ˈaː	ˈeː	0.333
ˈaː	ˈaʊ̯	0.333
ˈɛ	ˈɪɛ̯	0.316
ˈoː	-	0.286
v	ʋ	0.273
a	n	0.267
a	-	0.267
ˈeː	ˈɪɛ̯	0.25
ˈeː	ˈaɪ̯	0.25
ˈaʊ̯	ˈʊ	0.25
ˈuː	-	0.222
s	t	0.216
ŋ	ɡ_n	0.214
ˈɛ	-	0.211
ˈiː	-	0.2
ˈaː	ˈeː_n	0.2
ˈaɪ̯	-	0.19
ç	-	0.182
ɐ	-	0.179
ˈiː	ˈɪ	0.16
ˈiː	ˈøː	0.16
ˈʊ	ˈuə̯	0.154
ˈʊ	-	0.154
ˈɪ	ˈʏ	0.154
ˈɪ	-	0.154
ˈɒ	-	0.143
ˈoː	ˈa	0.143
ˈaɪ̯	ˈyː	0.143
s	z̥	0.135
ˈaː	-	0.133
ˈɒ	ˈɔ	0.107
b̥	ʋ	0.1
ˈaɪ̯	ˈɪ	0.095
ɡ̊	ç	0.088
ɡ̊	-	0.088
f	-	0.083
d̥	t	0.082
ˈiː	ˈiː	0.08
r	-	0.077
ˈɒ	ˈʊ	0.071
m	v	0.071
s	z_ə	0.054
s	z	0.054
s	t_ə	0.054
ˈɛ	ˈyə̯	0.053
