Western Lombard	Western Lombard	probability
ˈœ	w_ˈo	1.0
ˈøː_l	ʎ	1.0
ˈỹ	ˈu_n	1.0
ˈũ	ˈu	1.0
ˈĩ	ˈi_n	1.0
ˈiː	-	1.0
ʤ	ɡ_ʎ	1.0
ɲ	-	1.0
w	-	1.0
ũ	-	1.0
u	-	1.0
t_#>	#>	1.0
r_n	r_n	1.0
r	r	1.0
o	-	1.0
m	m	1.0
l_#>	#>	1.0
k_#>	#>	1.0
k	k	1.0
ĩ	j	1.0
i	i	1.0
ẽ	n_e	1.0
e_r	r_u	1.0
e	a	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_f_j	<#_ˈi	1.0
<#_f	<#	1.0
t	t	0.846
p	p	0.833
a	ə	0.821
n	n	0.818
ˈã	ˈɔ	0.8
ˈɑː	ˈa	0.778
ˈuː	ˈu	0.714
ˈa	ˈa	0.714
ˈẽ	ˈi_n	0.667
ʒ	ʒ	0.667
v	v	0.636
ˈøː	ˈo	0.625
ˈyː	-	0.6
l	l	0.6
j	l	0.6
s	s	0.593
ˈeː	ˈe	0.571
ɡ	ɡ	0.571
ˈɔ	ˈo	0.556
f	f	0.556
#>	ə_#>	0.556
ˈu	ˈu	0.5
ˈu	ˈo	0.5
ˈi	ˈu	0.5
ˈi	-	0.5
ˈe	i	0.5
ˈe	-	0.5
ʧ	ʦ	0.5
ʧ	k_ʎ	0.5
d	d	0.5
f	w	0.444
ˈeː	e̯ˈa	0.429
ɡ	-	0.429
ˈɛ	ˈe	0.421
ˈyː	ˈu	0.4
j	ʎ	0.4
ˈøː	o̯ˈa	0.375
ˈɛ	ˈa	0.368
v	-	0.364
ˈẽ	ˈi	0.333
ʒ	ʤ	0.333
<#	<#_ˈa	0.333
<#	<#_w	0.333
<#	<#_j	0.333
d	t	0.3
ˈuː	-	0.286
ˈa	ˈa_p	0.286
ˈɔ	ˈu	0.222
ˈɔ	o̯ˈa	0.222
ˈɑː	ˈɔ	0.222
#>	t_i_#>	0.222
ˈã	ɔ	0.2
d	z	0.2
n	-	0.182
p	kʲ	0.167
t	p	0.154
s	ʃ	0.148
l	ʎ	0.133
l	r_i	0.133
l	r	0.133
s	ʦ_i	0.111
#>	k_#>	0.111
#>	j_n_i_#>	0.111
a	-	0.107
ˈɛ	e̯ˈa	0.105
ˈɛ	-	0.105
s	ʦ	0.074
s	-	0.074
a	ˈa	0.071
