Provençal	Provençal	probability
ˈɔ	ˈɔ	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈe_ʧ	j_t	1.0
ˈe_ʀ	ɾ_t	1.0
ˈe_w	ʊ	1.0
ˈe_s	s_ʊ	1.0
ˈe_k	ɣ	1.0
ˈa_n_ɔ_#>	ˈa_#>	1.0
ˈa_#>	ˈa_ɾ_#>	1.0
ʀ_#>	ɾ_ʊ_#>	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_ɔ	ɾ_ɐ	1.0
ɲ	ɲ	1.0
ɥ_ˈe	ˈo	1.0
y	-	1.0
w_ˈẽ	ˈo	1.0
w_ˈe	ˈɔ	1.0
ũ	o	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
s_k	s_k	1.0
s_#>	θ_#>	1.0
p_ˈe	p_ˈe	1.0
p_l	ʧ	1.0
p	p	1.0
n_ɔ	ɐ	1.0
mː	m	1.0
m	m	1.0
l_ˈu	ˈo_ɾ	1.0
k_ˈa	k_ˈɑ	1.0
k_l	ʧ	1.0
k_#>	k_ʊ_#>	1.0
j_ˈe	ˈe	1.0
j_s	ʃ	1.0
ĩ	i	1.0
f	f	1.0
ẽ	e	1.0
e_#>	#>	1.0
ã	ɑ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʃ	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
ɔ	ɐ	0.968
a	a	0.867
k	k	0.861
ɾ	ɾ	0.839
ˈy	ˈu	0.8
v	b	0.769
ˈɛ	ˈɛ	0.724
ʤ	ʃ	0.714
<#_a	<#_a	0.667
<#_s	<#_s	0.64
ˈẽ	ˈe	0.636
ˈa	ˈa	0.625
ɥ	ˈo	0.625
w_#>	l_#>	0.625
ɾ_e	ɾ_ʊ	0.6
ʀ	ɾ	0.579
ˈu	ˈo	0.545
s	s	0.542
ˈe	ˈe	0.538
b	b	0.536
ɡ	ɡ	0.529
u	o	0.529
ˈi_#>	ˈi_ɾ_#>	0.5
ˈi_#>	ɾ_#>	0.5
ˈã	ˈɑ	0.5
ˈã	ˈa	0.5
j_#>	ʊ_#>	0.5
j_#>	#>	0.5
i	e	0.5
i	-	0.5
ɡ	ɣ	0.471
b	β	0.464
d	d	0.462
#>	ʊ_#>	0.456
ŋ	ŋ	0.447
l	l	0.429
d	ð	0.423
ɾ_e	ˈe_ɾ	0.4
z	θ	0.4
n	ɲ	0.4
n	n	0.4
ɥ	-	0.375
w_#>	#>	0.375
<#_s	<#_θ	0.36
ŋ	n	0.34
ˈũ	ˈu	0.333
ˈũ	ˈo	0.333
<#_a	<#	0.333
e	ɪ	0.324
e	e	0.324
z	s	0.3
z	-	0.3
u	-	0.294
s	θ	0.292
ʤ	-	0.286
l	-	0.286
#>	ɪ_#>	0.265
j	-	0.258
j	ˈe	0.226
j	ɟ	0.226
ˈɛ	ˈe	0.207
ˈy	ˈo	0.2
n	-	0.2
ˈu	ˈɔ	0.182
ˈu	ˈu	0.182
ˈẽ	ˈɛ	0.182
ˈẽ	ˈi	0.182
w	ˈɔ	0.18
w	w	0.18
u	u	0.176
ˈũ	o	0.167
ˈũ	-	0.167
j	j	0.161
ˈe	j	0.154
ˈe	-	0.154
v	β	0.154
ˈa	ˈo	0.15
w	ˈo	0.14
a	-	0.133
j	ɟ_ʊ	0.129
e	ʊ	0.118
#>	t_ʊ_#>	0.118
d	-	0.115
ʀ	ʊ	0.105
ʀ	ɾ_n	0.105
ʀ	r	0.105
ʀ	-	0.105
w	l_ʊ	0.1
ɾ	r	0.097
l	ˈe	0.095
l	ˈa	0.095
l	ɾ	0.095
ˈu	ˈo_ð	0.091
e	o_s	0.088
e	i	0.088
s	ʃ	0.083
s	-	0.083
k	ɡ	0.083
w	l	0.08
ˈe	ˈɛ	0.077
ˈe	ɾ	0.077
v	v	0.077
ˈa	a	0.075
ˈɛ	-	0.069
ɾ	-	0.065
ŋ	n_t	0.064
ŋ	-	0.064
w	β_ɪ	0.06
w	ʊ	0.06
w	o	0.06
w	-	0.06
e	ˈe	0.059
#>	ɾ_ʊ_#>	0.059
#>	ɾ_#>	0.059
k	ɣ_ʊ	0.056
