Mainland North Frisian	Mainland North Frisian	probability
ˈɛː_d	ˈɛ_l	1.0
ˈœi̯	ˈaʊ̯	1.0
ˈœ_ʀ	ˈɔː	1.0
ˈyː	ˈaʊ̯	1.0
ˈuː_l	ˈaː	1.0
ˈai̯	ˈɪ	1.0
ʃ	ʃ	1.0
ɡ_ˈiː	j	1.0
ɡ	ɡ	1.0
ɛi̯	aɪ̯	1.0
ə_ʀ	ɐ	1.0
ə_#>	#>	1.0
ç	ç	1.0
z̥	d	1.0
z	d	1.0
w	ˈaɪ̯	1.0
v̥_#>	#>	1.0
v̥	f	1.0
v_ə	m	1.0
p_ə	b_m	1.0
n_t	n_d	1.0
m_ə	m	1.0
m	m	1.0
k_ə	ɡ	1.0
j_ˈa	ɡ	1.0
j_ə	ɡ	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
dʲ	d	1.0
d_ˈiː	d_ˈaɪ̯	1.0
d_ə	ŋ	1.0
d	d	1.0
<#_ʀ	<#_r	1.0
<#	<#_kʰ	1.0
l	l	0.953
v	v	0.917
b	b	0.9
p	b	0.833
n	n	0.825
tʲ	d	0.8
ə	n	0.76
s_#>	z̥_#>	0.75
i	ɪ	0.75
ŋ	ŋ	0.692
ˈɛ	ˈɔʏ̯	0.667
ˈɒː	ˈoː	0.667
ˈuː	ˈaʊ̯	0.667
s_t	ʃ_t	0.667
nʲ	n	0.667
n_ə	n_n	0.667
ˈiː	ˈaɪ̯	0.625
x	x	0.6
lʲ	l_d	0.6
#>	ˈaɪ̯_#>	0.6
t	d	0.59
s	z	0.576
ˈœː	-	0.571
ˈɒ	ˈa	0.556
ˈi	ˈiː	0.55
k	ɡ	0.524
ˈɛː	ˈoː	0.5
ˈɛː	ˈeː	0.5
ˈɔu̯	ˈoː	0.5
ˈɔu̯	-	0.5
ˈɔ	ˈaʊ̯	0.5
ˈɔ	-	0.5
ˈʏ	ˈuː	0.467
ˈʊ	-	0.45
ˈi	ˈɪ	0.45
ˈɒ	-	0.444
ˈa	ˈɪ	0.438
ˈɛi̯	ˈoː	0.429
ˈœː	ˈuː	0.429
k	kʰ	0.429
j	-	0.429
lʲ	l	0.4
#>	f_#>	0.4
ʀ	r	0.385
ʀ	ɐ	0.359
ˈʊ	ˈʊ	0.35
ˈɛ	ˈiː	0.333
ˈɒː	ˈa	0.333
ˈœ	ˈaʊ̯	0.333
ˈaː	ˈøː	0.333
ˈaː	ˈoː	0.333
ˈaː	ˈeː	0.333
s_t	s	0.333
nʲ	n_d	0.333
n_ə	n	0.333
ˈɔː	ˈɔ	0.3
ˈɔː	-	0.3
ˈɛi̯	ˈɔʏ̯	0.286
ˈɛi̯	-	0.286
j	ʒ	0.286
j	ɡ	0.286
ˈœ	ˈa	0.267
ˈa	-	0.25
s_#>	#>	0.25
i	i	0.25
ə	-	0.24
ˈeː	ˈʏ	0.231
ˈeː	ˈa	0.231
ˈeː	-	0.231
s	ʃ	0.212
s	s	0.212
ˈiː	-	0.208
t	tʰ	0.205
ˈʏ	ˈʏ	0.2
ˈʏ	-	0.2
ˈɔː	ˈøː	0.2
ˈɔː	ˈa	0.2
x	ɡ	0.2
x	-	0.2
tʲ	-	0.2
ˈa	ˈʏ	0.188
ˈuː	v	0.167
ˈuː	-	0.167
p	pʰ	0.167
ˈeː	ˈɛ	0.154
ˈeː	ˈœ	0.154
ʀ	-	0.154
ŋ	ç	0.154
ŋ	-	0.154
ˈʏ	ˈʊ_n	0.133
ˈœ	ˈʊ	0.133
ˈœ	ˈuː	0.133
ˈœ	-	0.133
t	t	0.128
ˈa	ˈa	0.125
ˈʊ	ˈa	0.1
ˈʊ	v_ˈʊ	0.1
n	-	0.1
b	-	0.1
ˈiː	ˈɔʏ̯	0.083
ˈiː	ˈeɪ̯	0.083
v	-	0.083
t	-	0.077
n	n_d	0.075
ʀ	ˈoː_ɐ	0.051
ʀ	r_ˈaʊ̯	0.051
