Ripuarian	Ripuarian	probability
ˈʏ	ˈʏ	1.0
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛː	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈɔː	1.0
ˈɔʊ̯	ˈɔʊ̯	1.0
ˈɔ	ˈɔ	1.0
ˈœ	ˈœ	1.0
ˈøː	ˈøː	1.0
ˈøʏ̯	ˈøʏ̯	1.0
ˈyː	ˈyː	1.0
ˈuː	ˈuː	1.0
ˈu	-	1.0
ˈoː	ˈoː	1.0
ˈoʊ̯	-	1.0
ˈo	ˈo	1.0
ˈiː	ˈiː	1.0
ˈeː	ˈeː	1.0
ˈeɪ̯	ˈeɪ̯	1.0
ˈe	ˈe	1.0
ˈaː	ˈaː	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ʀ	ʀ	1.0
ɫ	ɫ	1.0
ɪ	ɪ	1.0
ɣ̊	ɣ̊	1.0
ɣ	ɣ	1.0
ɡ̊	ɡ̊	1.0
ə	ə	1.0
ɕ	ɕ	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
v̥	v̥	1.0
v	v	1.0
t	t	1.0
s	s	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
e	e	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
