Portuguese	Portuguese	probability
ˈɨ	-	1.0
ˈɐ̃_j̃	ˈɛ̃ː	1.0
ˈũ	ˈuː_n	1.0
ˈo_w	ˈau̯	1.0
ˈĩ	ˈɪ	1.0
ˈẽ	ˈɛ_n	1.0
ˈa_β	ˈa_p	1.0
ʃ_t	s_t	1.0
ʃ_#>	s_#>	1.0
ɾ_ˈɐ	r_ˈaː	1.0
ɾ_ɨ	ɛ_r	1.0
ɾ_ɐ	r_ãː	1.0
ɾ_u	r_ʊ̃ː	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɾ_k	r_k	1.0
ɾ_#>	ɛ_#>	1.0
ɫ_s	ɫ_s	1.0
ɣ_w	kʷ	1.0
ɣ_u	k_ʊ̃ː	1.0
ɣ	k	1.0
ɡ	ɡ	1.0
ũ	ʊ_m	1.0
u_ɾ	ɔ_r	1.0
p	p	1.0
õ	ɔ_n	1.0
j_ɾ	r_i	1.0
j_t	k_t	1.0
j_#>	ɛ̃ː_#>	1.0
ĩ	ĩː	1.0
i_ʃ	s	1.0
f	f	1.0
ẽ	-	1.0
d	d	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_p_ɫ	1.0
<#_ʁ	<#_r	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#	<#_h	1.0
m	m	0.975
ˈɛ	ˈɛ	0.957
ɾ	r	0.846
ð	t	0.792
ˈi	ˈiː	0.771
v	w	0.762
u	ʊ̃ː	0.752
n	n	0.714
ɐ	ãː	0.689
ˈu	ˈuː	0.667
j̃	-	0.667
l	lʲː	0.625
ˈõ	ˈɔ_n	0.6
t	t	0.6
k	k	0.6
w	ɫ	0.556
ɨ	ɛ̃ː	0.549
w̃	n_ʊ̃ː	0.545
ˈɔ	ˈɔ	0.542
ʁ	rː	0.5
ʁ	r	0.5
ɐ̃	oː	0.5
ɐ̃	a	0.5
<#_ɔ	<#_ɔ	0.5
<#_ɔ	<#	0.5
β	p	0.455
ˈɐ̃	ˈaː	0.455
w̃	n_ɛ̃ː	0.455
ˈa	ˈa	0.449
ɫ	ɫ	0.444
w	-	0.444
ɲ	n	0.438
z	s	0.429
s	k	0.429
i	-	0.429
#>	ɛ_#>	0.424
ˈõ	ˈoː_n	0.4
ˈo	ˈɔ	0.4
k	kː	0.4
ʒ	ɡ	0.385
ʃ	k_ɛ̃ː	0.381
ʎ	ɫ	0.375
ʎ	lʲ_i	0.375
ˈa	ˈaː_r	0.367
β	p_ɛ	0.364
ˈu	ˈʊ	0.333
ɫ	ɫ_ɛ̃ː	0.333
j̃	ɛ̃ː	0.333
ˈɐ	ˈɛ	0.32
ˈe	ˈɪ	0.312
z	k_ɛ	0.286
z	k	0.286
n	nː	0.286
i	iː	0.286
i	ae̯	0.286
#>	ɛ̃ː_#>	0.273
ˈe	ˈeː	0.25
ʎ	ʊ_ɫ	0.25
ɲ	n_e	0.25
#>	ʊ̃ː_#>	0.242
ˈɐ	ˈa	0.24
v	b	0.238
ʒ	ɡ_ɛ	0.231
ʒ	j	0.231
ˈo	ˈʊ	0.222
ɫ	-	0.222
ˈɔ	ˈoː	0.208
l	lʲ	0.208
j	ʊ	0.208
j	n	0.208
j	-	0.208
ˈo	ˈoː	0.2
ʃ	s	0.19
ɲ	n_i	0.188
ˈa	ˈaː	0.184
β	-	0.182
s	sː	0.179
s	s	0.179
ˈɔ	-	0.167
t	k_t	0.167
l	ɫ	0.167
ʒ	d_i	0.154
ɐ	a	0.151
ʃ	sː	0.143
s	t_i	0.143
ˈɐ̃	ˈoː	0.136
ˈɐ̃	ˈa_ŋ	0.136
ˈɐ̃	ˈa_n	0.136
ˈɐ̃	ˈa	0.136
t	tː	0.133
ˈe	r	0.125
ɲ	i	0.125
j	d_i	0.125
ˈɐ	ˈɪ_k	0.12
ˈɐ	ˈeː	0.12
ˈɐ	ˈaː	0.12
ɨ	ɛ	0.118
ɾ	ɛ_r	0.115
u	oː	0.109
t	n_t	0.1
ɨ	ɪ	0.098
ʃ	oː_s	0.095
ʃ	k_ɫ	0.095
ʃ	f_ɫ	0.095
ɐ	aː	0.094
ˈi	ˈi	0.086
ˈɔ	ˈoː_d	0.083
ð	ɪ_t	0.083
ð	-	0.083
j	s	0.083
j	k	0.083
j	i	0.083
ˈɐ	ˈeː_ɡ	0.08
ɨ	eː	0.078
ɨ	-	0.078
s	t	0.071
ˈo	ˈɔ_k	0.067
ˈo	-	0.067
ˈe	ˈɛ_ɡ	0.062
ˈe	ˈɛ	0.062
ˈe	ˈiː_r	0.062
ˈe	ɛ_r	0.062
#>	n_ãː_#>	0.061
ɨ	ɛ̃	0.059
ˈi	ˈiː_w	0.057
ˈi	-	0.057
