Italian	Italian	probability
ˈɛ_n	ˈe_ŋ	1.0
ˈɛ_lː	ˈɛ	1.0
ˈo_j_#>	ˈu_#>	1.0
ˈe_lː	ˈe	1.0
ˈe_kː	ˈe_k	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈa_tː	ˈa_t	1.0
ˈa	ˈa	1.0
ʧː	s	1.0
ʧ_ˈi	s_ˈi	1.0
ʧ_e	z_a	1.0
ʦː	s	1.0
ʦ	s	1.0
ʤː	z	1.0
ʤ	z	1.0
ʣː	z	1.0
ʃː	s	1.0
ɲː	ɲ	1.0
ɡ_j	ʤ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z_o	z_o	1.0
z	z	1.0
w_ˈɔ	ˈo	1.0
u	-	1.0
tː	t	1.0
sː_o	s_o	1.0
sː	s	1.0
s	s	1.0
rː	r	1.0
r_ˈɔ	r_ˈɔ	1.0
r_ˈa	r_ˈa	1.0
r_t	r_t	1.0
r_o	r_o	1.0
r_n	r_n	1.0
r_e_#>	r_#>	1.0
r_a	r_a	1.0
r	r	1.0
p_o	p_o	1.0
o_#>	#>	1.0
o	o	1.0
nː	n	1.0
n_o_#>	ŋ_#>	1.0
n_e_#>	ŋ_#>	1.0
n_d	ŋ_d	1.0
mː	m	1.0
lː	ɰ	1.0
l_ˈe	ˈe	1.0
l_e_#>	l_#>	1.0
l_a	ɰ_a	1.0
kː_j	ʧ	1.0
kː	k	1.0
k_r	k_r	1.0
k_j	ʧ	1.0
j	j	1.0
i_k	e_ɡ	1.0
i_#>	i_#>	1.0
f	f	1.0
e_r	a_r	1.0
e_#>	#>	1.0
dː	d	1.0
d_r	r	1.0
bː	-	1.0
b	b	1.0
a_p	a_v	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_l_ˈɛ	<#_ˈɛ	1.0
<#_a	<#	1.0
#>	r_#>	1.0
a	a	0.976
v	v	0.941
ˈo	ˈo	0.938
ˈɔ	ˈɔ	0.931
ˈi	ˈi	0.931
m	m	0.919
k	k	0.896
p	p	0.895
e	e	0.885
d	d	0.84
ˈɛ	ˈɛ	0.808
ˈe	ˈe	0.8
n	n	0.731
t	t	0.722
i	e	0.714
ˈu	ˈu	0.704
ˈe_r	ˈe_r	0.667
w	w	0.667
l	ɰ	0.625
ʧ	z	0.471
ʧ	s	0.412
ˈe_r	ˈe	0.333
l	l	0.312
i	i	0.286
n	ŋ	0.269
ʎː	ˈɛ	0.25
ʎː	ʤ	0.25
ʎː	j	0.25
ʎː	-	0.25
ˈɛ	ˈe	0.192
w	u	0.167
w	-	0.167
d	-	0.16
ˈu	ˈo	0.148
ˈu	-	0.148
t	d	0.139
t	-	0.139
ʧ	s_j	0.118
p	v	0.105
k	ɡ	0.104
ˈe	ˈɛ	0.1
ˈe	-	0.1
m	-	0.081
ˈɔ	ˈo	0.069
ˈi	-	0.069
ˈo	ʤ	0.062
l	-	0.062
v	-	0.059
