Swabian	Swiss German	probability
a	ə	0.89
a	-	0.108
b	b̥	0.934
b	-	0.048
b	p	0.034
b̥	p	0.241
b̥͡f	p͡f	0.491
d	t	0.63
d	d̥	0.286
d	tː	0.045
e	-	0.629
e	ə	0.361
f	f	0.957
f	p͡f	0.034
f	fː	0.031
h	h	1.0
i	i	0.491
j	j	1.0
k	χ	0.241
kʰ	χ	0.899
kʰ	-	0.08
l	l	0.975
l	-	0.031
m	m	0.907
m	-	0.052
m	mː	0.045
n	n	0.824
n	-	0.122
n	nː	0.052
n_d	ŋ	1.0
p͡f	p	0.21
p͡f	p͡f	0.103
s	s	0.745
s	sː	0.254
t	t	1.0
x	χ	1.0
ç	χ	0.679
ç	χ_ə	0.215
ŋ	ŋ	0.817
ŋ	ŋ_ɡ̊	0.178
ɐ	i	1.0
ə	ə	0.491
ɡ	ɡ̊	0.844
ɡ	k	0.076
ɡ	χ	0.041
ɡ	-	0.034
ɪ	i	1.0
ʁ	r	1.0
ʃ	ʃ	0.981
ʃ	ʃː	0.035
ʋ	ʋ	1.0
ʌ	ə_r	0.702
ʌ	r	0.181
ʌ	r_ə	0.108
ʕ	r	0.922
ʕ	rː	0.078
ʦ	ʦ	1.0
ˈa	ˈɒ	0.599
ˈa	ˈa	0.187
ˈa	ˈɒː	0.072
ˈa	ˈe	0.047
ˈa	ˈæ	0.047
ˈae̯	ˈyː	0.389
ˈae̯	ˈɛi̯	0.359
ˈae̯	ˈøi̯	0.139
ˈae̯	ˈy	0.06
ˈao̯	ˈuː	0.655
ˈao̯	ˈau̯	0.189
ˈao̯	ˈou̯	0.087
ˈao̯	ˈoː	0.066
ˈaː	ˈɒː	0.484
ˈaː	ˈɒ	0.385
ˈaː	ˈæ	0.117
ˈe	ˈi	0.438
ˈe	ˈy	0.128
ˈe	ˈø	0.128
ˈe	ˈæ	0.094
ˈe	ˈæː	0.086
ˈeə̯	ˈæ	0.488
ˈeə̯	ˈæː	0.24
ˈeə̯	ˈyə̯	0.076
ˈeː	ˈøː	0.386
ˈeː	ˈeː	0.31
ˈeː	ˈi	0.14
ˈeː	ˈæː	0.14
ˈi	ˈi	0.568
ˈi	ˈy	0.246
ˈi	ˈiə̯	0.168
ˈiə̯	ˈyə̯	0.398
ˈiə̯	ˈyː	0.229
ˈiə̯	ˈiə̯	0.148
ˈiə̯	ˈy	0.148
ˈiː	ˈyː	0.608
ˈiː	ˈi	0.197
ˈiː	ˈiə̯	0.068
ˈo	ˈo	0.452
ˈo	ˈu	0.398
ˈo	ˈøi̯	0.091
ˈo	ˈoː	0.057
ˈoː	ˈoː	0.77
ˈoː	ˈo	0.142
ˈoː	ˈou̯	0.078
ˈu	ˈu	0.77
ˈu	ˈuə̯	0.229
ˈuə̯	ˈuə̯	0.839
ˈuə̯	ˈyə̯	0.132
ˈuː	ˈu	0.324
ˈuː	ˈuə̯	0.324
ˈɔ	ˈo	0.871
ˈɔ	ˈou̯	0.092
ˈɔe̯	ˈei̯	0.467
ˈɔe̯	ˈæi̯	0.284
ˈɔe̯	ˈøi̯	0.106
ˈɔe̯	ˈɛi̯	0.102
ˈɔə̯	ˈuə̯	1.0
ˈɔː	ˈɒː	0.838
ˈɔː	ˈoː	0.08
ˈɔː	ˈɒ	0.056
ˈəi̯	ˈiː	0.647
ˈəi̯	ˈyː	0.19
ˈəi̯	ˈiə̯	0.072
ˈəi̯	ˈøi̯	0.072
ˈɛ	ˈæ	0.505
ˈɛ	ˈe	0.18
ˈɛ	ˈyː	0.093
ˈɛ	ˈø	0.093
ˈɛ	ˈɒ	0.093
ˈɛː	ˈæ	0.663
ˈɛː	ˈæː	0.324
ˈɪ	ˈi	0.815
ˈɪ	ˈy	0.148
ˈʌ	ˈæ	0.66
ˈʌ	ˈi	0.159
