Swabian	Swiss German	probability
a	ə	0.901
a	-	0.092
b	b̥	0.952
b̥͡f	p͡f	0.903
b̥͡f	p	0.097
d	t	0.557
d	d̥	0.316
d	-	0.066
d	tː	0.061
e	lː	0.47
e	-	0.265
e	ə	0.265
eə̯	æ	1.0
f	f	0.893
f	fː	0.089
h	h	0.948
h	-	0.052
i	i	1.0
j	j	1.0
kʰ	χ	0.821
kʰ	k	0.159
l	l	0.951
m	m	0.941
n	n	0.885
n	nː	0.059
p͡f	p͡f	1.0
s	s	0.711
s	sː	0.277
t	t	0.729
t	tː	0.271
x	χ	1.0
ç	χ	1.0
ŋ	ŋ	0.938
ŋ	-	0.062
ɡ	ɡ̊	0.811
ɡ	k	0.057
ɡ	ɡ̊ː	0.056
ɪ	i	1.0
ʁ	r	1.0
ʃ	ʃ	0.961
ʋ	ʋ	1.0
ʌ	ə	0.775
ʌ	r	0.185
ʕ	r	0.948
ʕ	rː	0.052
ʣ	ʦ	1.0
ʦ	ʦ	1.0
ˈa	ˈɒ	0.694
ˈa	ˈɒː	0.138
ˈa	ˈe	0.078
ˈa	ˈæ	0.061
ˈae̯	ˈyː	0.269
ˈae̯	ˈy	0.227
ˈae̯	ˈøi̯	0.227
ˈae̯	ˈæi̯	0.136
ˈae̯	ˈiː	0.084
ˈae̯	ˈeː	0.059
ˈao̯	ˈuː	0.606
ˈao̯	ˈau̯	0.301
ˈao̯	ˈoː	0.052
ˈaː	ˈɒː	0.57
ˈaː	ˈɒ	0.33
ˈaː	ˈæ	0.101
ˈe	ˈi	0.737
ˈe	ˈy	0.098
ˈe	ˈæː	0.077
ˈeə̯	ˈyə̯	0.36
ˈeə̯	ˈæː	0.36
ˈeə̯	ˈæ	0.28
ˈeː	ˈøː	0.475
ˈeː	ˈeː	0.379
ˈeː	ˈi	0.073
ˈeː	ˈæː	0.073
ˈi	ˈi	0.597
ˈi	ˈy	0.204
ˈi	ˈiə̯	0.166
ˈiə̯	ˈyː	0.283
ˈiə̯	ˈyə̯	0.283
ˈiə̯	ˈiə̯	0.162
ˈiə̯	ˈy	0.162
ˈiə̯	ˈiː	0.11
ˈiː	ˈi	0.509
ˈiː	ˈyː	0.343
ˈiː	ˈiə̯	0.149
ˈo	ˈu	0.64
ˈo	ˈo	0.296
ˈoː	ˈoː	0.671
ˈoː	ˈau̯	0.173
ˈoː	ˈo	0.156
ˈu	ˈu	0.816
ˈu	ˈy	0.106
ˈu	ˈuə̯	0.077
ˈuə̯	ˈuə̯	0.731
ˈuə̯	ˈyə̯	0.269
ˈuː	ˈuə̯	0.867
ˈuː	ˈu	0.133
ˈɔ	ˈo	0.859
ˈɔ	ˈoː	0.08
ˈɔ	ˈau̯	0.061
ˈɔe̯	ˈæi̯	0.935
ˈɔe̯	ˈøi̯	0.065
ˈɔə̯	ˈuə̯	1.0
ˈɔː	ˈɒː	0.818
ˈɔː	ˈɒ	0.093
ˈɔː	ˈoː	0.089
ˈəi̯	ˈiː	0.665
ˈəi̯	ˈyː	0.162
ˈəi̯	ˈiə̯	0.099
ˈəi̯	ˈøi̯	0.074
ˈɛ	ˈæ	0.63
ˈɛ	ˈe	0.146
ˈɛ	ˈyː	0.074
ˈɛ	ˈi	0.07
ˈɛ	ˈɒ	0.053
ˈɛː	ˈæ	0.69
ˈɛː	ˈæː	0.31
ˈɪ	ˈi	0.746
ˈɪ	ˈy	0.254
ˈʌ	ˈi	0.806
ˈʌ	ˈæ	0.194
