Proto-Balto-Slavic	Proto-Balto-Slavic	probability
́ˀ	ˈ	1.0
ˀ_ɡ	ɡʲ	1.0
ˀ_#>	ˈ_#>	1.0
ɡ_e	ʐ_ɨ	1.0
ɡ_a	ɡ̊	1.0
ɛ	e	1.0
z	z	1.0
uː	ɨ	1.0
t_i	tʲ	1.0
t_ei̯	tʲ	1.0
s_#>	#>	1.0
r_i	rʲ	1.0
o	-	1.0
n_d	d	1.0
n_a	n	1.0
m_b	b̥	1.0
l_ˀ	ɫ	1.0
j_au̯	ʉ	1.0
j_a	fʲ	1.0
j	-	1.0
iː	ɨ	1.0
d_u	d̥	1.0
d_e	dʲ_e	1.0
d_a	d̥	1.0
d	d	1.0
aː_ˀ	ə	1.0
aː	a	1.0
a_́	ˈ	1.0
a_ŋ	u	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#_d	<#_d	1.0
<#	<#_v	1.0
ɡ	ɡ	0.857
ʃ	x	0.8
r	r	0.8
l	ɫ	0.75
oː	a	0.714
ˀ	ˈ	0.7
zʲ	z	0.667
sʲ	s	0.667
a_#>	ə_#>	0.667
i	-	0.65
w	v	0.632
b	b	0.625
́	ˈ	0.618
t	t	0.611
eː	e	0.6
au̯	ʊ	0.6
s	j	0.591
u	-	0.556
#>	ə_#>	0.556
m	m	0.533
ei̯	i	0.5
ei̯	-	0.5
e	ɪ	0.5
n	-	0.462
#>	ˈ_#>	0.444
k	k	0.438
eː	a	0.4
au̯	o	0.4
n	n	0.385
b	bʲ	0.375
ai̯	e	0.375
w	vʲ	0.368
́	-	0.345
zʲ	zʲ	0.333
sʲ	sʲ	0.333
p	pʲ	0.333
p	p	0.333
p	-	0.333
m	mʲ	0.333
a_#>	#>	0.333
ˀ	-	0.3
oː	-	0.286
t	-	0.278
a	o	0.261
l	lʲ	0.25
ai̯	ɪ	0.25
ai̯	-	0.25
s	s	0.227
u	o	0.222
u	kʲ	0.222
e	ɵ	0.214
e	-	0.214
ʃ	xʲ	0.2
r	rʲ	0.2
k	ʨ	0.188
k	ʦ	0.188
a	ɐ	0.174
n	tʲ	0.154
i	o	0.15
ɡ	-	0.143
m	-	0.133
a	ɨ	0.13
a	-	0.13
k	-	0.125
ai̯	ɛ	0.125
t	tʲ	0.111
a	ə	0.109
a	o_ˈ	0.109
i	ɵ	0.1
i	e	0.1
s	x	0.091
s	-	0.091
e	æ	0.071
k	ʂ	0.062
