Lower Sorbian	Russian	probability
bʲ	bʲ	1.0
e	ɪ	1.0
j	j	1.0
k	k	1.0
kʲ	kʲ	1.0
mʲ	mʲ	1.0
n	n	1.0
pʲ	pʲ	1.0
rʲ	rʲ	1.0
t	t	1.0
v	v	1.0
vʲ	vʲ	1.0
w	ɫ	1.0
x	x	1.0
ɲ	nʲ	1.0
ʐ	ʐ	1.0
ʑ	dʲ	1.0
ʨ	tʲ	1.0
ˈi	ˈi	1.0
ˈɨ	ˈɨ	1.0
p	p	0.931
r	ɐ_r	0.21
z	zʲ	0.501
ɔ	ə	0.891
ɨ	j	0.081
ˈa	ˈo	0.071
ˈɔ	ɐ	0.21
ɡ	ɡ_ˈo	0.182
ʂ	ʂ	0.212
a	ˈa	0.673
i	ˈi	0.193
l	lʲ	0.873
m	m	0.543
s	s	0.563
ɛ	ˈe	0.093
ʦ	ʦ	0.473
ˈu	ˈu	0.903
d	d	0.874
ˈɔ	ˈɵ	0.104
ɕ	tʲ	0.935
ˈe	ɪ	0.485
ˈɪ	ˈe	0.615
d	dʲ	0.126
ˈa	ɐ	0.116
ˈa	ˈɵ	0.326
ˈɛ	ɐ	0.336
a	ə	0.327
i	ɪ_j	0.807
l	ɫ	0.127
m	mʲ	0.457
s	sʲ	0.437
ɛ	ɪ	0.907
ʦ	ʨ	0.527
ˈa	ˈe	0.097
ˈe	ˈo	0.147
ˈu	ʊ	0.097
ˈɔ	ˈo	0.607
ˈɛ	ˈo	0.577
ˈɪ	ɪ	0.307
ɡ	ɡ	0.818
ʂ	r	0.788
ˈe	ˈe	0.368
ˈɛ	ˈe	0.088
ˈɪ	ˈa	0.078
p	pʲ	0.069
r	r	0.79
z	z	0.499
ɔ	ˈo	0.109
ɨ	ɨ_j	0.919
ˈa	ˈa	0.39
ˈɔ	ə	0.079
