Bavarian	Yiddish	probability
a	ə	0.711
a	-	0.211
a	ɛ	0.054
b̥	b	0.945
b̥	-	0.055
d	t	1.0
d̥	t	0.539
d̥	d	0.441
eɐ̯	n	1.0
f	f	0.989
h	h	1.0
i	ɪ	0.591
i	l	0.409
j	l	0.869
j	j	0.092
k	k	1.0
kʰ	k	0.972
l	l	0.97
m	m	0.857
m	b	0.111
n	n	0.956
p	p	1.0
p͡f	p	1.0
r	ʀ	1.0
s	z	0.592
s	s	0.374
t	t	0.961
x	χ	1.0
ç	χ	1.0
ŋ	ŋ	0.647
ŋ	ɪ	0.132
ŋ	-	0.131
ŋ	ɡ	0.09
ɐ	ʀ	0.925
ɐ	ɛ	0.075
ə	l	1.0
ɡ̊	ɡ	0.85
ɡ̊	k	0.15
ɪ	ə	1.0
ʃ	ʃ	0.942
ʋ	v	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.754
ˈa	ˈɔ	0.197
ˈai̯	ˈaɪ̯	0.951
ˈau̯	ˈɔɪ̯	1.0
ˈaː	ˈɔɪ̯	0.867
ˈaː	ˈɔ	0.133
ˈe	ˈɛ	0.681
ˈe	ˈɛɪ̯	0.125
ˈe	ˈɔɪ̯	0.099
ˈe	ˈa	0.095
ˈeɐ̯	ˈʊ	0.373
ˈeɐ̯	ˈɪ	0.368
ˈeɐ̯	ˈɛ	0.259
ˈeː	ˈɛ	0.574
ˈeː	ˈɛɪ̯	0.34
ˈeː	ˈɪ	0.087
ˈi	ˈɪ	0.892
ˈi	ˈɛ	0.058
ˈiɐ̯	ˈɪ	0.904
ˈiɐ̯	ˈaɪ̯	0.096
ˈiː	ˈɪ	1.0
ˈo	ˈa	0.437
ˈo	ˈɔ	0.363
ˈo	ˈʊ	0.127
ˈo	ˈɛ	0.072
ˈou̯	ˈɔɪ̯	1.0
ˈoɐ̯	ˈɛɪ̯	0.548
ˈoɐ̯	ˈɔ	0.216
ˈoɐ̯	ˈɔɪ̯	0.152
ˈoː	ˈɔ	0.865
ˈoː	ˈɔɪ̯	0.135
ˈu	ˈʊ	0.647
ˈu	ˈɪ	0.353
ˈuɐ̯	ˈʊ	0.899
ˈuɐ̯	ˈɔ	0.101
ˈy	ˈɪ	1.0
ˈɑː	ˈɛ	1.0
ˈɒ	ˈa	0.62
ˈɒ	ˈɛ	0.273
ˈɒ	ˈɔ	0.108
ˈɒː	ˈɔ	0.676
ˈɒː	ˈa	0.324
ˈɔ	ˈɔ	0.526
ˈɔ	ˈa	0.429
ˈɛ	ˈɛ	0.723
ˈɛ	ˈɔ	0.183
ˈɛ	ˈa	0.094
ˈɛː	ˈɛɪ̯	1.0
ˈʏ	ˈɪ	1.0
