Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	ˈu	1.0
ʊ	ˈu	1.0
ɲ	ɲː	1.0
ɡ	ɡ	1.0
ɛɪ̯	-	1.0
ɛ_ʁ	ˈe	1.0
ɛ_l	l_u	1.0
ɛ_#>	#>	1.0
ɑɔ̯_ʁ	ˈɔ_l	1.0
ɑ	-	1.0
œ̃ʏ̯̃	ˈu_n	1.0
œ_f	ˈɔ_u	1.0
p	p	1.0
o	ˈɔ	1.0
m_#>	m_a_#>	1.0
k_l	c	1.0
j_#>	#>	1.0
i_ʁ	ˈi	1.0
f_l	f_j	1.0
e_p	s_p	1.0
d_ʁ	ˈi	1.0
d	nː_a	1.0
b	b	1.0
aœ̯	ˈo	1.0
<#_ʁ	<#_r	1.0
<#_ɔ	<#_ˈɔ	1.0
<#_æɛ̯	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
f	f	0.952
m	m	0.882
k	k	0.824
ɪ	ˈi	0.8
y	ˈu	0.714
e_#>	ˈa_#>	0.692
v	v	0.68
øʏ̯	ˈɔ_k	0.667
ʃ	k	0.632
#>	u_#>	0.604
ʒ	ɟ	0.6
ɥ	-	0.6
ʁ	r	0.582
a	a	0.556
n	n_a	0.533
ɑɔ̯	ˈɔ_l	0.5
ɑɔ̯	-	0.5
œ	-	0.5
æɛ̯	ˈa	0.5
z	ʧ	0.5
z	-	0.5
w_ɛ	ˈi	0.5
w_ɛ	ˈe	0.5
u	u	0.5
s	s	0.5
oʊ̯	ˈɛ_ɖː	0.5
oʊ̯	ˈa_l	0.5
a	ˈa	0.444
t	t	0.412
ɥ	ˈɔ	0.4
j	-	0.4
ɔ	ˈɔ	0.375
ɔ	u	0.375
ʃ	k_a	0.368
l	l	0.357
ẽɪ̯̃	ˈi_n	0.357
ẽɪ̯̃	ˈa_n	0.357
ã	ˈɛ_n	0.353
øʏ̯	ɖː_u	0.333
n	n	0.333
j	ˈɛ	0.333
#>	a_#>	0.317
ɒ̃ʊ̯̃	ˈo_n	0.308
e_#>	#>	0.308
œ	ˈɔ	0.3
t	tː	0.294
t	s_t	0.294
y	ˈu_t	0.286
i	u	0.286
u	ˈu	0.278
ɔ	-	0.25
e	ˈa_i	0.25
e	s	0.25
w	ˈe	0.238
w	i	0.238
i	i	0.238
ɛ	ˈɛ	0.235
ɛ	ˈi	0.235
ɛ	a	0.235
s	ʧ	0.235
ã	ˈa	0.235
ɒ̃ʊ̯̃	ˈɔ_n	0.231
ʒ	j_u	0.2
ʒ	-	0.2
ɪ	ˈi_ɖː	0.2
œ	i	0.2
w	ˈi	0.19
i	ˈe	0.19
l	ɖː_a	0.179
l	j	0.179
ɛ	-	0.176
k	k_ˈɔ	0.176
ã	ˈɛ	0.176
e	ˈi	0.167
e	ˈa_z	0.167
e	i	0.167
ɒ̃ʊ̯̃	ˈo	0.154
ɒ̃ʊ̯̃	u_n	0.154
ɒ̃ʊ̯̃	-	0.154
w	ˈu	0.143
l	i	0.143
i	ˈi	0.143
i	tː_u	0.143
ẽɪ̯̃	ɲː_u	0.143
ẽɪ̯̃	-	0.143
n	a	0.133
j	i	0.133
j	cː	0.133
v	p	0.12
v	b	0.12
ɛ	u	0.118
m	-	0.118
ã	ˈa_ŋ	0.118
ã	n	0.118
æɛ̯	ˈe	0.115
u	ˈu_tː	0.111
u	ˈo_j	0.111
ʁ	l	0.104
w	i_d	0.095
w	-	0.095
s	sː	0.088
v	p_a	0.08
æɛ̯	ˈɛ	0.077
æɛ̯	r	0.077
æɛ̯	i	0.077
æɛ̯	a_t	0.077
æɛ̯	a	0.077
ʁ	rː	0.075
l	ɖː	0.071
l	l_u	0.071
ʁ	u	0.06
ʁ	-	0.06
s	ʦ	0.059
s	d	0.059
s	-	0.059
