Romanian	Corsican	probability
ˈə	ˈɛ	1.0
ˈa_r	ˈa	1.0
ʧʲ	-	1.0
ʦʲ	tː_i	1.0
ʤ	ɟ	1.0
ʒ	ɟ	1.0
ʃ_t	ʃː	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	d	1.0
v	v	1.0
r_ˈi	r	1.0
p_ˈu	p_ˈo	1.0
p_j	p	1.0
nʲ	n_i	1.0
m_u	m_ˈɔ	1.0
m_n	ɲ_u	1.0
kʲ	c	1.0
k_r	k_r	1.0
k_e	c_a	1.0
j_n	n	1.0
j_e	a	1.0
f_e	fː	1.0
f	f	1.0
e̯ˈa_ʃ	ʒ	1.0
e̯ˈa_r	ˈɛ_r	1.0
e_n	ˈɛ_n	1.0
d	d	1.0
b	b	1.0
a	a	1.0
ʧ	ʧ	0.894
k	k	0.828
p	p	0.814
ˈɨ	ˈa	0.794
ə	a	0.775
t	t	0.763
o̯ˈa	ˈɔ	0.758
ˈa	ˈa	0.755
ʦ	t	0.744
p_t	tː	0.734
m	m	0.729
n	n	0.694
ˈo	ˈɔ	0.691
s	s	0.671
u	u	0.626
r	r	0.565
i	i	0.541
ʃ	-	0.52
o	-	0.518
ˈi	ˈi	0.514
e̯ˈa	ˈɛ	0.5
e̯ˈa	ˈe	0.5
o	u	0.482
ʃ	s	0.48
ˈe	ˈɛ	0.473
e	e	0.459
l	l	0.446
ˈu	ˈɔ	0.389
j	ʎ	0.381
ˈu	ˈu	0.376
r	-	0.376
w	j	0.372
l	j	0.364
ˈe	ˈe	0.354
j	-	0.351
i	a	0.285
w	ˈi_u	0.276
j	ɲ	0.267
p_t	tː_u	0.266
ˈi	ˈɛ	0.257
ʦ	ʦː	0.256
o̯ˈa	ˈo	0.242
ˈi	-	0.229
m	-	0.221
ˈɨ	ˈɛ	0.206
u	-	0.203
e	-	0.197
ˈo	ˈu	0.195
l	lː	0.19
p	-	0.186
ˈu	ˈo	0.185
w	v_u	0.18
i	-	0.175
ˈe	-	0.173
w	-	0.173
s	-	0.173
u	o	0.171
ˈa	-	0.141
t	-	0.133
k	kː	0.128
n	-	0.127
e	u	0.122
ˈo	ˈo	0.114
e	i	0.11
ʧ	dː	0.106
ə	e	0.106
t	tː	0.104
e	a	0.1
n	ɲ	0.082
s	z	0.081
s	sː	0.075
r	l	0.059
ˈa	a	0.054
n	nː	0.054
ˈu	-	0.051
ˈa	j	0.05
