Ripuarian	North Frisian	probability
b	b	1.0
d	d	0.54
d	t	0.245
d	-	0.083
d	tʲ	0.077
d	dʲ	0.044
f	f	0.63
f	p	0.172
f	-	0.094
f	ə_v	0.059
f	v	0.034
h	h	1.0
j	ɡ	0.602
j	j	0.204
j	-	0.088
j	ˈiː	0.085
k	k	0.545
k	-	0.189
k	s	0.106
k	d	0.07
k	ʃ	0.046
l	l	0.958
l	lʲ	0.031
l	-	0.03
l_t	lʲ	1.0
m	m	0.988
m	-	0.034
n	n	0.719
n	-	0.16
n	nʲ	0.117
p	p	0.596
p	d	0.271
s	s	0.536
s	tʲ	0.156
s	z	0.111
s	t	0.095
s	d	0.076
t	t	0.346
t	d	0.243
t	dʲ	0.155
t	-	0.089
t	s	0.06
v	v	0.733
v	-	0.168
v	n	0.081
x	x	0.464
x	k	0.306
x	w	0.141
x	-	0.072
z	s	0.897
z	z	0.055
z	ʃ	0.055
ŋ	ŋ	0.726
ŋ	n	0.174
ŋ	-	0.084
ŋ_k	n	0.605
ŋ_k	nʲ	0.381
ɐ	r	0.486
ɐ	ə_r	0.428
ɐ	lʲ	0.041
ɐ	r_t	0.038
ɐ	ə	0.032
ɕ	k	0.334
ɕ	x	0.214
ɕ	-	0.214
ɕ	j	0.182
ɕ	ŋ	0.051
ə	ə	0.791
ə	v_ə	0.063
ə	ə_n	0.048
ə	-	0.04
ə	ˈiː	0.036
ə_ɕ	i	0.494
ɣ	j	0.644
ɣ	d	0.241
ɪ	i	0.494
ʀ	r	0.913
ʀ	z	0.049
ʀ	-	0.043
ʃ	s	0.547
ʃ	ʃ	0.445
ʋ	v	0.859
ʋ	-	0.071
ʋ	ˈɔu̯	0.063
ʋ_ˈɔ	ˈʊ	1.0
ʦ	t	0.84
ʦ	r_t	0.156
ˈa	ˈœ	0.209
ˈa	ˈɒ	0.172
ˈa	ˈʊ	0.141
ˈa	ˈuː	0.084
ˈa	ˈɒː	0.073
ˈaʊ̯	ˈuː	0.631
ˈaʊ̯	ˈøː	0.165
ˈaʊ̯	ˈɔː	0.102
ˈaː	ˈɒ	0.259
ˈaː	ˈɒː	0.253
ˈaː	ˈɔː	0.233
ˈaː	-	0.084
ˈaː	ˈeː	0.084
ˈe	ˈa	0.475
ˈe	ˈʊ	0.112
ˈe	ˈœ	0.106
ˈe	ˈaː	0.102
ˈe	ˈi	0.074
ˈeɪ̯	ˈiː	0.517
ˈeɪ̯	ˈi	0.341
ˈeɪ̯	ˈɔi̯	0.073
ˈeː	ˈiː	0.662
ˈeː	ˈɒː	0.06
ˈeː	-	0.06
ˈeː	ˈeː	0.06
ˈeː	ˈɛː	0.06
ˈiː	ˈiː	0.39
ˈiː	ˈi	0.286
ˈiː	ˈyː	0.09
ˈiː	ˈɛi̯	0.09
ˈiː	ˈɔu̯	0.067
ˈo	ˈʊ	0.603
ˈo	ˈyː	0.223
ˈo	ˈœ	0.099
ˈoː	ˈœ	0.232
ˈoː	ˈuː	0.198
ˈoː	ˈyː	0.172
ˈoː	ˈɛi̯	0.108
ˈoː	ˈɛː	0.071
ˈu	ˈɔː	0.262
ˈu	ˈøː	0.17
ˈu	ˈœ	0.148
ˈuː	ˈyː	0.677
ˈuː	ˈuː	0.317
ˈyː	ˈiː	0.542
ˈyː	ˈøː	0.435
ˈøː	ˈɛi̯	0.345
ˈøː	ˈɛ	0.293
ˈøː	ˈøː	0.169
ˈøː	ˈiː	0.169
ˈœ	ˈʊ	0.18
ˈœ	-	0.18
ˈœ	ˈɔː	0.127
ˈœ	ˈyː	0.123
ˈœ	ˈʏ	0.123
ˈɔ	ˈɔ	0.274
ˈɔ	ˈɔː	0.179
ˈɔ	ˈɔu̯	0.14
ˈɔ	ˈʏ	0.123
ˈɔ	ˈʊ	0.087
ˈɔʏ̯	ˈai̯	1.0
ˈɛ	ˈeː	0.292
ˈɛ	ˈi	0.158
ˈɛ	ˈɛː	0.146
ˈɛ	ˈʊ	0.135
ˈɛ	ˈa	0.077
ˈɛː	ˈeː	0.164
ˈɛː	ˈɛː	0.129
ˈɛː	ˈa_r	0.114
ˈɛː	ˈɛi̯	0.094
ˈɛː	ˈʊ	0.094
ˈɪ	ˈa	0.254
ˈɪ	ˈɔː	0.221
ˈɪ	ˈi	0.193
ˈɪ	ˈeː	0.146
ˈɪ	ˈʊ	0.072
ˈʊ	ˈœ	0.574
ˈʊ	ˈyː	0.284
ˈʏ	w	0.239
ˈʏ	ˈɔu̯	0.239
ˈʏ	ˈʏ	0.239
ˈʏ	ˈa	0.102
ˈʏ	ˈi	0.102
