Ripuarian	North Frisian	probability
b	b	1.0
d	d	0.527
d	t	0.237
d	tʲ	0.097
d	dʲ	0.076
d	-	0.063
f	f	0.721
f	p	0.15
f	-	0.086
h	h	1.0
j	ɡ	0.527
j	j	0.359
j	-	0.114
k	k	0.58
k	d	0.263
k	s	0.123
l	l	0.846
l	lʲ	0.081
m	m	0.897
m	-	0.103
n	n	0.767
n	nʲ	0.122
n	-	0.069
p	p	0.509
p	d	0.491
s	s	0.443
s	tʲ	0.198
s	z	0.149
s	t	0.101
s	d	0.09
t	t	0.296
t	d	0.199
t	r_d	0.148
t	dʲ	0.144
t	-	0.095
t	s	0.055
v	v	0.792
v	-	0.208
x	x	0.674
x	k	0.167
x	-	0.088
x	w	0.07
z	s	0.927
z	ʃ	0.058
ŋ	ŋ	0.479
ŋ	n	0.316
ŋ	nʲ	0.145
ŋ	-	0.06
ɐ	r	0.541
ɐ	ə	0.342
ɐ	lʲ	0.067
ɕ	x	0.427
ɕ	k	0.36
ɕ	j	0.197
ə	ə	0.885
ɣ	j	0.578
ɣ	d	0.422
ɪ	i	1.0
ʀ	r	0.959
ʃ	s	0.527
ʃ	ʃ	0.473
ʋ	v	0.938
ʦ	t	0.789
ʦ	r_t	0.211
ˈa	ˈœ	0.256
ˈa	ˈʊ	0.207
ˈa	ˈɒ	0.157
ˈa	ˈi	0.081
ˈa	ˈɔː	0.065
ˈa	ˈɛi̯	0.063
ˈa	ˈeː	0.053
ˈaʊ̯	ˈuː	0.708
ˈaʊ̯	ˈøː	0.216
ˈaʊ̯	ˈɔː	0.076
ˈaː	ˈɒ	0.27
ˈaː	ˈɒː	0.264
ˈaː	ˈɔː	0.237
ˈaː	-	0.085
ˈaː	ˈeː	0.085
ˈaː	ˈɛi̯	0.059
ˈe	ˈa	0.431
ˈe	ˈœ	0.123
ˈe	ˈi	0.122
ˈe	ˈai̯	0.122
ˈe	ˈʊ	0.108
ˈe	ˈaː	0.095
ˈeɪ̯	ˈiː	0.529
ˈeɪ̯	ˈi	0.403
ˈeɪ̯	ˈɔi̯	0.068
ˈeː	ˈiː	0.728
ˈeː	ˈɒ	0.076
ˈeː	ˈeː	0.057
ˈiː	ˈiː	0.345
ˈiː	ˈi	0.305
ˈiː	ˈyː	0.093
ˈiː	ˈɛi̯	0.093
ˈiː	ˈeː	0.062
ˈiː	ˈɔu̯	0.062
ˈo	ˈʊ	0.698
ˈo	ˈyː	0.254
ˈoː	ˈuː	0.301
ˈoː	ˈœ	0.195
ˈoː	ˈyː	0.169
ˈoː	ˈɔ_r	0.114
ˈoː	ˈɛi̯	0.078
ˈu	ˈœ	0.383
ˈu	ˈɔː	0.373
ˈu	ˈøː	0.243
ˈuː	ˈyː	0.747
ˈuː	ˈuː	0.253
ˈyː	ˈiː	0.748
ˈyː	ˈøː	0.252
ˈøː	ˈiː	0.344
ˈøː	ˈɛi̯	0.329
ˈøː	ˈɛ	0.243
ˈøː	ˈøː	0.084
ˈœ	-	0.311
ˈœ	ˈɔː	0.201
ˈœ	ˈyː	0.195
ˈœ	ˈeː	0.125
ˈœ	ˈʊ	0.103
ˈɔ	ˈɔ	0.306
ˈɔ	ˈɔː	0.209
ˈɔ	ˈʏ	0.156
ˈɔ	ˈɔu̯	0.134
ˈɔ	ˈyː	0.106
ˈɔ	ˈʊ	0.09
ˈɔʏ̯	ˈai̯	1.0
ˈɛ	ˈeː	0.337
ˈɛ	ˈʊ	0.197
ˈɛ	ˈi	0.14
ˈɛ	ˈɛː	0.125
ˈɛ	ˈa	0.066
ˈɛ	ˈʏ	0.054
ˈɛ	ˈaː	0.053
ˈɛː	ˈeː	0.217
ˈɛː	ˈi	0.164
ˈɛː	ˈa	0.158
ˈɛː	ˈɛː	0.112
ˈɛː	ˈøː	0.095
ˈɛː	ˈɛ	0.081
ˈɛː	ˈɛi̯	0.063
ˈɛː	ˈʊ	0.063
ˈɪ	ˈa	0.32
ˈɪ	ˈɔː	0.171
ˈɪ	ˈi	0.131
ˈɪ	ˈʊ	0.122
ˈɪ	ˈai̯	0.12
ˈɪ	ˈeː	0.11
ˈʊ	ˈœ	0.638
ˈʊ	ˈyː	0.362
ˈʏ	w	0.408
ˈʏ	ˈɔu̯	0.227
ˈʏ	ˈa	0.142
ˈʏ	ˈi	0.142
ˈʏ	ˈʏ	0.081
