Piedmontese	Piedmontese	probability
ˈə	-	1.0
ʧ	k_l	1.0
ɲ	ɲ	1.0
ŋ_t	ˈe_n	1.0
ŋ_#>	n_o_#>	1.0
y	-	1.0
w_ˈa	w_ˈa	1.0
w	l	1.0
v_#>	w_#>	1.0
t_#>	#>	1.0
r_ˈa	ɾ_ˈa	1.0
r_#>	ɾ_o_#>	1.0
p_ˈu	p_ˈu	1.0
p_j	p_l	1.0
p	p	1.0
n_#>	n_o_#>	1.0
l_#>	l_#>	1.0
k_#>	k_o_#>	1.0
j_ˈa	l_ˈa	1.0
j_t	ˈe_j	1.0
j_a	ʎ_a	1.0
j_#>	ʎ_o_#>	1.0
f	f	1.0
e_r	ɾ_e	1.0
e_#>	#>	1.0
dː	ʝ	1.0
a_v	a_β	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_s	<#_θ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
a	a	0.971
k	k	0.953
ˈa	ˈa	0.941
ˈy	ˈu	0.895
n	n	0.882
r	ɾ	0.833
t	t	0.812
<#	<#_e	0.8
ˈi	ˈi	0.781
ʤ	ʧ	0.75
ŋ	n	0.743
s	s	0.706
m	m	0.706
b	b	0.706
ˈø	w_ˈe	0.688
z	θ	0.688
ɡ	ɣ	0.667
#>	o_#>	0.652
i	-	0.636
ˈu	ˈo	0.633
l	l	0.565
d	d	0.52
ə	ɾ	0.5
ə	-	0.5
ˈɔ	w_ˈe	0.476
ˈɛ	j_ˈe	0.457
ˈɛ	ˈe	0.429
ˈɔ	ˈo	0.429
u	o	0.429
v	b	0.424
ˈe	ˈa_ɾ	0.395
v	β	0.394
i	i	0.364
l	ʎ	0.348
ɡ	ɡ	0.333
d	ð	0.32
m	m_b	0.294
b	β	0.294
u	u	0.286
u	-	0.286
ˈe	ˈe	0.263
ʤ	-	0.25
e	ˈi_ɾ	0.25
e	ˈe_ɾ	0.25
e	e	0.25
ˈu	w_ˈe	0.233
ŋ	ŋ	0.2
j	l	0.2
j	-	0.2
<#	<#_a	0.2
ˈø	-	0.188
z	-	0.188
d	-	0.16
ˈi	-	0.156
j	ʎ	0.15
j	ɾ	0.15
ˈu	ˈu	0.133
ˈø	w	0.125
z	s	0.125
t	j_t	0.125
e	ˈe	0.125
e	i	0.125
v	b_e	0.121
#>	e_#>	0.121
s	ʃ	0.118
n	-	0.118
ˈy	-	0.105
ˈe	j_ˈe	0.105
j	ˈe	0.1
j	s	0.1
j	j	0.1
ˈɔ	-	0.095
#>	a_#>	0.091
l	o	0.087
ˈe	ˈe_ɾ	0.079
s	θ	0.078
#>	ɾ_e_#>	0.076
r	o	0.071
ˈi	e	0.062
t	-	0.062
v	p	0.061
ˈa	a	0.059
ˈɛ	ˈe_j	0.057
ˈɛ	j	0.057
ŋ	o	0.057
ˈe	ˈa	0.053
ˈe	ɾ	0.053
ˈe	e	0.053
