Icelandic	Old High German	probability
θ	d	1.0
ˈʏː	-	1.0
ˈɛi̯	ˈei̯	1.0
ˈɔu̯	x	1.0
ˈɑu̯	ˈɑ	1.0
ˈœː	-	1.0
ˈœ	ˈɑ	1.0
ˈu	ˈu	1.0
ˈoːu̯_r̥	o	1.0
ˈoːu̯	ˈuo̯	1.0
ˈaːu̯	h_ɑ	1.0
ˈaː	ˈɑ	1.0
ˈai̯	-	1.0
ʰt͡n̥	s̻ː	1.0
ʰp	f	1.0
ʰk	-	1.0
ʰc	kː	1.0
ʏ_r̥	t	1.0
ɲ	ŋ	1.0
ɣ	ɡ	1.0
ɟ̊	ɡ	1.0
ɛ	i	1.0
ɑu̯	ɑ	1.0
ð_j	tː	1.0
ç	h	1.0
x	x	1.0
v_ˈɪː	w	1.0
t͡n̥	n	1.0
tʰ	ʦ	1.0
t_ʏ	s̻	1.0
s_t	s_t	1.0
s_j	s	1.0
s	s	1.0
r_ˈai̯	r	1.0
r_t͡n̥	r_n	1.0
r	r	1.0
pʰ	p͡f	1.0
n	n	1.0
l̥	l	1.0
l	l	1.0
kʰ_v	w	1.0
kʰ	kʰ	1.0
j_ˈɛː	ˈi	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈœ	ˈɛ	1.0
j_ˈuː	ˈio̯	1.0
j_ˈoːu̯	ˈio̯	1.0
h	h	1.0
f	f	1.0
d̥	t	1.0
cʰ	kʰ	1.0
b̥	b	1.0
aːu̯	ʦ_ɛ	1.0
m	m	0.94
ŋ	ŋ	0.8
ˈi	ˈi	0.783
ɡ̊	ɡ	0.778
ˈa	ˈɑ	0.749
ˈɪ	ˈi	0.71
ˈuː	ˈuː	0.696
ˈʏ	ˈu	0.687
p	f	0.684
ð	t	0.673
ˈɑːu̯	ˈɑː	0.672
nː	nː	0.639
c	k	0.616
ˈɪː	ˈi	0.596
ˈaːi̯	ˈuo̯	0.596
ˈɔ	ˈo	0.592
ˈɔː	ˈu	0.583
v	w	0.543
ˈɛːi̯	ˈei̯	0.541
n̥	n	0.511
ˈaː_ð	ˈɑ_t	0.5
ˈaː_ð	ˈɑ	0.5
ˈau̯	ˈɛ	0.5
ˈau̯	-	0.5
ɡ̊ː	kː	0.5
ɡ̊ː	-	0.5
n̥	kʰ_n	0.489
ʰt	x	0.468
ˈiː	ˈiː	0.466
ˈœːy̯	ˈoː	0.456
t	s̻	0.453
ˈœːy̯	ˈou̯	0.431
k	x	0.43
ˈɔː	ˈɑː	0.417
ʏ	i	0.412
ˈɔ	ˈu	0.408
ˈɪː	-	0.404
ˈaːi̯	-	0.404
t͡l̥	lː	0.403
c	xː	0.384
v	b	0.367
ʰt	-	0.366
j	-	0.366
nː	n_d	0.361
t͡l̥	l	0.352
k	k	0.336
ˈɑːu̯	h_ɑ	0.328
ð	d	0.327
t	s̻ː	0.318
ˈɛː	ˈɛ	0.314
ɪ	ɛ	0.309
ɪ	-	0.309
ˈuː	ɡ_ɑ	0.304
ˈɛː	-	0.299
ˈɛ	ˈɛ	0.293
ˈɛ	-	0.282
j	ˈɛ	0.279
a	ɑ	0.275
a	ɑ_n	0.272
ʏ	ɑ	0.266
r̥	i	0.263
ˈɛːi̯	ˈoː	0.259
ˈa	-	0.251
t͡l̥	l_d	0.245
ˈɛː	ˈi	0.235
k	xː	0.235
ʏ	-	0.227
ɡ̊	ɡ_ɑ	0.222
r̥	r	0.22
ˈi	-	0.217
ˈʏ	ˈo	0.211
p	fː	0.204
a	e_n	0.204
ˈɛːi̯	-	0.2
ɪ	r	0.2
ŋ	-	0.2
r̥	o	0.198
ˈɛ	ˈɑ	0.193
ˈiː	ˈiu̯	0.19
ˈiː	-	0.19
ɪ	o	0.183
ʰt	t	0.166
j	ˈio̯	0.16
ˈɛː	ˈie̯	0.152
ˈɪ	ˈu	0.149
ˈɪ	ˈo	0.141
r̥	ɑ	0.131
a	n	0.127
ˈɛ	ˈei̯	0.124
r̥	r_i	0.124
t	ʦ	0.116
j	ˈi	0.115
t	t	0.114
ˈœːy̯	ou̯	0.113
p	p	0.111
ˈɛ	ˈe	0.107
ˈʏ	ˈuː	0.102
ʏ	ɑ_r	0.096
ˈiː	ˈuː	0.095
v	-	0.089
j	ˈeː	0.08
r̥	rː	0.064
a	eː_n	0.062
a	o	0.061
m	m_ˈe	0.06
ˈiː	ˈi_n	0.058
