Italian	Logudorese	probability
a	a	0.926
a	-	0.056
b	b	0.678
b	-	0.158
b	β	0.087
b	ð	0.077
d	d	0.421
d	-	0.273
d	ð	0.183
e	e	0.862
e	i	0.065
f	f	1.0
i	i	0.624
i	e	0.235
i	ŏ	0.069
j	r	0.514
j	-	0.244
j	j	0.111
j	e	0.058
k	k	0.714
k	-	0.152
k	ɣ	0.089
l	l	0.626
l	ɖ	0.283
l	-	0.063
m	m	0.918
m	-	0.064
n	n	0.879
n	-	0.062
o	u	0.853
o	o	0.067
p	p	0.811
p	β	0.115
r	r	0.933
r	-	0.057
s	s	0.891
s	-	0.061
t	t	0.562
t	ð	0.294
t	-	0.139
u	a	0.379
u	o	0.379
u	u	0.242
v	b	0.614
v	-	0.31
v	β	0.076
w	n	0.362
w	-	0.301
w	w	0.228
w	a	0.109
z	z	1.0
ŋ	m	0.705
ŋ	r	0.214
ŋ	ŋ	0.08
ɡ	ɣ	0.471
ɡ	ɡ	0.398
ɡ	b	0.131
ɲ	n	0.518
ɲ	ɲ	0.317
ɲ	ʣ	0.165
ʃ	s	0.569
ʃ	k	0.37
ʃ	-	0.06
ʎ	ʣ	0.512
ʎ	-	0.301
ʎ	s	0.126
ʎ	z	0.061
ʣ	-	0.411
ʣ	z	0.361
ʣ	ʣ	0.228
ʤ	ɡ	0.383
ʤ	-	0.296
ʤ	b	0.108
ʤ	j	0.104
ʤ	ɣ	0.058
ʦ	ʦ	0.672
ʦ	t	0.201
ʦ	-	0.128
ʧ	ɣ	0.405
ʧ	k	0.311
ʧ	-	0.151
ʧ	s	0.133
ˈa	ˈa	0.963
ˈe	ˈe	0.467
ˈe	ˈi	0.455
ˈi	ˈi	0.819
ˈi	e	0.058
ˈi	i	0.051
ˈo	ˈo	0.565
ˈo	ˈu	0.406
ˈu	ˈu	0.701
ˈu	ˈo	0.219
ˈu	ˈi	0.08
ˈɔ	ˈo	0.872
ˈɛ	ˈe	0.949
