Gothic	Icelandic	probability
a	ɪ	0.432
a	-	0.384
a	ʏ	0.063
a	a	0.062
a_n	a	1.0
aː	a	1.0
b	b̥	0.935
b	v	0.062
d	d̥	0.938
d	ɡ̊ː	0.06
e	ɪ	0.467
f	f	0.753
f	v	0.133
f	-	0.065
h	h	0.54
h	-	0.187
h	ç	0.087
h	ŋ	0.087
h	p	0.05
h_l	l̥	1.0
h_t	ʰt	1.0
i	-	0.711
i	ɛ	0.139
i	ʏ	0.086
iː	-	0.354
iː	ʏ	0.165
j	-	0.22
j	j	0.179
j	r	0.153
j	ˈai̯	0.153
j	u	0.106
k	kʰ	0.305
k	k	0.298
k	c	0.137
k	ʰk	0.069
k	x	0.064
k	sː	0.052
kʷ	kʰ	1.0
l	l	0.601
l	l̥	0.212
l	t_l̥	0.085
l	-	0.076
l_a	l	1.0
l_s	l̥	1.0
lː	t_l̥	1.0
m	m	0.971
n	n	0.631
n	-	0.179
n	t_n̥	0.074
n_s	n̥	1.0
n_θ	nː	1.0
nː	nː	0.683
nː	ð	0.21
oː	a	0.633
oː	-	0.108
oː	ʏ	0.075
oː	n̥	0.073
oː	ɪ	0.058
p	p	0.533
p	ʰp	0.343
p	v	0.075
r	r	0.477
r	r̥	0.367
r	r_j	0.092
s	ʏ_r̥	0.321
s	s	0.321
s	-	0.202
s	r̥	0.153
t	t	0.59
t	tʰ	0.252
t	ʰt	0.06
u	ʏ	0.57
u	-	0.379
w	v	0.519
w	-	0.239
w	ˈoːu̯	0.152
w	ˈou̯	0.069
w_ˈɔ	ˈɔ	1.0
x	ɡ̊	0.5
x	ɣ	0.5
z	r	0.66
z	s	0.144
ð	ð	0.346
ð	-	0.262
ŋ	ŋ	0.662
ŋ	-	0.15
ŋ	ɲ	0.107
ɡ	ɡ̊	0.66
ɡ	ɟ̊	0.173
ɡ	ð	0.068
ɡ	ɣ	0.055
ɡʷ	ɟ̊	0.467
ɡːʷ	ɡ̊	0.218
ɣ	ɣ	0.467
ʍ	kʰ	0.354
ʍ	ˈɑːu̯	0.165
ˈa	ˈa	0.404
ˈa	ˈaː	0.179
ˈa	ˈɛ	0.084
ˈa	ˈœ	0.066
ˈa	ˈɑu̯	0.062
ˈa	ˈaːi̯	0.058
ˈa	-	0.057
ˈeː	ˈɑːu̯	0.432
ˈeː	ˈɔ	0.211
ˈeː	ˈɛː	0.211
ˈeː	ˈɔː	0.084
ˈi	ˈɪ	0.238
ˈi	ˈɪː	0.165
ˈi	ˈi	0.139
ˈi	ˈɛː	0.087
ˈi	ˈɛ	0.076
ˈi	-	0.05
ˈi	ˈɔ	0.05
ˈi	ˈɔu̯	0.05
ˈiu̯	ˈiː	0.4
ˈiu̯	ˈɛː	0.17
ˈiu̯	j	0.105
ˈiu̯	j_ˈɛː	0.078
ˈiu̯	ˈi	0.072
ˈiu̯	ˈuː	0.07
ˈiː	ˈiː	0.75
ˈiː	ˈi	0.112
ˈiː	ˈɛː	0.078
ˈoː	ˈoːu̯	0.695
ˈoː	ˈɔu̯	0.152
ˈoː	ˈʏː	0.152
ˈu	ˈʏ	0.53
ˈu	ˈu	0.164
ˈu	ˈoːu̯	0.074
ˈu	ˈʏː	0.058
ˈuː	ˈuː	0.78
ˈuː	ˈu	0.219
ˈɔ	ˈœːy̯	0.398
ˈɔ	ˈɔ	0.245
ˈɔ	ˈœː	0.162
ˈɔː	ˈœːy̯	0.47
ˈɔː	ˈɔ	0.164
ˈɔː	ˈɑːu̯	0.11
ˈɔː	u	0.106
ˈɔː	ˈɔu̯	0.073
ˈɔː_s	ˈɛːi̯	1.0
ˈɛ	ˈɛ	0.364
ˈɛ	j	0.276
ˈɛ	j_ˈœ	0.157
ˈɛ	ˈa	0.1
ˈɛː	j	0.205
ˈɛː	ˈɛi̯	0.205
ˈɛː	ˈɛ	0.179
ˈɛː	ˈœː	0.118
ˈɛː	ˈɛːi̯	0.086
ˈɛː	ˈeːi̯	0.079
ˈɛː	ˈu	0.079
β	v	0.903
β	-	0.056
θ	ð	0.52
θ	θ	0.355
θ	-	0.113
