Ripuarian	Old West Norse	probability
ˈʏ	-	1.0
ˈʊ	-	1.0
ˈɪ_n	e	1.0
ˈœ_n	s	1.0
ˈøʏ̯	ˈyː_r̥	1.0
ˈy	ˈy	1.0
ˈu	ˈu	1.0
ˈi	ˈi	1.0
ˈeɪ̯	ˈɛi̯	1.0
ˈe_ŋ	ˈe	1.0
ɪ	u	1.0
ɣ̊	ɣ	1.0
ɣ	ʝː	1.0
ə_f	v	1.0
z	s	1.0
v_ɐ	v_r̥	1.0
t_ɐ	i_r̥	1.0
s	t	1.0
e	ɑː	1.0
b	b	1.0
ʀ	r	0.891
l	l	0.891
h	h	0.866
f	f	0.85
ˈɔː	ˈɑː	0.84
m	m	0.834
t	t	0.825
ʋ	v	0.791
x	tː	0.749
ɫ	l	0.745
ˈo	ˈu	0.707
ˈaː	ˈɑ	0.697
d̥	ð	0.667
v	v	0.659
ə	ɑ	0.642
ˈøː	ˈøː	0.633
p	p	0.624
v̥	v	0.622
ˈe	ˈi	0.621
ˈa	ˈɑ	0.61
ˈœ	ˈu	0.552
j	ˈuː_ɣ	0.532
ˈyː	-	0.526
ˈɔ	ˈo	0.5
ˈɔ	-	0.5
n	n	0.491
ʃ	s	0.489
ˈɪ	ˈi	0.486
ˈyː	ˈyː	0.474
ˈuː	ˈuː	0.47
ŋ	ŋ	0.469
ɕ	k	0.468
j	ɟ	0.468
ˈoː	ˈoː	0.462
ˈœ	ˈy	0.448
ʦ	tʰ	0.441
ˈiː	ˈiː	0.429
ˈɛː	ˈe	0.415
ˈɛː	-	0.415
d	θ	0.415
ˈɛ	ˈɑ	0.403
ˈɔʊ̯	ˈɑu̯	0.402
k	kʰ	0.386
d	d	0.383
v̥	f_r̥	0.378
ˈøː	-	0.367
v	-	0.341
ˈɔʊ̯	-	0.32
ˈeː	ˈɛi̯	0.312
ɐ	r	0.311
ˈɪ	ˈiː	0.293
ˈɔʊ̯	ˈuː	0.277
ʦ	tː	0.276
ŋ	n	0.275
ɐ	r̥	0.274
ˈeː	-	0.263
n	nː	0.258
ˈa	-	0.255
ɫ	lː	0.255
ˈuː	-	0.253
x	k	0.251
ɐ	i_r	0.249
ˈoː	ˈo_r	0.245
ˈiː	ˈɛː	0.242
ʃ	s_k	0.239
ˈeː	j	0.234
ɡ̊	ɡ_r̥	0.234
ɡ̊	d_r̥	0.234
ɕ	ɣ	0.227
ʃ	s_c	0.226
ɡ̊	ð	0.224
ˈɪ	-	0.221
ˈuː	ˈɑu̯	0.21
ˈo	-	0.209
d	ð	0.202
ˈoː	-	0.198
d̥	r_ð	0.19
p	pː	0.189
p	pʰ	0.187
k	-	0.186
ˈɛ	ˈe	0.183
ˈaː	ˈɑː	0.182
t	ʦ	0.175
ˈɛː	j_ˈɔ	0.17
m	-	0.166
ˈiː	ˈɑː	0.165
ˈiː	ˈeː	0.165
ˈɔː	r	0.16
n	-	0.158
ɡ̊	d	0.156
ə	-	0.154
ɡ̊	-	0.153
f	p	0.15
ʦ	t	0.148
ŋ	nː	0.145
ˈɛ	-	0.144
d̥	d	0.143
ˈɛ	j_ˈɔ	0.135
ˈɛ	j_ˈɑ	0.135
ˈa	ˈɔ	0.135
ʦ	r_t	0.135
h	ç	0.134
ˈe	ˈy	0.133
ˈe	-	0.133
ɐ	ɡ_r̥	0.124
ˈaː	ˈe	0.121
ˈe	ˈɛ	0.114
ə	a	0.114
ŋ	n_d	0.111
ɕ	tː_r̥	0.11
ɕ	-	0.11
ʀ	r̥ː	0.109
l	l̥	0.109
k	ɡː	0.107
ʋ	x_w	0.104
ʋ	v_ˈi	0.104
k	c	0.104
ˈeː	j_ˈuː	0.096
ˈeː	j_ˈoː	0.096
ˈoː	ˈɔː	0.094
k	cʰ	0.092
ɕ	ɡ	0.086
ˈo	ˈo	0.084
k	kː	0.083
n	r_n	0.082
ˈuː	ˈɒu̯	0.067
ə	j_ɑ	0.054
