Old High German	East Frisian Low Saxon	probability
ˈie̯	ˈɪ	1.0
ˈeː	ˈɛːɪ̯	1.0
ˈei̯_n	n	1.0
ˈe	-	1.0
ʦː	t	1.0
ʦ_ɑ	ˈyːʏ̯	1.0
ʦ	t	1.0
ɡ_r	ɡ_r	1.0
ɛ_h	ɑɪ̯	1.0
ɛ	ɐ	1.0
ə	-	1.0
ɑ_r	ɐ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
w_ɑ	ˈɑːʊ̯	1.0
v	-	1.0
u	-	1.0
tː	d	1.0
t_o	t	1.0
t_e	d	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	s_t	1.0
rː	ɣ̊	1.0
r_ˈiu̯	r	1.0
r_ɑ	ɐ	1.0
r_n	ɐ_n	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈoː	1.0
o	-	1.0
nː_ɑ	n	1.0
nː	n	1.0
n_t	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i_l	ɫ	1.0
fː	ˈɒːɒ̯_p	1.0
f_ɑ	p	1.0
f	f	1.0
eː	-	1.0
e	-	1.0
b_ɑ	v	1.0
n	n	0.989
ɑ	-	0.947
i	-	0.935
ˈei̯	ˈæɪ̯	0.885
h	h	0.881
b	b	0.831
d	d	0.813
ˈuː	ˈuː	0.79
ˈiː	ˈiː	0.785
ˈi	ˈɪ	0.759
x	χ	0.716
w	v	0.704
r	ɐ	0.686
ɡ_ɑ	ɡ	0.683
ɡ	ɡ	0.634
ˈoː	ˈoː	0.627
kː	k	0.626
ˈɑː	ˈɒː	0.609
ˈiu̯	-	0.58
ˈou̯	ˈoː	0.573
ˈuo̯	ˈɑʊ̯	0.563
s	s	0.551
t	d̥	0.529
ˈio̯	ˈæɪ̯	0.443
ˈɑ	ˈɑ	0.43
ˈou̯	ˈøː	0.427
ˈiu̯	ˈyː	0.42
s	z	0.406
ˈo	ˈoː	0.393
kː	ɣ̊	0.374
ˈoː	-	0.373
ɡ	ɣ̊	0.366
ˈɛ	ˈeː	0.362
ˈu	ˈʊ	0.34
t	t	0.332
ɡ_ɑ	ˈøː_ɡ	0.317
ˈo	-	0.299
r	r	0.293
ˈɑː	ˈɔː	0.286
x	-	0.284
ˈio̯	ˈæː	0.266
ˈo	ˈɔ	0.235
ˈuo̯	ˈœy̯	0.222
ˈu	ˈøː	0.216
ˈɛ	-	0.21
ˈuː	ˈuːu̯	0.21
d	-	0.187
w	w	0.165
ˈɑ	ˈɑː	0.16
ˈɛ	ˈɛ	0.148
ˈio̯	l	0.148
ˈɑ	ˈɒː	0.146
ˈiː	ˈɪ	0.146
ˈio̯	-	0.143
ˈɛ	ˈɑː	0.14
ˈɛ	ˈeːe̯	0.14
t	d	0.139
w	-	0.131
h	-	0.119
ˈei̯	-	0.115
ˈɑ	ˈɑːɑ̯	0.11
ˈu	ˈʏ	0.11
b	-	0.11
ˈuo̯	ˈœːy̯	0.108
ˈi	-	0.106
ˈɑː	-	0.105
ˈɑ	-	0.096
ˈu	ˈœ	0.084
ˈu	-	0.084
ˈo	ˈʊ	0.073
ˈu	ˈʏə̯	0.07
ˈiː	ˈiːi̯	0.069
ˈi	ˈɛ	0.068
ˈi	ˈɪə̯	0.067
i	n	0.065
b	v̥	0.059
ˈu	ˈøːø̯	0.058
ˈuo̯	ˈøy̯	0.053
ˈuo̯	ʊ	0.053
ɑ	ə	0.053
