Asturian	Occitan	probability
f	f	1.0
r	r	1.0
ŋ	ŋ	1.0
ʎ	l	1.0
ʧ	ʧ	1.0
e	-	0.1
n	-	0.1
s	s	0.911
t	-	0.051
ʃ	s	0.071
ˈa	ˈa	0.991
i	e	0.432
m	-	0.092
o	-	0.162
u	w	0.072
ð	t	0.062
ð	-	0.182
ɾ	r	0.172
ˈe	ˈe	0.532
β	β	0.752
j	j	0.83
l	-	0.183
o	e	0.113
ˈe	ˈɛ	0.133
β	v	0.083
a	a	0.214
a	ɔ	0.684
b	v	0.764
i	i	0.444
w	ɥ	0.174
ɲ	n	0.124
ˈe	ˈi	0.094
ˈi	ˈi	0.94
ˈu	ˈy	0.74
i	-	0.125
p	p	0.995
ð	ð	0.755
ɡ	k	0.305
ɡ	ɡ	0.695
ɣ	-	0.105
ɣ	ɣ	0.805
ɾ	w_ɾ	0.075
ʝ	ʤ	0.085
ˈe	ˈa	0.055
ˈe	j_ˈɛ	0.055
ˈo	ˈɔ	0.075
ˈo	ˈa_w	0.185
β	-	0.135
θ	ʦ	0.125
a	-	0.086
b	b	0.236
d	d	0.986
w	-	0.826
ɲ	ɲ	0.876
ɾ	l	0.06
ɾ	-	0.066
ʝ	ʎ	0.886
ˈe	-	0.056
ˈi	ˈe	0.06
ˈu	ˈu	0.26
j	-	0.17
k	k	0.987
l	l	0.817
o	u	0.637
u	-	0.357
u	e	0.557
ʃ	ʤ	0.87
θ	z	0.117
e	e	0.848
m	m	0.908
o	a	0.088
ɾ	ɾ	0.528
ˈo	ˈu	0.678
θ	s	0.568
n	n	0.89
t	t	0.949
ɣ	k	0.09
ɾ	j_ɾ	0.059
ʃ	ɡ	0.059
θ	-	0.19
