Romansch	Romansch	probability
ˈɛ_w	k_ʊ̃ː	1.0
ˈuɔ̯	ˈʊ	1.0
ˈu_n	ˈɔ_n	1.0
ˈo	ˈɔ	1.0
ˈiː_r	ˈuː_r	1.0
ˈa_w	ˈau̯	1.0
ʨ_ə	k_a	1.0
ʒ	ɛ	1.0
ʃ_ə	ɡ_ɛ	1.0
ʃ_p	s_p	1.0
ʃ_#>	k_ɛ̃ː_#>	1.0
ə_r	ɛ_r	1.0
ŋ	ŋ	1.0
z	-	1.0
v_ə	w_ɛ	1.0
t_ə	t_ãː	1.0
t_#>	t_ɛ̃ː_#>	1.0
s_ə	s_ˈa	1.0
r_ˈiː	r_ˈiː	1.0
r_ˈa	r_ˈaː	1.0
r_ə	r_ãː	1.0
r_n	r_n	1.0
o	-	1.0
n_#>	n_ʊ̃ː_#>	1.0
m_#>	m_ɛ̃ː_#>	1.0
m	m	1.0
l_ˈu	ɫ	1.0
k_r	k_r	1.0
k_#>	k_ʊ̃ː_#>	1.0
k	k	1.0
j_ˈa	ˈɛ	1.0
e_n	ĩː	1.0
b	b	1.0
a	a	1.0
<#_ˈe	<#_ˈɪ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ə	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#	1.0
<#_d	<#_d	1.0
p	p	0.962
r	r	0.921
ˈɔː	ˈɔ	0.8
f	f	0.8
<#_l	<#_ɫ	0.786
n	n	0.78
ˈa_j	ˈeː	0.769
ˈiə̯	ˈɛ	0.75
t	t	0.708
l	ɫ	0.707
ˈe	ˈɪ	0.7
ə	ãː	0.69
s	s	0.679
ˈɛ	ˈɛ	0.667
v	w	0.645
ɡ	ɡ	0.643
ˈiː	ˈiː	0.611
d	t	0.611
ˈi	ˈiː	0.6
ˈaː	ˈaː	0.6
ˈeː	-	0.571
ʧ	k	0.571
i	-	0.556
ˈɛː	ˈɛ	0.545
ˈa	ˈa	0.528
ʨ	k	0.519
ʦ	t	0.5
ʦ	k_t	0.5
w_n	n_a	0.5
w_n	n	0.5
e	ɪ	0.5
e	ɛ	0.5
<#	<#_h	0.5
<#	<#_a	0.5
#>	ʊ̃ː_#>	0.478
ˈɔ	ˈɔ	0.471
ˈɛː	ˈɛ_lʲː	0.455
u	ɔ	0.455
ˈu	ˈʊ	0.448
i	ɪ	0.444
ˈeː	ˈɪ	0.429
ɲ	n_i	0.429
ʃ	s	0.417
ˈaː	ˈa	0.4
j	-	0.4
w	-	0.385
ˈɔ	ˈa	0.353
ˈu	ˈoː	0.345
ˈuː	ˈoː	0.333
ˈi	ˈuː	0.333
ʎ	lʲ_i	0.312
ʎ	k_ʊ	0.312
ˈa	ˈaː	0.306
ˈe	ˈeː	0.3
ɲ	ŋ_n	0.286
ɲ	n_e	0.286
ʥ	ɡ	0.273
ʥ	d	0.273
ʥ	-	0.273
u	oː	0.273
u	-	0.273
ʨ	k_t	0.259
ˈuː	ˈʊ	0.25
ˈuː	ˈɔ	0.25
ˈiə̯	ˈae̯	0.25
ʃ	s_k	0.25
l	lʲː	0.244
#>	ɛ_#>	0.243
ˈa_j	ˈɪ	0.231
w	n	0.231
w	kʷ	0.231
d	d	0.222
ɡ	k	0.214
<#_l	<#_lʲ	0.214
ˈɔː	-	0.2
j	ˈɔ	0.2
j	ɡ	0.2
#>	ɛ̃ː_#>	0.199
v	b	0.194
ʎ	ʊ	0.188
ʎ	ɫ	0.188
ʥ	j	0.182
s	sː	0.179
ˈuː	-	0.167
ˈiː	ˈuː	0.167
ʃ	s_i	0.167
ʃ	k	0.167
w	ɔ	0.154
ʧ	t_i	0.143
ʧ	k_i	0.143
ʧ	-	0.143
ɡ	k_s	0.143
s	oː_s	0.143
j	k	0.133
t	tː	0.125
f	w_ɛ̃ː	0.12
ˈɔ	ˈaː	0.118
ˈɛ	ˈɪ	0.111
ˈiː	ˈiː_k	0.111
ˈiː	ˈi	0.111
ʨ	kː	0.111
ʨ	kʷ	0.111
d	-	0.111
ˈu	ˈɔ	0.103
ˈu	ˈu	0.103
ə	aː	0.099
v	p	0.097
ˈa	ˈɪ	0.083
ˈa	ˈa_p	0.083
t	ɪ_d	0.083
t	d_ʊ̃ː	0.083
f	w	0.08
ˈɛ	ˈɛ_p	0.074
ˈɛ	ˈɔ_k	0.074
ˈɛ	-	0.074
n	ŋ	0.073
ə	a	0.07
ˈi	ˈĩː	0.067
j	ˈe	0.067
v	p_ɛ	0.065
ˈɔ	ˈo	0.059
d	tʰ	0.056
