Piedmontese	Piedmontese	probability
ˈə	ˈi	1.0
ˈɔ_r	ˈɔ_ɾ	1.0
ˈy	ˈu	1.0
ˈu_n	ˈɔ_n	1.0
ˈe_#>	ˈa_i_#>	1.0
ˈa	ˈa	1.0
ʧ	k_ɾ	1.0
ɲ	n_ʤ	1.0
ə_r	ɾ	1.0
ŋ_a	n_a	1.0
ŋ_#>	n_u_#>	1.0
y	u	1.0
t_#>	#>	1.0
m	m	1.0
j_t	t_i	1.0
i	i	1.0
f_j	f_ɾ	1.0
dː	ɾ	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_i	<#_i	1.0
k	k	0.951
p	p	0.923
a	a	0.922
t	t	0.917
f	f	0.9
b	b	0.882
ˈi	ˈi	0.857
s_#>	s_u_#>	0.714
n	n	0.684
ŋ	n	0.68
w	-	0.667
ɡ	ɡ	0.636
ˈø	ˈɔ	0.625
r_#>	ɾ_u_#>	0.625
s	s	0.611
d	d	0.609
r	ɾ	0.605
ʤ	-	0.6
v	b	0.576
l	l	0.571
e	i	0.55
ˈɛ	ˈɛ	0.541
ˈe	ˈɛ	0.524
ˈu	ˈu	0.5
j_#>	ɣ_u_#>	0.5
j_#>	ŭ_#>	0.5
ˈɔ	ˈo	0.438
#>	u_#>	0.438
z	ʒ_i	0.429
ʤ	ʤ	0.4
ˈø	ˈo	0.375
r_#>	#>	0.375
#>	i_#>	0.375
ɡ	ɣ_u	0.364
u	ɔ	0.357
w	w	0.333
ˈɛ	ˈe	0.297
s_#>	#>	0.286
ˈɔ	ˈɔ	0.25
ˈu	ˈɔ	0.25
l	ɖː	0.25
ŋ	ŋ	0.24
d	ð	0.217
z	ʒ	0.214
z	-	0.214
u	u	0.214
u	a	0.214
u	-	0.214
j	ɾ	0.214
j	ɭː	0.214
ˈe	ˈa	0.19
ˈɔ	ˈu	0.188
ˈu	ˈo	0.188
j	u	0.179
d	-	0.174
r	u	0.163
r	r	0.163
ˈɛ	ˈi	0.162
v	β	0.152
e	-	0.15
ˈe	ˈi	0.143
ˈe	ˈe	0.143
z	i	0.143
s	ʧ	0.13
ˈɔ	-	0.125
v	u	0.121
b	-	0.118
s	ʃ	0.111
l	ɭː	0.107
j	ɣ	0.107
j	i	0.107
j	-	0.107
n	u	0.105
n	nː	0.105
n	-	0.105
f	f_ɾ	0.1
e	ˈi_ɾ	0.1
e	ɾ_i	0.1
e	a_z	0.1
v	-	0.091
t	ð	0.083
ŋ	nː_u	0.08
p	p_ɾ	0.077
ˈi	ˈɛ	0.071
ˈi	-	0.071
l	-	0.071
j	j	0.071
r	-	0.07
ˈu	ˈɔ_z	0.062
#>	n_i_#>	0.062
v	i	0.061
s	ʦ	0.056
s	u	0.056
#>	u_z_ŭ_#>	0.052
#>	a_#>	0.052
