Gascon	Piedmontese	probability
a	a	1.0
d	d	1.0
h	f	1.0
i	i	1.0
m	m	1.0
nː	m	1.0
p	p	1.0
ɲ	ɲ	1.0
ʒ	ʤ	1.0
ʦ	z	1.0
b	b	0.211
e	e_r	0.051
e	-	0.091
j	-	0.81
k	k	0.861
u	ˈu	0.061
u	u	0.861
w	ˈø	0.121
w	-	0.521
ɡ	ɡ	0.891
ɾ	-	0.061
ŋ	n	0.072
ɔ	a	0.922
ˈa	r_#>	0.112
w	l	0.123
ˈu	ˈɔ	0.093
ˈy	ˈu	0.293
r	r_n	0.064
s	s	0.844
t	t	0.664
z	-	0.374
ð	-	0.764
ɣ	ɡ	0.164
ʎ	j	0.894
ˈa	ˈa	0.624
ˈe	ˈi	0.104
ˈi	ˈi	0.924
ˈu	ˈy	0.124
ˈɔ	ˈɔ	0.864
e	e	0.555
n	ŋ	0.205
s	-	0.085
t	-	0.065
w	w	0.235
ˈe	ˈɔ	0.115
ˈe	ˈɛ	0.485
β	v	0.95
e	i	0.156
l	j	0.276
r	r	0.936
t	l	0.216
z	z	0.626
ð	d	0.236
ɣ	-	0.836
ʎ	l	0.106
ˈɔ	ˈø	0.136
ˈɛ	ˈa	0.216
n	ŋ_t	0.207
ˈu	ˈu	0.727
ˈy	ˈy	0.707
ˈɛ	ˈe	0.187
e	a	0.058
n	n	0.588
u	-	0.078
ŋ	ŋ	0.928
ɔ	-	0.078
ˈa	ˈe	0.18
ˈe	ˈe	0.168
ˈɛ	ˈɛ	0.568
b	v	0.789
j	j	0.19
k	ɡ	0.139
l	l	0.659
ɡ	-	0.109
ɾ	r	0.939
