Nynorsk Norwegian	East Frisian Low Saxon	probability
ˈʊ_ŋ	ɡ̊	1.0
ˈʊ	ˈoː	1.0
ˈɪ	ˈɪ	1.0
ˈœʏ̯	ˈøː	1.0
ˈœ	-	1.0
ˈæː	-	1.0
ˈæ	ˈɑː	1.0
ʰpː	p	1.0
ʰkː	ŋ_k	1.0
ʋ_e	v	1.0
ʉ	-	1.0
ɾ_n	ɐ_n	1.0
ɲ	ŋ	1.0
ɪ	ˈyː	1.0
ɡː	ɣ̊	1.0
ɡ_ɾ	ɡ_r	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ŋː	ŋ	1.0
çː	-	1.0
v	v	1.0
tː	t_ɑɪ̯	1.0
tʰ	d	1.0
t	t	1.0
pʰ	p	1.0
p	p	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_e	ɫ	1.0
l	l	1.0
h	h	1.0
f	f	1.0
d_ə	ɐ	1.0
d	d	1.0
b	b	1.0
n	n	0.942
e	-	0.879
ɑ	n	0.856
ç	k	0.792
k	k	0.753
ʂ	s_k	0.722
ˈæɪ̯	ˈæɪ̯	0.708
ˈyː	-	0.664
ɾ	ɐ	0.627
ˈæʉ̯	ˈoː_d̥	0.611
ˈiː	ˈiː	0.572
ˈʉ	ˈʊ	0.551
ˈøː	-	0.542
ʋ	v	0.54
ə	-	0.54
ʰtː	t	0.53
ˈɑː	ˈɒː	0.503
s	s	0.502
s	z	0.498
ʰtː	χ_t	0.47
ʋ	w	0.46
ə	ɐ	0.46
ˈɔ	-	0.457
ˈɑ	ˈɑ	0.439
j	ɡ	0.436
ˈoː	ˈɒː	0.423
ˈuː	ˈɑʊ̯	0.408
ˈɔ	ˈøː	0.4
ˈæʉ̯	ˈoː	0.389
ˈʏ	-	0.379
ˈeː	ˈeː	0.369
ˈɛ	ˈɛ	0.366
ˈʉː	ˈuː	0.359
ˈʉː	-	0.351
ˈʏ	ˈʏ	0.339
ˈyː	ˈæɪ̯	0.336
j	-	0.303
ˈæɪ̯	-	0.292
ˈeː	ˈɪ	0.286
ɾ	r	0.284
ʂ	z	0.278
ˈɑ	ˈɑː	0.27
ˈɛ	-	0.268
ˈuː	ˈoː	0.258
k	-	0.247
ˈʉ	-	0.229
ˈøː	ˈœy̯	0.222
ˈɛ	ˈɪ	0.216
ç	d	0.208
ˈoː	ˈɔː	0.191
ˈeː	ˈɛːɪ̯	0.187
ˈʏ	ˈʏə̯	0.169
ˈɑː	ˈɑ	0.166
ˈɑː	-	0.166
ˈɑː	ˈɑ_d̥	0.165
ˈʉː	ˈæɪ̯	0.164
ˈoː	ˈoː	0.164
ˈeː	-	0.158
ˈøː	ˈɑʊ̯	0.157
ˈɛ	ˈɑ	0.15
j	h	0.15
ˈɑ	ˈɑːɑ̯	0.148
ˈiː	ˈɪ	0.148
ɑ	-	0.144
ˈɔ	ˈɑ	0.143
ˈiː	-	0.142
ˈoː	-	0.131
ˈʉː	ˈøː	0.125
ˈuː	ˈœːy̯	0.121
e	ɐ	0.121
ˈuː	ˈæɪ̯	0.115
ˈʏ	ˈɔ	0.113
j	l	0.112
ˈʉ	ˈʊə̯	0.11
ˈʉ	ˈøː	0.11
ˈɑ	ˈɒː	0.099
ˈuː	ʊ	0.097
ˈiː	n	0.095
ˈoː	n	0.091
ˈøː	ˈøy̯	0.08
n	-	0.058
