Belarusian	Belarusian	probability
ʦ	ʦ	1.0
ʤ̥	-	1.0
ʣʲ	d	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʉ	uː	1.0
ʂ	ʃ	1.0
ɨ_#>	#>	1.0
ɣʲ	ɡ̊	1.0
ɣ	ɡ	1.0
ɛ	-	1.0
z̥	z_a	1.0
zʲ	z	1.0
z	z	1.0
xʲ_i	̂_x	1.0
vʲ	ʋ	1.0
v_ɨ	ʋ	1.0
v_u	u	1.0
v_o	o	1.0
v	ʋ	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ɨ	a_r	1.0
r_#>	r_#>	1.0
r	r	1.0
pʲ	p	1.0
p	p	1.0
o_ˈ	̂	1.0
n	n	1.0
mʲ	m	1.0
lʲ	l	1.0
kʲ	a_k	1.0
k	k	1.0
j	j	1.0
i_ˈ	i	1.0
i_#>	#>	1.0
d̥ʲ	d	1.0
d̥	d̥	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a_d	o_d	1.0
a_#>	o_#>	1.0
<#_vʲ	<#_ʋ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
#>	a_#>	1.0
ɫ	l	0.875
m	m	0.846
d	d	0.833
u	uː	0.8
ˈ_#>	̂_#>	0.769
ˈ	̂	0.759
ʦʲ	t	0.722
nʲ	n	0.714
ˈ_r	r̩_̂	0.667
w	-	0.667
i	i	0.667
a_ˈ	a_̂	0.625
ʧ	ʧ	0.6
x	x	0.6
a_r	r	0.6
ɵ	eː	0.5
ɵ	-	0.5
ɨ	iː	0.5
æ	e	0.5
a	a	0.449
ʧ	-	0.4
x	ɡ̊	0.4
a_r	o_r	0.4
a_ˈ	a	0.375
ˈ_r	̂	0.333
w	ʋ	0.333
i	iː	0.333
e	i	0.32
e	e	0.32
ɨ	i	0.312
æ	eː	0.312
o	oː	0.303
nʲ	ɲ	0.286
ʦʲ	t_i	0.278
o	o	0.273
ˈ_#>	#>	0.231
u	u	0.2
e	iː	0.2
ɨ	-	0.188
æ	a	0.188
d	-	0.167
a	e	0.163
e	-	0.16
m	a_n	0.154
ˈ	̌	0.152
o	aː	0.152
o	-	0.152
ɫ	-	0.125
a	o	0.122
a	aː	0.122
o	uː	0.121
a	iː	0.082
a	-	0.061
