North Frisian	Afrikaans	probability
b	b	0.914
b	-	0.056
b	p	0.048
d	d	0.464
d	t	0.291
d	-	0.206
d	f	0.039
dʲ	t	0.693
dʲ	-	0.133
dʲ	d	0.133
f	f	0.936
f	v	0.061
h	ɦ	0.941
h	-	0.064
i	ə	0.784
i	-	0.169
j	-	0.386
j	χ	0.333
j	j	0.081
j	ɫ	0.081
j	ˈi	0.07
k	k	0.878
k	-	0.061
k	χ	0.061
l	ɫ	0.953
l	-	0.049
lʲ	ɫ	0.488
lʲ	t	0.333
m	m	1.0
n	n	0.811
n	-	0.127
n	ŋ	0.057
nʲ	n	0.633
nʲ	n_t	0.343
p	p	1.0
r	r	0.97
r	-	0.038
s	s	0.934
s	n_t	0.04
t	t	0.611
t	-	0.232
t	d	0.155
tʲ	t	0.624
tʲ	d	0.312
v	v	0.654
v	w	0.137
v	-	0.127
v	f	0.044
v	p	0.044
v_ə	f	1.0
w	χ	1.0
x	χ	1.0
z	t	0.583
z	s	0.398
ŋ	ŋ	0.929
ŋ	-	0.074
ə	-	0.729
ə	ə	0.271
ə_v	f	0.517
ɡ	χ	1.0
ʃ	s	0.514
ʃ	s_k	0.374
ʃ	k	0.099
ˈa	ˈə	0.335
ˈa	ˈɛ	0.215
ˈa	ˈa	0.135
ˈa	ˈɑː	0.098
ˈa	ˈæ	0.078
ˈai̯	ˈə	0.307
ˈai̯	ˈi	0.22
ˈai̯	ˈɪə̯	0.22
ˈaː	ˈə	0.333
ˈaː	ˈɪø̯	0.333
ˈaː	ˈɪə̯	0.333
ˈeː	ˈɑː	0.218
ˈeː	ˈɛː	0.117
ˈeː	ˈæː	0.107
ˈeː	ˈəɪ̯	0.107
ˈeː	ˈɛ	0.107
ˈi	ˈəɪ̯	0.377
ˈi	ˈə	0.243
ˈi	ˈɪə̯	0.123
ˈi	ˈæ	0.081
ˈi	ˈœi̯	0.071
ˈiː	ˈi	0.506
ˈiː	ˈəɪ̯	0.197
ˈiː	ˈʊə̯	0.161
ˈiː	ˈɪə̯	0.122
ˈiː	j	0.038
ˈuː	ˈʊə̯	0.756
ˈuː	ˈa	0.174
ˈuː	ˈœɪ̯	0.065
ˈyː	ˈœɪ̯	0.231
ˈyː	ˈʊə̯	0.199
ˈyː	ˈɔ	0.093
ˈyː	ˈi	0.074
ˈyː	ˈɪə̯	0.074
ˈøː	ˈʊə̯	0.392
ˈøː	-	0.134
ˈøː	ˈyː	0.134
ˈøː	ˈœɪ̯	0.134
ˈøː	ˈɪə̯	0.134
ˈœ	ˈu	0.331
ˈœ	ˈa	0.254
ˈœ	ˈœu̯	0.118
ˈœ	ˈə	0.089
ˈœ	ˈɛ	0.089
ˈɒ	ˈa	0.613
ˈɒ	ˈə	0.119
ˈɒ	ˈɪə̯	0.096
ˈɒ	ˈœu̯	0.093
ˈɒ	ˈəɪ̯	0.075
ˈɒː	ˈa	0.463
ˈɒː	ˈɑː	0.437
ˈɒː	ˈəɪ̯	0.082
ˈɔ	ˈɔ	0.485
ˈɔ	ˈʊə̯	0.474
ˈɔu̯	ˈʊə̯	0.274
ˈɔu̯	ˈuː	0.181
ˈɔu̯	-	0.134
ˈɔu̯	ˈa	0.123
ˈɔu̯	ˈɑː	0.123
ˈɔː	ˈɔ	0.293
ˈɔː	ˈa	0.2
ˈɔː	ˈɪə̯	0.152
ˈɔː	ˈɑː	0.115
ˈɔː	ˈɪø̯	0.09
ˈɛ	ˈə	0.322
ˈɛ	ˈu	0.29
ˈɛ	ˈæː	0.207
ˈɛi̯	ˈɑː	0.437
ˈɛi̯	ˈu	0.266
ˈɛi̯	ˈɛ	0.101
ˈɛi̯	ˈi	0.098
ˈɛi̯	ˈa	0.069
ˈɛː	ˈɪə̯	0.642
ˈɛː	ˈɑː	0.267
ˈɛː	ˈɔː	0.081
ˈʊ	ˈɔ	0.362
ˈʊ	ˈa	0.169
ˈʊ	ˈə	0.116
ˈʊ	v_ˈɔ	0.098
ˈʊ	ˈɛ	0.076
ˈʏ	ˈɔ	0.461
ˈʏ	ˈœ	0.274
ˈʏ	ˈœɪ̯	0.096
