West Flemish	West Flemish	probability
ˈɒː_n	ˈoː	1.0
ˈɑ_h	ˈɔ	1.0
ˈi	ˈiː	1.0
ʃ	ʂ	1.0
ɾ_#>	#>	1.0
ɾ	ɾ	1.0
ɪ	ŋ	1.0
ɦ̥_#>	#>	1.0
ɦ_ɾ	ɡ_ɾ	1.0
ɦ_ə	ɡː	1.0
ŋ_k	ʰkː	1.0
ç	ɡ	1.0
z̥_#>	s_#>	1.0
v̥_#>	ʋ_#>	1.0
n_ə	nː	1.0
n_d	nː	1.0
l_#>	l_#>	1.0
iə̯	e	1.0
h_t	ʰtː	1.0
h	-	1.0
d̥_#>	#>	1.0
d̥	lː	1.0
d_ɾ	ɾ	1.0
b	b	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_ɾ	1.0
<#_t	<#_tʰ	1.0
<#_p	<#_pʰ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
m	m	0.9
ŋ	ŋː	0.875
l	l	0.846
z	s	0.833
p	p	0.833
v	f	0.783
ˈyː	ˈʉː	0.778
s	s	0.778
t	t	0.759
ɦ	ɡ	0.75
w	l	0.7
<#	<#_h	0.7
ˈuə̯	ˈuː	0.692
ʋ	ʋ	0.684
ˈɛː	ˈæɪ̯	0.667
ˈɑ	ˈɑ	0.65
ˈu	ˈʉ	0.625
ˈøː	-	0.6
ˈɪ	ˈɪ	0.583
ˈɔ	-	0.556
k	ç	0.556
ˈœ	ˈʏ	0.5
ˈæ	-	0.5
k_#>	k_#>	0.5
k_#>	#>	0.5
d	d	0.48
ˈɔ	ˈɔ	0.444
k	k	0.444
ˈɛ	ˈɪ	0.429
ˈæ	ˈɛ	0.429
ˈeː	ˈeː	0.417
ə	-	0.405
ˈøː	ˈɔ	0.4
n	ɑ	0.379
ˈu	-	0.375
d	tʰ	0.36
ˈɒː	ˈɑː	0.357
ˈɒː	ˈoː	0.357
ə	e	0.357
ˈɛː	-	0.333
ˈoː	ˈæʉ̯	0.333
ˈiə̯	ˈyː	0.333
ˈeː	-	0.333
n	n	0.328
ˈuə̯	ˈøː	0.308
w	-	0.3
ˈɛ	ˈɛ	0.286
ˈɛ	ˈæɪ̯	0.286
ˈɒː	ˈɑ	0.286
ˈiə̯	ˈʉː	0.286
ˈɪ	ˈʏ	0.25
ˈɑ	ˈɑː	0.25
ˈœ	ˈʉ	0.25
ˈœ	ˈɛ	0.25
ˈeː	ˈæɪ̯	0.25
ɦ	j	0.25
ˈiə̯	-	0.238
ˈyː	-	0.222
s	s_k	0.222
v	ʋ	0.217
ˈoː	ˈʊ	0.208
ˈɪ	ˈɛ	0.167
ə	ɑ	0.167
z	ʂ	0.167
p	ʰpː	0.167
d	-	0.16
ʋ	-	0.158
n	nː	0.155
l	lː	0.154
<#	<#_kʰ	0.15
<#	<#_j	0.15
ˈiə̯	ˈiː	0.143
t	ʰtː	0.138
ˈoː	ˈœʏ̯	0.125
ˈoː	ˈuː	0.125
ˈoː	-	0.125
ŋ	ɲ	0.125
ʋ	v	0.105
t	-	0.103
ˈɑ	ˈɛ	0.1
m	mː	0.1
ˈoː	ˈoː	0.083
ˈæ	ˈæ	0.071
ə	ə	0.071
ʋ	jː	0.053
n	ˈoː	0.052
n	-	0.052
