Asturian	Piedmontese	probability
ˈi_ɾ	e	1.0
ˈe_ʝ	j	1.0
ˈe_ɾ	e	1.0
ˈe_u	ɡ	1.0
ˈe_n	ŋ	1.0
ˈa_ɾ	ˈe	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ʃ_u	s	1.0
ʃ	ʤ	1.0
ɾ_n	r_n	1.0
ɡ	ɡ	1.0
ɟ͡ʝ	-	1.0
ŋ	ŋ	1.0
ð_ɾ	r	1.0
t_a	t_a	1.0
r	r	1.0
p	p	1.0
m_ˈo	l	1.0
k_ɾ	k_r	1.0
k	k	1.0
f_e	b	1.0
f	f	1.0
e_s	s	1.0
d	d	1.0
b_e	v	1.0
a	a	0.944
m	m	0.924
s	s	0.909
ʎ	l	0.881
ˈi	ˈi	0.87
t	t	0.861
j_ˈe	ˈɛ	0.834
β	v	0.813
θ	s	0.722
ˈu	ˈy	0.698
ɾ	r	0.698
ɣ	-	0.696
ˈo	ˈu	0.692
i	-	0.689
ɲ	ɲ	0.642
n	ŋ	0.64
w_ˈe	ˈɔ	0.631
ʝ	j	0.621
j	-	0.577
b	v	0.56
w	ˈø	0.5
w	-	0.5
u	-	0.489
ð	d	0.482
b	b	0.44
j	ˈɛ	0.423
e	-	0.397
o	u	0.389
ʝ	-	0.379
l	l	0.375
n	n	0.36
ɲ	ŋ	0.358
e	e	0.355
ð	t	0.317
i	i	0.311
ɣ	ɡ	0.304
w_ˈe	ˈø	0.297
ˈe	ˈe	0.287
l	j	0.273
ˈe	ˈɛ	0.272
o	-	0.26
l	-	0.251
ð	-	0.201
o	ˈɔ	0.201
u	j	0.196
ˈu	ˈu	0.191
ˈe	ˈi	0.19
β	b	0.187
ˈo	ˈɔ	0.187
u	l	0.175
j_ˈe	ˈe	0.166
θ	-	0.157
e	u	0.151
o	ˈø	0.149
u	r	0.141
t	s	0.139
ˈi	-	0.13
θ	z	0.121
l	w	0.101
e	i	0.097
ˈe	j	0.096
ɾ	-	0.093
ɾ	ˈɛ	0.091
s	-	0.091
m	-	0.076
ˈe	-	0.074
w_ˈe	ˈu	0.072
ˈo	ˈy	0.061
ʎ	p_j	0.061
ɾ	ˈe	0.061
ˈo	w	0.06
ʎ	ʧ	0.058
ɾ	j	0.057
ˈu	-	0.056
ˈu	ˈi	0.054
ˈe	ˈə	0.051
