Scots	Scots	probability
ˈʌu̯	-	1.0
ˈɪ_r	ˈʌ	1.0
ˈøː	-	1.0
ˈoː	ˈɔː	1.0
ˈeː_r	ʕ	1.0
ˈe_n	ˈɔe̯	1.0
ˈaːɪ̯	ˈɛ_m	1.0
ʧ	ç	1.0
ʤ	ɡ	1.0
ʍ	ʋ	1.0
ʃ	ʃ	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ə_r	ʌ	1.0
ə_n	a	1.0
ə	-	1.0
ð	d	1.0
z	s	1.0
w	ʋ	1.0
v	f	1.0
tʰ	ʦ	1.0
s_t	ʃ_d	1.0
r_ˈɛ	ʁ	1.0
r_ˈi	ʁ	1.0
pʰ	p͡f	1.0
p_#>	f_#>	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
i_n	eə̯	1.0
h	h	1.0
f_#>	b_#>	1.0
f	f	1.0
e	ɪ	1.0
b	b	1.0
<#_θ	<#_d	1.0
<#	<#_ˈɛ	1.0
#>	ɡ_#>	1.0
d	d	0.953
ŋ	ŋ	0.9
s	s	0.757
p	f_a	0.75
n	n	0.737
ˈu	ˈao̯	0.667
ç	x	0.667
ˈəi̯	ˈəi̯	0.615
θ	d	0.6
ˈuː	ˈao̯	0.6
ˈʌ	ˈo	0.583
ˈɛ	ˈɛ	0.571
ˈa	ˈa	0.556
ˈo	ˈɔ	0.5
ˈeː	ˈa	0.5
x	ɡ	0.5
x	x	0.5
j	j	0.5
j	-	0.5
r	ʕ	0.441
ˈe	ˈɔe̯	0.438
t	s	0.438
ˈɑː	ˈa	0.417
θ	-	0.4
ˈuː	ˈo_l	0.4
r	ʁ	0.353
ˈɑː	-	0.333
ˈø	ˈuə̯	0.333
ˈø	-	0.333
ˈu	-	0.333
ç	ç	0.333
k	ç	0.333
ˈɛ	-	0.286
k	ɡ	0.267
ˈʌ	-	0.25
ˈɑː	ˈa_l	0.25
ˈo	ˈo	0.25
ˈo	-	0.25
ˈiː	ˈiː	0.25
ˈiː	-	0.25
ˈeː	ˈaː_ɡ	0.25
ˈeː	-	0.25
ˈe	ˈa	0.25
p	b̥͡f	0.25
s	ʃ	0.243
ˈəi̯	ˈae̯	0.231
ˈø	ˈaː	0.222
ˈa	ˈɛ	0.222
ˈa	ˈe	0.222
t	d	0.219
ˈɪ	ˈi	0.205
ˈi	ˈiə̯	0.2
k	ɡ_a	0.2
k	x	0.2
ˈe	-	0.188
t	ʦ	0.188
n	-	0.184
ˈʌ	ˈɛ	0.167
ˈiː	ˈiə̯_ɡ	0.167
ˈiː	ˈeː	0.167
ˈiː	ˈae̯	0.167
ˈəi̯	-	0.154
ˈi	ˈao̯	0.15
ˈi	-	0.15
ˈɛ	ˈa	0.143
ˈɪ	ˈɪ	0.128
ˈe	ˈoː	0.125
t	s_a	0.125
r	ʌ	0.118
ˈø	ˈɔə̯	0.111
ˈɪ	ˈɛ	0.103
ˈɪ	ˈu	0.103
ˈɪ	ˈe	0.103
ˈɪ	ˈa	0.103
ˈi	ˈɛ	0.1
ˈi	ˈɔː	0.1
ˈi	ˈuə̯	0.1
ˈi	ˈoː	0.1
ˈi	ˈeː	0.1
ŋ	i	0.1
r	-	0.088
n	n_d	0.079
ˈɪ	ˈəi̯	0.051
ˈɪ	ˈuə̯	0.051
ˈɪ	ˈoː	0.051
ˈɪ	ˈo	0.051
ˈɪ	-	0.051
