Logudorese	Gascon	probability
bː	-	1.0
f	h	1.0
rː	r	1.0
ɖ	-	1.0
ɖː	-	1.0
β	β	1.0
a	a	0.21
b	b	0.731
o	u	0.411
o	-	0.491
t	t	0.891
ˈa	ˈa	0.981
ˈe	ˈe_j	0.051
ˈo	ˈɔ	0.351
i	-	0.282
u	j	0.192
ð	-	0.142
ɣ	ɣ	0.202
ɣ	-	0.422
ˈi	ˈe	0.42
ˈu	ˈu	0.342
b	ʒ	0.063
d	d	0.953
e	e	0.203
nː	<#_e	0.113
r	r	0.203
s	s	0.923
sː	-	0.513
ŋ	-	0.273
ɡ	ɡ	0.683
b	ɡ	0.074
e	ˈa	0.054
j	j	0.164
k	-	0.094
u	e	0.584
ʣ	ʎ	0.514
e	-	0.345
r	ɾ	0.415
u	w	0.05
u	-	0.115
ˈe	ˈɛ	0.325
ˈi	ˈi	0.545
ˈu	ˈy	0.655
a	-	0.066
b	k	0.056
i	e	0.686
j	ʒ	0.836
n	ŋ	0.056
n	-	0.286
z	s	0.796
ʣ	-	0.486
m	ŋ	0.087
nː	n	0.887
p	p	0.987
s	ʃ	0.077
sː	s	0.487
z	z	0.067
z	-	0.137
ð	t	0.067
ð	ð	0.747
ɣ	z	0.237
ˈe	ˈe	0.507
ˈo	ˈu	0.467
a	ɔ	0.688
k	s	0.328
k	k	0.578
l	l	0.928
o	a	0.098
r	l	0.088
ŋ	n	0.248
e	ɔ	0.089
e	w	0.309
m	m	0.89
n	n	0.629
r	-	0.279
t	w_t	0.109
u	u	0.059
ŋ	ŋ	0.479
ɡ	-	0.149
ɡ	ʒ	0.169
ɣ	ʒ	0.139
ˈe	j_ˈe	0.059
