Elfdalian	Elfdalian	probability
ˈʉ̃ːə̯	-	1.0
ˈʉːə̯_ɣ	ə	1.0
ˈɪ̃ː	m_ˈiː	1.0
ˈɔ̃ː	-	1.0
ˈɔ	-	1.0
ˈɑ_r	ˈaː	1.0
ˈœ	ˈə	1.0
ˈæː	-	1.0
ˈyːœ̯	-	1.0
ˈyœ̯	ˈiː	1.0
ˈo	-	1.0
ˈiːe̯	ˈeː	1.0
ʨː	-	1.0
ʨ	-	1.0
ʥː	k	1.0
ʏ	ˈi_v	1.0
ʉ_#>	#>	1.0
ʉ	ŋ	1.0
ɽ_#>	l_#>	1.0
ɽ	l	1.0
ɪ	-	1.0
ɣ_#>	#>	1.0
ɡː	k	1.0
ɡ_#>	ɡ̊_#>	1.0
ɡ	ɡ	1.0
ɛ_r	ɐ	1.0
ɛ	-	1.0
ɔ̃	e	1.0
ɔ	ə	1.0
ɑ̃	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
tː_#>	ɕ_t_#>	1.0
sː	z̥	1.0
s_ˈyːœ̯	z	1.0
s_ʨ	ʃ	1.0
s_#>	z̥_#>	1.0
rː	ɐ	1.0
r_#>	#>	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	f	1.0
n_d	n	1.0
m	m	1.0
l̥	ʃ_l	1.0
lː	l	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	kʰ	1.0
k_#>	#>	1.0
j_ˈʉːə̯	ˈɜɪ̯	1.0
d	d	1.0
b	b	1.0
a	ə	1.0
<#_ɽ	<#_l	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
f	f	0.882
ˈɑːi̯	ˈæːɪ̯	0.778
ˈɑː	ˈaː	0.778
n	n	0.739
w	v	0.737
<#	<#_h	0.737
ˈʉː	-	0.714
ˈɑːu̯	ˈæːʊ̯	0.714
d_#>	d̥_#>	0.7
ˈæ	-	0.667
tʰ	d	0.611
ˈʏ	ˈe	0.6
ˈoː	-	0.6
nː	n	0.6
s	ʃ	0.553
ɑ	ə_n	0.537
ð	d̥	0.526
t	s	0.517
r	ɐ	0.512
ˈʏː	ˈɑɪ̯	0.5
ˈɛː	ˈeː	0.5
ˈɛː	-	0.5
ˈɑ	ˈɑ	0.5
r	ʀ	0.488
ˈɪ	ˈɑ	0.471
#>	n_#>	0.464
ɣ	ɕ	0.429
k	ɕ	0.429
ˈʏ	-	0.4
ˈɔː	ˈoː	0.4
ˈoː	ˈəʊ̯	0.4
s	z	0.395
tʰ	ʦ	0.389
t	t	0.379
ˈʉə̯	ˈuː	0.375
ˈʉə̯	-	0.375
v	v̥	0.364
ˈɛ	-	0.357
ɑ	-	0.341
ˈʏː	-	0.333
ˈɪː	-	0.333
ˈœː	ˈəʊ̯	0.333
ˈœː	ˈaː	0.333
ˈœː	-	0.333
ˈæ	ˈɛː	0.333
tː	ʦ	0.333
tː	t	0.333
tː	s	0.333
j	ˈɜɪ̯	0.333
ˈɑ	ˈaː	0.3
d_#>	#>	0.3
ˈʉ	ˈo	0.294
ˈɪ	ˈə	0.294
ˈʉː	ˈu	0.286
ˈɛ	ˈeː	0.286
ˈɑːu̯	ˈɑʊ̯	0.286
ɣ	ˈɜɪ̯	0.286
ɣ	-	0.286
k	χ	0.286
k	-	0.286
v	-	0.273
ð	d	0.263
w	w	0.263
n	-	0.261
ˈʉːə̯	-	0.25
ˈʉə̯	ˈaː	0.25
ˈɪː	ˈə	0.25
ˈɪː	ˈæːɪ̯	0.25
ˈɑːi̯	-	0.222
ˈɑː	ˈoː	0.222
ˈɛ	ˈiː	0.214
ð	t	0.211
ˈɔː	ˈɑ_l	0.2
ˈɔː	l	0.2
ˈɔː	-	0.2
ˈɑ	-	0.2
nː	ʀ	0.2
nː	ɐ	0.2
ˈʉːə̯	ˈʊ	0.188
ˈʉːə̯	ˈɜɪ̯	0.188
v	ə_f	0.182
v	f	0.182
#>	ɐ_#>	0.179
ˈʉ	ˈə	0.176
ˈʉ	ˈɔ	0.176
ˈʉ	v_ˈo	0.176
ˈʉ	-	0.176
ˈʏː	ʑ	0.167
ˈɪː	ˈe	0.167
j	ˈiː	0.167
j	-	0.167
<#	<#_v	0.158
ˈɛ	ˈɛ	0.143
#>	d̥_#>	0.143
ˈʉːə̯	ˈəʊ̯	0.125
ˈʉːə̯	ˈu	0.125
ˈʉːə̯	ə	0.125
ɑ	n	0.122
ˈɪ	ˈe	0.118
ˈɪ	-	0.118
f	f_ˈo	0.118
j	ˈɛ	0.111
j	ˈə	0.111
j	h	0.111
#>	ɕ_#>	0.107
#>	ŋ_#>	0.107
<#	<#_ˈaː	0.105
t	ʦ	0.103
s	t	0.053
