Bellunese	Walloon	probability
b	b	1.0
f	f	1.0
i	-	1.0
m	m	1.0
p	p	1.0
ɲ	ɲ	1.0
ʧ	-	1.0
o	j	0.1
ˈe	ˈɛ	0.341
j	-	0.452
n	n	0.62
s	s	0.952
z	ʃ	0.2
z	-	0.392
ˈa	ˈe	0.062
ˈa	ˈa	0.22
ˈe	ˈi	0.062
a	j	0.773
d	-	0.553
k	k	0.333
k	ʧ	0.623
w	w	0.553
ŋ	ˈɛ̃	0.423
ˈo	ˈɔ̃	0.063
ˈu	ˈy	0.313
ˈɔ	w_ˈa	0.153
d	d	0.424
e	ˈeː	0.054
o	ˈiː	0.424
r	ʀ	0.864
ð	ʤ	0.774
ɡ	ɡ	0.174
ɡ	-	0.794
ˈa	-	0.094
ˈe	-	0.384
ˈi	ˈiː	0.094
ˈɔ	ˈuː	0.084
ˈɔ	ˈɔ	0.584
ˈɛ	ˈɛ	0.064
ˈɛ	-	0.084
θ	s	0.934
a	a	0.135
r	-	0.125
t	-	0.255
t	t	0.745
v	f	0.155
ˈa	ˈɛ	0.225
ˈɛ	j	0.735
v	-	0.226
ð	-	0.226
ˈa	ˈiː	0.336
ˈe	w	0.086
ˈo	ˈøː	0.196
ˈɛ	j_ˈɛ	0.116
θ	-	0.066
a	ɛ	0.057
e	-	0.907
l	-	0.117
w	-	0.447
ˈo	ˈɔ	0.137
l	l	0.388
n	-	0.38
o	-	0.128
ŋ	ˈẽ	0.098
ˈi	-	0.078
ˈu	ˈɔ	0.278
j	l	0.509
l	ˈa	0.49
o	uː	0.09
o	ˈu	0.119
o	ɔ	0.139
v	v	0.619
z	ʒ	0.409
ŋ	-	0.479
ˈi	ˈi	0.139
ˈi	ˈɛ	0.689
ˈo	ˈuː	0.529
ˈu	ˈøː	0.409
ˈɔ	ˈoː	0.179
