Northern Low Saxon	Proto-Germanic	probability
aɪ̯	e	1.0
b	b	0.645
b	p_ɑ	0.212
b	p_ɑ̃	0.073
d	θ	0.212
d	d	0.19
d	t_ɑ	0.186
d	t	0.12
d	ð_ɑ	0.052
f	ɸ	0.731
f	β_ɑ	0.143
h	x	1.0
i	i	1.0
j	ɣ	1.0
k	k	0.627
k	kʷ	0.373
kʰ	k	0.975
l	l	0.693
l	l_ɑ	0.078
l	l_u	0.056
l	ɑ_l	0.052
m	m	0.446
m	m_ɑ	0.161
m	β	0.148
m	n_ɑ̃	0.077
m	m_ɔːː	0.061
m	-	0.059
n	n	0.811
p	p	1.0
pʰ	p	1.0
r	r	0.992
s	s	0.728
s	s_ɑ̃	0.18
s	x_s	0.092
t	t	0.661
t	θ	0.177
t	ð	0.122
tʰ	t	1.0
v	w	0.882
v	xʷ	0.079
x	x	0.668
x	ɣ_ɑ	0.169
x	ɣ	0.163
z	s	0.957
ç	ɣ_ɑ	0.224
ç	ɣ	0.17
ç	ɣ_j	0.148
ç	x	0.128
ç	z	0.122
ç	x_t	0.112
ç	ɡ	0.097
ŋ	ŋ_ɡ	0.47
ŋ	ŋ	0.182
ŋ	ɣ	0.139
ŋ	n_x	0.117
ŋ	ɡʷ	0.092
ɐ	r	0.361
ɐ	r_i	0.106
ɐ	ɛː	0.101
ɐ	r_ɑ	0.069
ɐ	ɔː_r	0.064
ɐ	e	0.064
ɐ	r_ɑ̃	0.064
ə	ɔː	1.0
ɡ	ɣ	0.448
ɡ	k	0.339
ɡ	k_s	0.089
ɡ	ɣ_j	0.078
ɪ	ɑ	0.755
ɪ	ŋ	0.245
ʃ	s_k	0.686
ʃ	s	0.304
ʒ	j	1.0
ˈa	ˈɑ	0.971
ˈaɪ̯	ˈeu̯	0.324
ˈaɪ̯	ˈe	0.311
ˈaɪ̯	ˈɑi̯	0.262
ˈaɪ̯	ˈiː	0.076
ˈaʊ̯	ˈɑu̯	0.383
ˈaʊ̯	ˈɔː	0.275
ˈaʊ̯	ˈu	0.138
ˈaʊ̯	ˈɑ	0.091
ˈaʊ̯	ˈɑi̯	0.062
ˈaː	ˈɑ_r	0.454
ˈaː	ˈɑ_l	0.431
ˈaː	ˈe	0.115
ˈeɪ̯	ˈe	0.341
ˈeɪ̯	ˈɑi̯	0.318
ˈeɪ̯	ˈeu̯	0.276
ˈeɪ̯	i	0.066
ˈeː	ˈe	0.463
ˈeː	ˈɑ	0.257
ˈeː	ˈi	0.128
ˈeː	ˈɔː	0.096
ˈeː	w	0.056
ˈiː	ˈiː	0.662
ˈiː	ˈi	0.29
ˈoː	ˈɛː	0.335
ˈoː	ˈɑ	0.282
ˈoː	ˈɑ_x	0.14
ˈoː	ˈe	0.091
ˈoː	ˈu	0.076
ˈuː	ˈuː	0.72
ˈuː	wː	0.108
ˈuː	ˈɔː	0.072
ˈuː	ɔ̃ː	0.062
ˈyː	ˈiu̯	0.467
ˈyː	ˈeu̯	0.195
ˈyː	ˈuː	0.195
ˈyː	ˈɔː	0.071
ˈø	ˈi	0.714
ˈø	ˈe	0.286
ˈøː	ˈu	0.605
ˈøː	ˈe	0.182
ˈøː	ˈuː	0.107
ˈøː	ˈɑ	0.107
ˈœ	ˈi	0.469
ˈœ	ˈe	0.266
ˈœ	ˈɑ	0.266
ˈœː	nː	0.688
ˈœː	ˈɑi̯	0.312
ˈɔ	ˈu	0.814
ˈɔ	ˈeu̯	0.093
ˈɔ	ˈɑ	0.093
ˈɔʏ̯	ˈɔː	0.373
ˈɔʏ̯	ˈɑu̯	0.347
ˈɔʏ̯	ˈu	0.139
ˈɔʏ̯	ˈɔ	0.071
ˈɔʏ̯	u	0.069
ˈɔː	ˈu	1.0
ˈɛ	ˈe	0.648
ˈɛ	ˈɑ	0.352
ˈɛɪ̯	ˈe	0.771
ˈɛɪ̯	ˈɑi̯	0.229
ˈɛː	j	1.0
ˈɪ	ˈi	0.624
ˈɪ	ˈe	0.103
ˈɪ	ˈɑ	0.074
ˈɪ	ˈɑi̯	0.071
ˈɪ	ɑi̯	0.061
ˈʊ	ˈu	0.964
ˈʏ	ˈu	0.657
ˈʏ	j	0.158
ˈʏ	ˈuː	0.109
ˈʏ	ˈe	0.077
