Ukrainian	Czech	probability
bʲ	b	1.0
kʲ	k	1.0
lʲ	l	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
sʲ	s	1.0
t	t	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ʃ	ʃ	1.0
ʊ	ˈu	1.0
ʋ	v	1.0
ʍ	-	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ʧ	c	1.0
ˈa	a	1.0
ˈɛ	ˈɛ	1.0
b	b	0.451
e	ˈɛ	0.151
tʲ	c	0.261
ɫ	l	0.931
ʋʲ	v_j	0.471
ʒ	ʒ	0.671
ˈɑ	ˈɛ	0.091
ˈɔ	l_ˈu	0.131
i	ɛ	0.642
m	m̩	0.062
nʲ	ɲ	0.112
ɔ	ˈɛː	0.072
ɦ	x	0.242
ˈu	ˈou̯	0.42
d	d	0.813
j	-	0.343
k	-	0.073
s	s	0.973
w	v	0.923
ɐ	ˈaː	0.13
ˈi	ˈiː	0.103
ˈɔ	ˈa	0.063
ˈɪ	ˈɪ	0.613
rʲ	r̝	0.604
ɐ	ˈa	0.074
ɔ	ɛ	0.054
ɛ	ˈɛ	0.424
ˈɔ	ˈl̩	0.064
r	r̝	0.375
ˈɔ	ˈaː	0.085
ˈɔ	ˈɛ	0.145
r	r	0.436
rʲ	r	0.396
ɐ	ɛ	0.16
ɛ	ɛ	0.576
ˈi	ˈɛː	0.066
ˈɔ	ˈo	0.406
d	t	0.187
j	j	0.657
k	k	0.927
w	f	0.077
ɔ	o	0.407
ˈi	ˈuː	0.137
ˈi	ˈo	0.157
ˈɑ	ˈa	0.277
ˈɑ	a	0.517
ˈɔ	ɛ	0.057
m	m	0.938
nʲ	n	0.888
ɐ	iː	0.128
ɐ	a	0.508
ɦ	ɦ	0.758
ˈi	ɛ	0.138
ˈi	ˈɛ	0.398
ˈu	ˈu	0.58
ˈɑ	ɛ	0.08
ˈɪ	ɪ	0.178
b	p	0.549
e	-	0.849
i	j	0.149
i	-	0.209
r	r̝̊	0.19
tʲ	t	0.739
ɔ	ˈo	0.429
ɫ	d_l	0.069
ʋʲ	v	0.529
ʒ	ʃ	0.329
ˈɪ	ˈiː	0.209
