Bavarian	Bavarian	probability
β	v	1.0
ˈou̯	ˈeo̯	1.0
ˈiː	-	1.0
ˈeɐ̯	-	1.0
ˈe_ɐ	ˈa_ɐ	1.0
ˈau̯	ˈuː	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɡ̊_a	k_n	1.0
ɑ	-	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ_#>	ɡ_n_#>	1.0
ç	k	1.0
s_n	t_n	1.0
n_d̥	n	1.0
m_a	m_n	1.0
l	l	1.0
kʰ	k	1.0
j_d̥	l_d̥	1.0
j	l	1.0
h	h	1.0
f_a	b_m	1.0
f_#>	p_#>	1.0
eɐ̯	ɒː	1.0
d̥_n	n	1.0
b̥͡v̥	p	1.0
b̥_#>	f_#>	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
n	n	0.939
b̥	b	0.909
f	f	0.893
r	r	0.885
ˈiɐ̯	ˈɛɪ̯	0.833
m	m	0.833
ɐ	ɐ	0.786
ʋ	v	0.75
ə	-	0.7
ˈɑ	ˈa	0.667
ˈoː	-	0.667
ŋ	ŋ	0.667
d̥_a	ɐ	0.667
#>	n_#>	0.667
ʃ	ʃ	0.632
ˈaː	-	0.625
a	ɐ	0.615
ˈuɐ̯	ˈaʊ̯	0.6
ˈi	ˈɪ	0.593
ˈa	-	0.571
ˈai̯	ˈiː	0.55
x	k	0.533
ˈɑː	ˈɒː	0.5
ˈɑː	-	0.5
ˈoɐ̯	ˈɛɪ̯	0.5
n_a	n_n	0.5
n_a	n	0.5
d̥	d	0.5
s	z	0.444
ˈa	ˈa	0.429
d̥	d̥	0.393
ˈaː	ˈeo̯	0.375
ʃ	s	0.368
ˈɒː	ˈɒː	0.364
ˈɒː	ˈa	0.364
s	t	0.361
ɡ̊	ɣ	0.348
ˈoː	ˈɒː	0.333
ˈo	ˈɔ	0.333
ˈeː	ˈɛɪ̯	0.333
ˈeː	-	0.333
ŋ	n	0.333
x	x	0.333
d̥_a	t_ɐ	0.333
#>	k_#>	0.333
ˈe	ˈɛ	0.312
ˈe	-	0.312
ˈu	-	0.3
ə	ə	0.3
ˈo	ˈa	0.286
ˈɒː	ˈaː	0.273
ˈu	ˈʏ	0.25
ˈu	ˈɔ	0.25
ˈoɐ̯	ˈɛɪ̯_n	0.25
a	n	0.231
ˈɑ	ˈɒː	0.222
ɡ̊	j	0.217
ɐ	-	0.214
ˈuɐ̯	ˈʊ	0.2
ˈuɐ̯	ˈɔʏ̯	0.2
ˈu	ˈʊ	0.2
ˈo	ˈʊ	0.19
ˈe	ˈɛː	0.188
ˈe	ˈœ	0.188
ɡ̊	k	0.174
ˈoɐ̯	-	0.167
ˈiɐ̯	ˈɔʏ̯	0.167
ˈeː	ˈɛ	0.167
ˈeː	ˈeː	0.167
ʋ	w	0.167
a	ə	0.154
ˈai̯	ˈʏ	0.15
ˈi	ˈiː	0.148
x	ˈɪ_ç	0.133
ɡ̊	-	0.13
r	ɐ	0.115
ˈɑ	ˈɛə̯	0.111
ˈi	ˈɛ	0.111
s	z̥	0.111
f	p	0.107
d̥	t	0.107
ˈai̯	ˈɛɪ̯	0.1
ˈai̯	ˈyː	0.1
ˈai̯	-	0.1
ˈo	ˈoː	0.095
ˈo	-	0.095
b̥	-	0.091
ɡ̊	ɪ_ç	0.087
ˈoɐ̯	ˈaɪ̯	0.083
ʋ	v_ˈɪ	0.083
s	-	0.083
m	v_n	0.083
m	-	0.083
ˈi	ˈʏ	0.074
ˈi	-	0.074
n	ə	0.061
