Danish	Danish	probability
ˈʌˀ	ˈaʊ̯	1.0
ˈɛː	-	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈɒː	1.0
ˈɔ	ˈʊ	1.0
ˈɒˀ	ˈoː	1.0
ˈɑˀ_j	ç	1.0
ˈɑˀ	ˈaː	1.0
ˈœː	ˈɛ	1.0
ˈæˀ	ˈa	1.0
ˈyː	ˈae̯	1.0
ˈoː	-	1.0
ˈi	-	1.0
ˈeː	ˈɛː	1.0
ʨ	d	1.0
ʋ_#>	v̥_#>	1.0
ʁ	r	1.0
ə_ð̞ˠ	d̥	1.0
ɕ	z	1.0
ɐˀ	æ	1.0
ŋˀ	ŋ	1.0
ŋ_ə	ŋ	1.0
ŋ	-	1.0
w_#>	#>	1.0
s_ɡ̊	ʃ	1.0
s_#>	z̥_#>	1.0
pʰ	pʰ	1.0
n_ə	n	1.0
n_#>	#>	1.0
mˀ	m	1.0
m	m	1.0
lˀ	l	1.0
l	l	1.0
kʰ	kʰ	1.0
jˀ	-	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
e	-	1.0
d̥_#>	#>	1.0
b̥_ə	p_n	1.0
b̥_#>	p_#>	1.0
<#_ˈɔ	<#	1.0
<#_ɡ̊	<#_ɡ	1.0
n	n	0.946
b̥	b	0.909
ʋ	v	0.824
ˈoˀ	ˈaʊ̯	0.8
ˈe	ˈɪ	0.769
ˈeˀ	ˈae̯	0.733
ˈuˀ	ˈuː	0.727
ˈæ	ˈa	0.706
ˈu	ˈʊ	0.692
ɐ	æ	0.667
<#	<#_v	0.636
ˈœˀ	ˈaʊ̯	0.6
ˈøː	-	0.6
ʦʰ	d	0.6
ð̞ˠ_ə	t_n	0.6
w_ə	b_m	0.6
ˈiˀ	ˈiː	0.583
ˈø	-	0.571
ˈiː	ˈiː	0.571
d̥	t	0.548
ə	-	0.545
ð̞ˠ	t	0.522
ˈy	ˈyː	0.5
ˈy	-	0.5
ˈuː	ˈuː	0.5
ˈuː	-	0.5
ˈo	ˈuː	0.5
ˈo	-	0.5
nˀ	n_d̥	0.5
nˀ	n	0.5
ð̞ˠ	d̥	0.478
s	z	0.476
d̥	d	0.452
ˈœ	-	0.444
ˈɔˀ	ˈɒː	0.429
ˈø	ˈʏ	0.429
ˈiː	-	0.429
w	v̥	0.429
ˈɛ	ˈɪ	0.417
ˈɑ	ˈa	0.417
ˈɑ	-	0.417
ˈœˀ	-	0.4
ˈøː	ˈɔʏ̯	0.4
ʦʰ	tʰ	0.4
ɡ̊	k	0.4
w_ə	ŋ	0.4
ə	n	0.364
ˈɛ	-	0.333
ˈœ	ˈʏ	0.333
ˈøˀ	ˈɔʏ̯	0.333
ˈøˀ	ˈoː	0.333
ˈøˀ	-	0.333
ˈiˀ	ˈɪ	0.333
j	k	0.294
ˈɔˀ	ˈɒː_n	0.286
ˈɔˀ	ˈaʊ̯	0.286
w	k	0.286
w	-	0.286
s	ʃ	0.286
ˈʌ	ˈaʊ̯	0.273
ˈʌ	-	0.273
ˈuˀ	-	0.273
#>	ç_#>	0.265
ˈɛ	ˈaː	0.25
ˈyˀ	ˈyː	0.25
ˈyˀ	ˈiː	0.25
ˈyˀ	ˈae̯	0.25
ˈyˀ	-	0.25
j	-	0.235
#>	d̥_#>	0.235
ˈe	ˈɛ	0.231
ˈœ	ˈuː	0.222
ˈoˀ	ˈœː	0.2
ɡ̊	ç	0.2
ɡ̊	j	0.2
ɡ̊	-	0.2
ɐ	-	0.2
ð̞ˠ_ə	t	0.2
ð̞ˠ_ə	n	0.2
ˈʌ	ˈɔ	0.182
ˈʌ	ˈɒː	0.182
<#	<#_ˈa	0.182
<#	<#_j	0.182
ˈæ	-	0.176
ʋ	w	0.176
#>	n_#>	0.176
ˈɑ	ˈʏ	0.167
s	s	0.167
ˈu	ˈɔ	0.154
ˈu	-	0.154
#>	æ_#>	0.147
ˈeˀ	n	0.133
ˈeˀ	-	0.133
ɐ	ɾ_æ	0.133
ˈæ	ˈɒː	0.118
j	ˈɪ	0.118
j	ˈiː	0.118
j	x	0.118
j	h	0.118
ˈʌ	ˈøː	0.091
b̥	p	0.091
ˈiˀ	ɣ	0.083
s	-	0.071
ə	ŋ	0.061
#>	v̥_#>	0.059
#>	t_#>	0.059
#>	k_#>	0.059
n	-	0.054
