Latin	Brazilian Portuguese	probability
ae̯	ɐ	1.0
au̯	o	1.0
kː	k	1.0
lʲ	-	1.0
nː	n	1.0
rː	-	1.0
u	-	1.0
ŋ	-	1.0
ɛ̃	i	1.0
ʊ	-	1.0
ˈeː	ˈe	1.0
ˈu	ˈo	1.0
a	-	0.131
e	e	0.351
eː	i	0.201
eː	e	0.461
n	j̃	0.201
oː	u	0.631
sː	s	0.651
w	v	0.931
ɛ	ˈe	0.281
ɪ	i	0.121
ˈa	a	0.051
ˈaː	ˈɐ̃	0.301
ˈuː	ˈu	0.611
ˈɪ	ˈĩ	0.231
k	ɡ	0.222
l	l	0.682
n	n	0.352
oː	o	0.302
t	-	0.132
ɛ̃ː	i	0.712
ɡ	-	0.452
ɫ	w	0.162
ˈa	ˈɐ̃	0.32
ˈi	-	0.062
ˈɪ	ˈɛ	0.102
ˈɪ	ˈẽ	0.2
ˈʊ	ˈo	0.2
a	ɐ	0.133
d	-	0.383
e	-	0.223
i	j	0.073
j	e	0.073
m	m	0.893
s	s	0.423
ɔ	õ	0.083
ɛ	ɐ	0.053
ɛ	ˈe_h	0.273
ɪ	-	0.493
ɫ	-	0.553
ˈoː	ˈo	0.353
ˈʊ	ˈũ	0.053
ãː	ɐ	0.924
lʲː	-	0.064
t	d	0.254
ɛ	e	0.14
ɡ	ʒ	0.244
ɡ	ɡ	0.304
ɪ	e	0.244
ʊ̃ː	-	0.074
ˈau̯	ˈo	0.104
ˈiː	ˈĩ	0.434
aː	ɐ	0.305
aː	a	0.695
b	v	0.505
iː	ĩ	0.285
k	j	0.105
l	ʃ	0.295
ɪ	ẽ	0.115
ɫ	l	0.255
ʊ̃ː	u	0.815
ˈɔ	ˈɔ	0.235
ˈɛ	ˈẽ	0.265
ˈʊ	ˈõ	0.515
a	a	0.736
e	ɐ	0.426
f	f	0.986
kʷ	-	0.276
kʷ	k	0.686
lʲː	l	0.936
p	b	0.256
p	p	0.646
ʊ̃ː	w̃	0.056
ˈa	ˈa	0.56
ˈau̯	ˈo_w	0.896
ˈiː	ˈi	0.566
i	-	0.927
iː	i	0.227
j	ʒ	0.927
k	s	0.167
m	-	0.107
n	-	0.447
oː	-	0.067
s	z	0.057
s	ʃ	0.487
t	ʧ	0.157
tː	t	0.967
ɔ	o	0.917
ɛ̃ː	-	0.057
ɛ̃ː	j	0.127
ˈaː	ˈa	0.677
ˈɔ	ˈõ	0.257
ˈɔ	ˈo	0.507
ˈɛ	ˈɛ	0.497
b	b	0.478
d	d	0.438
eː	-	0.338
k	k	0.268
p	-	0.098
r	h	0.108
r	-	0.148
r	ɾ	0.528
t	t	0.398
ɛ	-	0.178
ɛ̃ː	ɐ	0.058
ˈi	ˈi	0.938
ˈoː	ˈɔ	0.078
ˈoː	ˈõ	0.338
ˈɛ	ˈe	0.238
d	ʤ	0.179
iː	-	0.489
k	-	0.209
r	ɦ	0.19
sː	ʃ	0.349
t	ʤ	0.059
w	-	0.069
ˈoː	ˈɐ̃	0.159
ˈuː	ˈũ	0.389
ˈɪ	ˈe	0.419
ˈʊ	ˈu	0.209
