Gallurese	Gallurese	probability
ˈɔ_l	ɾ_ˈo	1.0
ˈɔ_k	ˈo_ɣ	1.0
ˈu_l	ɾ_ˈu	1.0
ˈi_#>	i_#>	1.0
ˈa_l	z	1.0
ˈa_#>	ˈa_i_#>	1.0
ʦː	-	1.0
ʤ	-	1.0
ʒ	ʒ	1.0
ʃː	ʃ	1.0
ɲː	n_ʤ	1.0
ɟː	ʤ	1.0
ɟ	ʤ	1.0
ŋ	ŋ	1.0
z	z	1.0
w	u	1.0
v	b	1.0
tː	t	1.0
t_i	ŭ	1.0
t_a	t_a	1.0
sː_u	s_u	1.0
s	s	1.0
rː	r	1.0
r_u	ɾ_i	1.0
pː	p	1.0
p_r	β	1.0
o_j	ˈɔ	1.0
nː	nː	1.0
n_u	n_u	1.0
n_a	n_a	1.0
mː	m	1.0
m	m	1.0
l_u	l_u	1.0
l_i	l_i	1.0
l_a	l_a	1.0
kː	k	1.0
i_k	i	1.0
i_d	ɾ	1.0
i_#>	#>	1.0
fː	f	1.0
f_j	f_ɾ	1.0
f	f	1.0
e	ă	1.0
cː	ɣ	1.0
c	k_ɾ	1.0
bː	-	1.0
b	b	1.0
a_n	a_n	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_d	1.0
ˈa	ˈa	0.949
p	p	0.938
ˈu	ˈu	0.931
n	n	0.931
ˈi	ˈi	0.921
r	ɾ	0.882
k	k	0.868
i	i	0.833
u	u	0.811
a	a	0.794
ˈe	ˈɛ	0.72
j	j	0.714
ˈo	ˈɔ	0.688
l	ɾ	0.667
d	-	0.667
o	-	0.6
t	t	0.581
ɡ	ɡ	0.556
ˈɛ	ˈe	0.552
ɖː	ɖː	0.55
ʦ	ʦ	0.5
ʦ	-	0.5
ˈɔ	ˈɔ	0.481
ɡ	ɣ	0.444
#>	i_#>	0.423
ʧ	ʧ	0.421
ʧ	ʒ	0.421
o	ɔ	0.4
ˈɛ	ˈɛ	0.379
t	ð	0.355
ɖː	ɭː	0.35
ˈo	ˈo	0.312
j	-	0.286
#>	ɾ_i_#>	0.269
ˈɔ	ˈu	0.259
ˈɔ	ˈo	0.259
#>	ŭ_#>	0.231
ˈe	i	0.2
l	l	0.2
d	ð	0.167
d	d	0.167
ʧ	-	0.158
l	-	0.133
k	ɣ	0.132
ɖː	-	0.1
ˈe	ˈi	0.08
ˈi	i	0.079
#>	u_#>	0.077
ˈɛ	i	0.069
ˈu	-	0.069
n	-	0.069
t	-	0.065
a	ɛ	0.063
a	u	0.063
p	β	0.062
r	u	0.059
r	r	0.059
ˈa	i	0.051
