Macedonian	Czech	probability
ˈu	ˈu	1.0
ˈo_ɫ	ˈl̩	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɡ	ɦ	1.0
z	z	1.0
v	v	1.0
u_m	m̩	1.0
s	s	1.0
p	p	1.0
o_k	k_iː	1.0
m	m	1.0
l	l	1.0
j	j	1.0
i	ɪ	1.0
b	b	1.0
<#_ˈo	<#_ˈo	1.0
<#	<#_j	1.0
#>	t_#>	1.0
n	n	0.889
d	d	0.882
k	k	0.87
o	o	0.867
a	a	0.864
ɫ	l	0.783
t	t	0.781
r	r	0.667
ˈr̩	ˈr̩	0.625
ˈi	ˈɪ	0.6
ˈɛ	ˈɛ	0.559
ɛ	ɛ	0.55
ˈo	ˈo	0.545
ˈa	ˈa	0.533
f	v_iː	0.5
f	f	0.5
ˈi	ˈiː	0.4
ˈr̩	ˈɛ	0.375
ˈo	ˈuː	0.273
ˈa	ˈaː	0.267
ˈa	ˈu	0.2
ɛ	t	0.2
r	r̝	0.19
ˈɛ	ˈiː	0.176
t	c	0.156
ɛ	j_ɛ	0.15
r	r̝̊	0.143
a	ɛ	0.136
o	-	0.133
ɫ	-	0.13
k	x	0.13
ˈɛ	ˈɛː	0.118
d	ɟ	0.118
n	ɲ	0.111
ɛ	-	0.1
ˈo	ˈɛ	0.091
ˈo	l_ˈu	0.091
ˈɛ	j_ˈɛ	0.088
ɫ	d_l	0.087
t	ɛ_t	0.062
ˈɛ	ˈaː	0.059
