Xiang	Xiang	probability
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ʂ	ʦ_w	1.0
ɥ	-	1.0
ə_w	w	1.0
ɕ	s	1.0
ɒ_w	e	1.0
æ	ẽ	1.0
¹³	⁵⁵	1.0
³³	³³	1.0
²¹	¹¹	1.0
x	h	1.0
w_a	ŋ̍	1.0
u	u	1.0
tʰ	tʰ	1.0
pʰ	p	1.0
p	p	1.0
õ	-	1.0
nʲ	-	1.0
n_¹³	⁵⁵	1.0
l̃	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ẽ	ĩ	1.0
i_n	ẽ	1.0
ẽ	ŋ	1.0
e_j	w_e	1.0
e	-	1.0
a_n	a_m	1.0
<#_ɕ	<#	1.0
<#_ŋ	<#	1.0
<#_w	<#_m	1.0
<#	<#_h	1.0
⁴¹	⁵²	0.897
⁴⁵	²¹³	0.818
n	ŋ	0.758
z̩	i	0.75
y	u	0.714
t	t	0.714
l	l	0.714
ʨʰ	ʦʰ	0.667
ɒ	o	0.667
j	j	0.667
o	o	0.625
w	w	0.588
ə	a	0.571
ɸ	p	0.5
s	s	0.5
m	m	0.5
m	b	0.5
i	i	0.5
ʦ	ʦ	0.429
ɤ	-	0.429
a	a	0.414
o	w	0.375
ʦ	t	0.357
ʨʰ	-	0.333
ɒ	a	0.333
²⁴	⁴	0.333
ɸ	h_w	0.3
s	ʦ	0.3
²⁴	²	0.292
ɤ	e_ʔ	0.286
ɤ	e_k̚	0.286
y	o_w	0.286
t	tʰ	0.286
l	n	0.286
z̩	a_j	0.25
w	-	0.235
j	-	0.222
ʦ	-	0.214
i	e	0.214
²⁴	ʔ_²	0.208
ɸ	h	0.2
s	-	0.2
ə	u	0.19
⁴⁵	³⁵	0.182
w	k̚	0.176
a	e	0.172
²⁴	k̚_²	0.167
n	ã	0.152
ə	-	0.143
i	o_j	0.143
i	-	0.143
a	-	0.138
j	ĩ	0.111
⁴¹	³⁵	0.103
a	ɯ	0.103
a	u	0.103
ə	o	0.095
a	j	0.069
n	m	0.061
