Russian	Old Prussian	probability
ˈ	-	1.0
ʨ	k_t	1.0
ʐ̊	ɡ_i	1.0
ʐ_ɨ	ɡ	1.0
ʊ	-	1.0
ʉ	u	1.0
ʂ	k_a	1.0
ɵ	-	1.0
ɫ	l	1.0
ɨ_j	n	1.0
ɡ̊	ɡ	1.0
ɡ_ə	ɡ	1.0
ɐ_dʲ	ai̯	1.0
z̥	-	1.0
zʲ	z	1.0
z	z	1.0
vʲ	v	1.0
v	v	1.0
t	t	1.0
s	s	1.0
rʲ	r	1.0
r	r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	eːi̯_n	1.0
mʲ	m_e	1.0
m	m	1.0
lʲ_a	eː	1.0
lʲ	l	1.0
fʲ	j	1.0
e_ˈ	e	1.0
e	-	1.0
dʲ	d	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a_ˈ	o	1.0
a	a_n	1.0
i	-	0.788
u	-	0.755
k	k	0.751
ɨ_ˈ	u	0.702
n	n_a	0.628
ɐ	u	0.615
x	u_s	0.567
j	-	0.506
tʲ	t	0.502
j	s	0.494
o	a	0.491
ɪ	e	0.468
x	s	0.433
ə	o	0.432
ɐ	-	0.385
n	n	0.372
ɪ	i	0.333
tʲ	t_o	0.3
ɨ_ˈ	uː	0.298
k	-	0.249
ə	e	0.248
u	aːu̯	0.245
i	oːu̯	0.212
ɪ	-	0.199
tʲ	t_i	0.197
o	-	0.189
ə	a	0.17
o	au̯	0.157
ə	n_s	0.15
o	u	0.082
o	i	0.082
