Dutch	Dutch	probability
χ_ə	ɡ	1.0
χ_t	ʰtː	1.0
ˈʏ	ˈʏ	1.0
ˈɪ_ŋ	ɲ	1.0
ˈɔ_ɾ	ɾ	1.0
ˈɑu̯_d̥	lː	1.0
ˈɑu̯	-	1.0
ˈɑ_χ	ˈɔ	1.0
ˈøː	-	1.0
ˈyː	ˈyː	1.0
ɾ_ə	ɾ	1.0
ɫ_#>	l_#>	1.0
ə_ɾ	ɾ	1.0
ə_n_#>	#>	1.0
ə_n	ɑ	1.0
ŋ_k	ʰkː	1.0
ŋ	ŋː	1.0
z̥_#>	s_#>	1.0
w	-	1.0
t_#>	#>	1.0
s_χ	ʂ	1.0
n_z̥	sː	1.0
n_d̥	nː	1.0
n_d	nː	1.0
n_#>	#>	1.0
i	-	1.0
d̥_#>	#>	1.0
d̥	d	1.0
b	b	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_ɾ	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
m	m	0.923
ɾ	ɾ	0.915
ɦ	h	0.9
z	s	0.821
ˈɛi̯	ˈiː	0.786
t	t	0.763
v	f	0.75
s	s	0.75
p	p	0.75
<#_χ	<#_ɡ	0.75
ɫ	l	0.742
ʋ	ʋ	0.727
v̥_#>	ʋ_#>	0.7
ˈu	ˈuː	0.688
n	n	0.674
ˈœy̯	ˈʉː	0.667
ˈɑ	ˈɑ	0.64
ˈɔ	ˈʉ	0.632
ˈɪ	ˈɪ	0.6
χ	ɡ	0.542
d	d	0.5
#>	ə_#>	0.5
#>	k_#>	0.5
ˈaː	ˈoː	0.478
ˈɛ	ˈɛ	0.476
ə	e	0.44
k	kʰ	0.37
k	k	0.37
ˈeː	ˈæɪ̯	0.36
ˈɛ	-	0.333
ˈœy̯	-	0.333
ˈi	ˈyː	0.333
ˈu	ˈøː	0.312
v̥_#>	#>	0.3
d	tʰ	0.3
ˈoː	ˈæʉ̯	0.29
ˈi	ˈʉː	0.278
<#_χ	<#_j	0.25
ˈɑ	ˈɑː	0.24
ə	ə	0.24
ˈaː	ˈɑː	0.217
ˈɛi̯	ˈæɪ̯	0.214
ˈɔ	ˈɔ	0.211
χ	-	0.208
ˈeː	ˈeː	0.2
ɫ	lː	0.194
k	ç	0.185
z	ʂ	0.179
ˈaː	ˈɑ	0.174
χ	ɡː	0.167
ˈi	ˈeː	0.167
v	ʋ	0.167
p	pʰ	0.167
n	nː	0.163
ˈoː	ˈʊ	0.161
ˈeː	-	0.16
ˈɔ	-	0.158
ˈɪ	ˈiː	0.15
ˈɪ	-	0.15
d	-	0.15
ˈɛ	ˈʏ	0.143
ʋ	kʰ_ʋ	0.136
ʋ	-	0.136
t	ʰtː	0.132
ˈaː	-	0.13
ˈoː	ˈœʏ̯	0.129
ˈoː	-	0.129
s	ʂ	0.125
s	s_k	0.125
ˈɑ	ˈɛ	0.12
ˈeː	ˈøː	0.12
ə	ɑ	0.12
ə	-	0.12
ˈi	ˈoː	0.111
ˈi	ˈiː	0.111
t	-	0.105
ˈɪ	ˈɛ	0.1
ɦ	j	0.1
ˈoː	ˈɔ	0.097
ˈoː	ˈuː	0.097
ˈoː	ˈoː	0.097
χ	j	0.083
v	-	0.083
p	ʰpː	0.083
ˈeː	ˈʉː	0.08
ˈeː	ˈiː	0.08
ə	j	0.08
m	mː	0.077
k	-	0.074
n	ɑ	0.07
ɫ	j	0.065
ɾ	e	0.051
