Slovak	Slovak	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʎ	l	1.0
ʊ̯ɔ	u_ˈ	1.0
ʃ	ʃ	1.0
ɫ	w	1.0
ɪ̯a	-	1.0
ɡ̊	s_k	1.0
ɟ̊	ʃ_ʧ	1.0
ɟ	ʣ	1.0
ɛ_#>	ɛ_#>	1.0
z̥	z̥	1.0
uː	-	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r̩	r	1.0
r_a	r	1.0
p	p	1.0
n	n	1.0
l̩	-	1.0
iː	i	1.0
f	p	1.0
eː	u	1.0
e	-	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
<#_ɔ	<#_u̯ɛ	1.0
<#_v	<#_v	1.0
<#_r	<#_r	1.0
<#_j	<#_j	1.0
k	k	0.913
c	ʦ	0.895
z	z	0.857
b	b	0.833
m	m	0.8
ɦ	ɡ	0.769
x	x	0.7
a	a	0.696
ɲ	ɲ	0.667
i	ə	0.667
aː	-	0.667
l	l	0.636
ɫ̩	w	0.6
r	r	0.593
ɪ̯ɛ	e	0.556
ʋ	v	0.5
æ	j_ã	0.5
æ	ã	0.5
ɫ̩	w_u	0.4
ɛ	ɛ	0.395
ɔ	ɔ	0.395
r	r̝	0.37
l	w	0.364
ɲ	-	0.333
aː	ɞ_ˈ	0.333
ɔ	u̯ɛ	0.326
x	ɡ̊	0.3
u	õ	0.3
u	ã_ˈ	0.3
ʋ	v_j	0.292
ɦ	ʤ	0.231
ɪ̯ɛ	ɞ	0.222
ɪ̯ɛ	j_ɞ	0.222
u	ə	0.2
u	w_ʉ	0.2
m	m_j	0.2
i	i_ˈ	0.19
b	-	0.167
ɛ	-	0.158
z	-	0.143
i	i	0.143
ɛ	a_ˈ	0.132
ʋ	f_j	0.125
ɔ	u	0.116
a	ɔ_ˈ	0.109
ɛ	ɔ_ˈ	0.105
ɛ	e_ˈ	0.105
c	-	0.105
ɔ	-	0.093
k	ʧ	0.087
ʋ	f	0.083
ɔ	ɛ	0.07
a	ɞ_ˈ	0.065
a	ɛ	0.065
a	ã	0.065
ɛ	u	0.053
ɛ	j_ɛ	0.053
