Franco-Provençal	Sicilian	probability
oː	w	1.0
ɑː	a	1.0
ɛ	i	1.0
ʦ	ʦː	1.0
ˈaː	ˈa	1.0
ˈy	ˈu	1.0
f	v	0.081
p	c	0.051
s	s	0.581
t	kː	0.081
t	tː	0.11
ð	ʤ	0.061
ɔ	u	0.091
ʁ	ɽ	0.071
ʃ	kː	0.101
ʒ	-	0.361
ˈø	ˈu	0.601
ˈɑː	ˈa	0.911
ˈɛː	ˈɛ	0.061
ˈɛː	ˈe	0.121
ˈɛː	ˈi	0.391
ˈɛ̃	ˈɛ	0.361
d	ɕ	0.052
m	nː	0.072
t	ʃː	0.062
ð	j	0.162
ə	i	0.12
ɡ	-	0.052
ɲ	n	0.152
ʁ	ɪ_ɾ	0.112
ʃ	ɡ	0.062
ˈe	ˈa	0.102
ˈe	ʊ	0.162
ˈĩ	ˈi	0.82
ˈɔ̃	ˈɔ	0.092
ˈɔ̃	ˈo	0.112
ˈɛ	ˈi	0.42
d	d	0.463
e	i	0.233
f	f	0.813
i	i	0.073
i	mː	0.143
i	ʊ	0.203
j	ˈɛ	0.133
j	-	0.573
k	k	0.853
l	-	0.133
l	ɖː	0.303
o	o	0.053
v	-	0.073
z	ʤ	0.343
ɔ̃	ɪ	0.353
ʒ	ʤ	0.363
ˈɛː	ˈa	0.183
a	-	0.084
d	-	0.134
e	-	0.554
j	ˈa	0.054
o	ʊ	0.64
u	ˈu	0.874
w	w	0.054
w	-	0.104
ɛː	i	0.334
ʁ	r	0.14
ˈa	ˈa	0.854
ˈɑ̃	nː	0.084
ˈɛ	ˈɛ	0.284
b	v	0.095
b	bː	0.175
b	b	0.715
d	nː	0.095
ĩ	ŋ	0.5
ĩ	a	0.5
n	n	0.975
t	s_t	0.115
w	ˈu	0.425
ɡ	ɲː	0.085
ʎ	ɟː	0.405
ˈo	ˈu	0.565
ˈoː	ʊ	0.085
ˈu	ˈɔ	0.225
ˈɔ	ˈu	0.285
ˈɛ̃	n	0.165
a	a	0.916
u	a	0.126
ð	r	0.106
ð	ʈ	0.136
ə	a	0.416
ɛː	a	0.666
ʁ	ʐ	0.06
ʁ	-	0.096
ʃ	k	0.526
ʎ	cː	0.356
ˈe	ˈɛ	0.366
ˈi	ˈu	0.086
ˈo	ˈɔ	0.286
ˈoː	ˈɔ	0.576
ˈɑ̃	ˈa	0.916
ˈɔ̃	ˈu	0.796
ˈɛ	-	0.086
ˈɛ̃	ˈa_n	0.16
k	c	0.067
t	ʈː	0.057
v	v	0.607
z	ɕ	0.477
ð	ʐː	0.07
ɔ̃	u	0.647
ə	ɽ_ɪ	0.057
ɡ	ɡ	0.797
ʃ	-	0.077
ˈa	a	0.07
ˈe	ˈi	0.197
ˈi	ˈa	0.057
ˈi	ˈɛ	0.207
ˈi	ˈi	0.527
ˈu	u	0.127
ˈø	-	0.237
d	t	0.18
i	a	0.58
k	s_k	0.08
o	ɪ	0.218
p	p	0.928
s	ɕ	0.298
t	t	0.468
w	ˈɔ	0.418
z	z	0.18
ð	ɾ	0.408
ə	ɪ	0.338
ɲ	ɲː	0.848
ʁ	ɾ	0.498
ʒ	v	0.068
ʒ	j	0.208
ˈĩ	ɪ	0.18
ˈoː	w	0.128
ˈoː	ˈu	0.138
ˈu	ˈu	0.648
ˈɛː	-	0.078
ˈɛː	ɪ	0.118
e	a	0.189
j	ˈi	0.069
j	j	0.069
l	l	0.529
m	mː	0.139
m	m	0.789
t	ʈ	0.059
v	p	0.229
ɔ	o	0.909
ʃ	ɕ	0.169
ʎ	-	0.239
ˈi	ɪ	0.099
ˈo	ˈi	0.149
ˈoː	ˈa	0.059
ˈø	ˈɔ	0.139
ˈɑː	a	0.089
ˈɔ	ˈɔ	0.669
ˈɛ	ɪ	0.119
ˈɛ̃	ɲː	0.269
