Romanian	Asturian	probability
kʲ	ʝ_u	1.0
o	o	1.0
ŋ	-	1.0
ɨ	-	1.0
ˈau̯	ˈo	1.0
ˈə	ˈe	1.0
ˈɨ	ˈa	1.0
d	-	0.321
i	i	0.351
j	u	0.081
j	β_j	0.141
n	ɲ	0.11
w	-	0.391
z	-	0.71
ə	e	0.071
ˈa	ˈe	0.221
a	e	0.052
e	-	0.082
l	l	0.242
n	ŋ	0.092
r	r	0.112
u	o	0.42
v	o_#>	0.052
ʒ	ʃ	0.562
ʧʲ	t	0.842
ˈu	ˈo	0.542
i	-	0.293
k	-	0.143
n	n_u	0.073
o̯ˈa	o	0.263
p	p	0.703
t	ð	0.303
ə	a	0.73
ɡ	-	0.183
ʦ	t	0.423
e̯ˈa	ˈe	0.824
j	ɲ	0.074
j	-	0.294
k	k	0.534
m	m	0.974
o̯ˈa	ˈo	0.454
r	ɾ	0.664
t	t_u	0.054
v	u_#>	0.254
ʤ	ʃ	0.4
ˈi	j_ˈe	0.14
ˈo	ˈo	0.364
b	b	0.45
b	β	0.55
e	ˈe	0.095
e	e	0.455
l	-	0.125
o̯ˈa	w_ˈe	0.25
r	l_u	0.065
ʃ	θ	0.485
ʃ	s	0.515
ʧ	θ	0.735
ˈe	j_ˈe	0.065
ˈo	w_ˈe	0.55
e̯ˈa	ˈe_ʎ	0.176
i	e	0.356
p	β_u	0.056
p	-	0.176
r	-	0.136
s	e_s	0.206
s	s	0.666
t	-	0.256
v	s_#>	0.146
ʤ	-	0.6
ˈa	ˈa	0.706
ˈi	ˈi	0.456
l	ʎ_u	0.077
n	n	0.617
t	t	0.387
w	w	0.127
w	u	0.447
ɡ	ɡ	0.817
ʦ	θ	0.577
ʧ	j	0.057
ʧ	-	0.207
ˈi	ˈe	0.357
a	a	0.948
j	j	0.388
n	-	0.108
s	s_u	0.128
u	-	0.238
u	u	0.298
v	b	0.498
ə	u	0.08
ʒ	ʝ	0.438
ʧʲ	-	0.158
ˈe	ˈe	0.898
ˈu	ˈu	0.418
d	d	0.679
e	u	0.089
e	a	0.279
f	f	0.969
k	ɣ	0.19
l	ʎ	0.549
z	d	0.29
ə	-	0.119
